dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-10-01,5,74,5,4,4,6,1,4,79,18,570,2521,89
2015-11-01,2,9,1,2,1,6,0,1,62,14,329,1560,67
2015-12-01,1,1,1,1,1,3,0,0,17,5,92,351,19
2016-01-01,0,0,0,0,0,1,1,0,13,39,284,311,14
2016-02-01,0,0,0,0,0,0,0,0,10,6,56,203,8
2016-03-01,0,0,0,0,0,0,0,0,7,3,71,194,11
2016-04-01,1,1,1,1,1,1,0,0,3,3,13,161,9
2016-05-01,1,1,1,1,1,1,0,0,5,2,27,163,10
2016-06-01,1,2,1,1,0,3,2,2,8,26,161,174,9
2016-07-01,0,0,0,0,0,0,0,0,9,13,96,116,8
2016-08-01,0,0,0,0,0,0,0,0,8,10,94,214,18
2016-09-01,1,22,0,1,0,0,0,0,5,4,38,142,5
2016-10-01,1,1,0,1,0,1,1,0,5,4,16,180,8
2016-11-01,0,0,0,0,0,0,0,0,3,1,31,156,7
2016-12-01,1,1,0,1,0,1,0,0,28,22,246,522,24
2017-01-01,2,8,1,2,1,1,1,2,17,33,225,446,22
2017-02-01,0,0,0,0,0,2,3,0,13,18,93,242,9
2017-03-01,2,2,1,1,0,3,0,1,8,3,45,243,16
2017-04-01,0,0,0,0,0,0,0,0,5,6,36,190,10
2017-05-01,0,0,0,0,0,0,1,0,15,9,59,273,14
2017-06-01,1,1,0,1,0,1,1,0,7,14,57,173,8
2017-07-01,0,0,0,0,0,0,0,0,4,2,47,189,8
2017-08-01,0,0,0,0,0,0,0,0,7,3,11,206,14
2017-09-01,0,0,0,0,0,0,0,0,17,23,331,239,9
2017-10-01,1,1,1,1,1,1,0,0,18,15,120,284,18
2017-11-01,2,12,1,1,0,3,1,2,18,14,139,392,24
2017-12-01,3,3,2,3,2,1,0,0,5,4,31,184,17
2018-01-01,1,1,0,1,0,0,0,1,6,5,18,172,7
2018-02-01,0,0,0,0,0,0,0,0,4,1,95,138,9
2018-03-01,0,0,0,0,0,0,0,0,5,1,15,157,15
2018-04-01,0,0,0,0,0,1,0,0,8,2,31,188,12
2018-05-01,0,0,0,0,0,0,0,0,5,1,25,117,9
2018-06-01,0,0,0,0,0,0,0,0,11,2,191,207,13
2018-07-01,1,1,1,1,0,1,1,0,11,19,80,189,12
2018-08-01,0,0,0,0,0,0,0,0,5,4,59,186,11
2018-09-01,3,29,3,3,1,5,3,1,27,24,360,209,14
2018-10-01,7,185,5,5,2,35,14,32,99,187,2306,592,27
2018-11-01,7,120,3,4,2,42,7,35,63,63,484,359,22
2018-12-01,4,27,0,3,0,8,2,7,19,20,205,321,20
2019-01-01,8,33,4,6,2,9,0,8,17,13,151,271,13
2019-02-01,3,35,0,3,0,10,0,11,16,22,156,244,10
2019-03-01,2,2,0,2,0,1,0,1,6,3,27,245,6
2019-04-01,5,55,1,4,0,14,0,14,23,29,309,300,16
2019-05-01,2,87,0,2,0,5,0,5,35,38,445,297,13
2019-06-01,5,50,3,4,1,12,0,11,31,20,480,249,9
2019-07-01,3,20,0,3,0,6,0,6,12,14,204,227,12
2019-08-01,4,6,2,3,1,2,0,1,6,2,35,297,27
2019-09-01,2,17,0,2,0,4,0,5,12,13,103,286,13
2019-10-01,3,22,1,3,1,4,0,3,25,21,327,339,21
2019-11-01,3,11,1,3,0,2,0,2,7,9,81,306,15
2019-12-01,4,40,2,3,1,8,0,9,13,12,35,181,15
2020-01-01,2,20,0,2,0,3,0,3,9,13,346,205,12
2020-02-01,5,54,2,4,1,9,0,9,29,24,250,442,18
2020-03-01,3,35,1,3,0,2,1,1,18,17,307,355,22
2020-04-01,4,31,2,3,1,7,1,6,22,23,268,309,16
2020-05-01,3,35,1,3,0,4,0,4,27,18,349,289,18
2020-06-01,2,11,0,2,0,0,0,0,11,14,354,252,17
2020-07-01,3,29,0,2,0,3,2,2,16,17,138,221,13
2020-08-01,3,117,1,2,0,8,0,7,54,37,663,295,14
