dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-04-01,5,125,5,3,3,8,3,5,10,9,14,398,53
2016-05-01,4,90,1,3,1,5,2,3,35,34,288,801,131
2016-06-01,9,84,7,8,5,18,6,12,76,75,476,688,138
2016-07-01,7,59,3,5,1,12,1,11,78,75,479,685,161
2016-08-01,6,64,1,6,0,6,6,0,84,88,749,514,104
2016-09-01,8,45,3,5,0,9,0,7,91,87,771,372,72
2016-10-01,6,42,0,5,0,11,4,9,84,83,678,286,55
2016-11-01,4,24,1,3,0,8,2,6,115,115,1059,356,94
2016-12-01,8,68,1,5,0,17,3,12,112,110,730,314,83
2017-01-01,5,36,1,5,0,8,0,9,65,66,442,268,59
2017-02-01,4,12,1,2,0,3,0,3,58,45,605,413,81
2017-03-01,8,43,4,6,2,14,6,8,146,147,1279,639,139
2017-04-01,12,51,6,7,3,17,1,16,127,142,920,557,119
2017-05-01,5,12,0,3,0,5,0,4,87,84,807,563,127
2017-06-01,6,49,0,4,0,5,0,5,108,106,886,598,137
2017-07-01,3,13,0,3,0,6,0,6,93,95,852,567,100
2017-08-01,6,11,1,4,0,6,4,3,141,141,965,742,147
2017-09-01,5,15,2,4,1,3,0,2,102,96,651,698,130
2017-10-01,5,13,1,5,1,9,3,6,71,76,493,481,97
2017-11-01,3,9,0,3,0,4,2,4,98,96,726,526,110
2017-12-01,4,6,2,3,1,3,0,1,109,81,521,474,106
2018-01-01,2,3,1,1,0,5,3,0,93,93,462,471,97
2018-02-01,1,6,0,1,0,3,1,3,46,48,159,273,43
2018-03-01,2,7,1,2,0,3,1,2,76,63,211,470,117
2018-04-01,2,19,0,2,0,5,0,6,87,91,388,446,86
2018-05-01,1,7,0,1,0,3,2,2,68,90,289,489,86
2018-06-01,0,0,0,0,0,0,0,0,61,71,293,396,76
2018-07-01,3,3,1,3,1,2,1,1,57,14,137,366,95
2018-08-01,4,12,1,3,0,2,0,3,65,43,159,368,63
2018-09-01,1,3,0,1,0,0,0,0,42,44,137,309,61
2018-10-01,1,2,1,1,1,1,0,0,32,17,109,293,53
2018-11-01,0,0,0,0,0,0,0,0,34,18,76,351,72
2018-12-01,3,6,1,2,1,4,0,3,47,58,145,274,60
2019-01-01,3,27,1,2,0,5,1,6,44,28,107,298,64
2019-02-01,1,31,0,1,0,6,0,5,21,10,47,167,38
2019-03-01,0,0,0,0,0,0,0,0,31,13,90,315,63
2019-04-01,0,0,0,0,0,3,1,0,31,7,54,356,74
2019-05-01,1,3,1,1,1,3,3,0,41,21,94,288,58
2019-06-01,2,3,1,2,0,2,0,2,29,30,144,264,66
2019-07-01,7,41,3,4,1,6,2,4,39,218,768,323,67
2019-08-01,5,24,1,4,0,3,1,4,49,40,203,342,74
2019-09-01,0,0,0,0,0,1,0,0,27,24,121,285,60
2019-10-01,0,0,0,0,0,2,2,0,20,8,32,245,60
2019-11-01,1,2,0,1,0,1,1,0,39,8,67,268,69
2019-12-01,1,54,0,1,0,2,1,1,44,51,317,268,73
2020-01-01,1,41,0,1,0,0,0,0,34,21,205,157,45
2020-02-01,1,11,0,1,0,0,0,0,13,9,47,123,26
2020-03-01,1,11,0,1,0,1,0,0,39,12,72,270,70
2020-04-01,1,1,0,1,0,0,0,0,55,21,113,286,68
2020-05-01,1,9,0,1,0,1,0,0,44,25,112,267,56
2020-06-01,0,0,0,0,0,1,0,0,37,6,58,240,67
2020-07-01,0,0,0,0,0,1,0,0,46,13,83,236,66
2020-08-01,1,2,0,1,0,0,0,0,28,8,48,207,58
