dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-01-01,3,80,1,3,1,1,0,1,1,1,0,14,5
2016-02-01,3,16,1,3,1,0,0,0,0,0,0,22,1
2016-03-01,1,2,0,1,0,0,0,0,0,0,0,24,1
2016-04-01,3,68,0,3,0,0,0,0,0,0,0,33,0
2016-05-01,3,53,0,3,0,0,0,0,0,0,0,13,0
2016-06-01,2,13,0,2,0,0,0,0,0,0,0,33,3
2016-07-01,4,34,1,4,1,0,0,0,0,0,0,12,0
2016-08-01,4,74,0,4,0,0,0,0,3,2,25,149,5
2016-09-01,9,84,6,3,0,0,0,0,10,7,61,155,16
2016-10-01,5,78,0,3,0,0,0,0,16,6,77,93,5
2016-11-01,3,42,0,3,0,0,0,0,0,0,0,43,5
2016-12-01,3,23,0,3,0,0,0,0,4,4,11,43,3
2017-01-01,3,89,0,3,0,0,0,0,8,7,42,67,7
2017-02-01,1,1,1,1,0,0,0,0,5,1,32,111,1
2017-03-01,3,13,0,3,0,0,0,0,2,2,20,51,6
2017-04-01,0,0,0,0,0,0,0,0,0,0,0,30,2
2017-05-01,3,12,0,3,0,0,0,0,2,1,11,18,2
2017-06-01,3,8,1,3,1,0,0,0,1,1,2,32,2
2017-07-01,2,8,0,2,0,0,0,0,6,4,18,45,5
2017-08-01,3,9,1,3,1,0,0,0,2,2,12,23,2
2017-09-01,2,7,1,2,1,0,0,0,2,1,10,22,4
2017-10-01,0,0,0,0,0,0,0,0,1,2,9,19,1
2017-11-01,2,8,0,2,0,0,0,0,2,1,16,23,1
2017-12-01,2,22,0,2,0,0,0,0,0,1,1,20,0
2018-01-01,2,9,0,2,0,0,0,0,8,6,27,32,1
2018-02-01,2,8,0,2,0,0,0,0,2,1,2,17,0
2018-03-01,2,9,0,2,0,0,0,0,1,1,4,16,2
2018-04-01,2,18,0,2,0,0,0,0,1,1,0,31,0
2018-05-01,4,12,2,4,2,0,0,0,4,3,27,23,3
2018-06-01,2,2,0,2,0,0,0,0,3,3,17,19,0
2018-07-01,0,0,0,0,0,0,0,0,1,0,3,13,0
2018-08-01,2,8,0,2,0,0,0,0,0,1,7,13,0
2018-09-01,1,3,0,1,0,0,0,0,3,2,0,4,0
2018-10-01,5,72,1,5,1,0,0,0,22,25,74,15,3
2018-11-01,2,2,1,2,1,0,0,0,2,1,4,18,1
2018-12-01,4,49,0,4,0,0,0,0,20,18,52,16,5
2019-01-01,2,2,0,2,0,0,0,0,1,1,16,22,1
2019-02-01,2,2,0,2,0,0,0,0,1,1,0,9,0
2019-03-01,4,63,0,4,0,9,0,9,15,13,10,21,1
2019-04-01,3,24,0,3,0,10,2,8,18,11,5,12,0
2019-05-01,3,5,0,3,0,5,0,1,7,1,1,9,1
2019-06-01,3,13,0,3,0,9,9,4,10,14,11,7,1
2019-07-01,3,6,1,2,0,5,1,3,7,6,18,11,1
2019-08-01,3,20,0,3,0,11,2,8,15,11,2,10,0
2019-09-01,2,12,0,2,0,10,0,3,12,3,13,5,1
2019-10-01,2,10,1,2,1,3,4,4,5,9,10,14,1
2019-11-01,1,9,0,1,0,2,0,3,2,4,2,11,0
2019-12-01,3,49,1,3,1,25,4,21,26,27,11,5,2
2020-01-01,2,2,0,2,0,3,0,0,4,1,2,11,1
2020-02-01,2,5,0,2,0,6,2,2,7,4,2,5,1
2020-03-01,0,0,0,0,0,1,0,0,1,0,0,10,1
2020-04-01,2,14,0,2,0,6,6,9,6,16,9,5,0
2020-05-01,2,8,0,2,0,20,2,3,20,6,2,22,1
