dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-08-01,1,36,0,1,0,0,0,0,15,8,14,1,0
2015-09-01,1,23,0,1,0,0,0,0,2,3,1,0,0
2015-10-01,1,20,0,1,0,0,0,0,7,9,1,0,0
2015-11-01,1,14,0,1,0,0,0,0,3,0,0,0,0
2015-12-01,1,35,0,1,0,0,0,0,11,9,7,1,0
2016-01-01,1,14,0,1,0,0,0,0,12,5,99,13,0
2016-02-01,3,35,2,3,2,3,0,3,20,17,83,72,3
2016-03-01,2,40,0,2,0,4,0,4,22,16,140,46,3
2016-04-01,1,26,0,1,0,1,0,0,13,11,106,16,2
2016-05-01,2,38,1,2,0,3,0,3,15,14,96,21,3
2016-06-01,1,18,0,1,0,1,0,2,16,9,142,18,3
2016-07-01,3,21,1,2,0,5,0,4,18,6,74,57,6
2016-08-01,2,18,1,2,1,3,0,3,20,17,69,28,7
2016-09-01,2,24,1,2,0,3,0,3,28,28,147,21,5
2016-10-01,1,17,0,1,0,2,1,1,19,14,110,21,3
2016-11-01,4,16,2,3,1,5,3,1,23,16,104,40,5
2016-12-01,2,13,1,2,1,1,0,2,14,5,61,22,5
2017-01-01,4,49,2,3,1,5,0,5,32,35,295,36,6
2017-02-01,4,29,2,4,2,2,0,1,32,23,158,47,7
2017-03-01,3,15,1,2,0,3,1,2,27,13,93,55,8
2017-04-01,6,40,3,4,2,8,1,6,30,33,164,44,10
2017-05-01,2,13,0,2,0,2,1,0,22,10,155,38,3
2017-06-01,4,32,2,3,1,0,0,0,16,6,85,42,7
2017-07-01,9,124,6,7,3,7,2,5,34,42,295,43,7
2017-08-01,5,50,3,5,2,6,2,3,38,20,229,37,7
2017-09-01,8,58,5,6,2,10,1,8,43,38,262,53,6
2017-10-01,3,17,1,3,1,4,1,3,43,20,191,64,13
2017-11-01,4,24,2,3,1,4,0,3,21,12,98,37,5
2017-12-01,2,38,0,2,0,9,2,7,40,33,272,111,12
2018-01-01,6,32,4,5,2,5,2,6,31,21,169,59,12
2018-02-01,13,34,8,8,3,9,0,5,26,23,179,88,11
2018-03-01,7,69,3,5,2,13,3,13,58,43,328,103,16
2018-04-01,7,35,3,4,1,6,1,6,37,20,153,84,9
2018-05-01,4,36,1,4,1,6,0,5,53,45,321,75,5
2018-06-01,4,16,1,3,1,7,0,1,38,16,185,77,14
2018-07-01,8,41,5,6,3,6,0,11,35,30,162,75,18
2018-08-01,8,27,3,7,2,10,2,4,52,29,239,73,15
2018-09-01,6,63,2,6,1,8,2,10,45,58,392,67,11
2018-10-01,8,24,7,7,4,10,1,0,61,23,296,162,24
2018-11-01,7,38,3,3,1,10,5,10,51,38,269,134,21
2018-12-01,6,47,5,5,1,7,1,6,51,31,325,98,18
2019-01-01,3,24,0,3,0,3,0,5,46,28,228,117,15
2019-02-01,3,24,1,3,0,5,1,0,57,20,256,121,15
2019-03-01,7,48,5,5,2,9,1,9,53,43,223,129,26
2019-04-01,2,53,0,2,0,6,3,5,54,38,327,124,22
2019-05-01,8,71,4,5,2,11,1,10,64,118,495,109,21
2019-06-01,5,29,2,5,1,6,0,1,38,21,165,129,16
2019-07-01,6,21,4,5,2,5,0,3,48,13,147,172,34
2019-08-01,8,52,4,8,3,5,0,6,49,33,263,154,17
2019-09-01,9,66,4,8,3,11,1,2,81,42,216,138,29
2019-10-01,9,58,7,9,5,23,7,18,69,52,268,181,19
2019-11-01,7,20,4,5,1,12,0,2,47,14,188,145,44
2019-12-01,5,152,1,4,0,7,5,10,21,43,233,169,19
2020-01-01,4,26,3,4,3,6,1,3,36,11,123,188,29
2020-02-01,8,35,6,5,2,10,0,3,59,37,369,206,21
2020-03-01,4,30,1,4,0,11,10,12,66,77,420,191,31
2020-04-01,2,56,0,2,0,12,7,10,92,96,561,202,37
2020-05-01,2,16,0,2,0,4,0,0,59,29,228,191,46
2020-06-01,5,19,3,5,3,4,3,3,27,27,145,143,28
2020-07-01,1,18,0,1,0,3,1,1,40,56,284,183,27
2020-08-01,1,5,0,1,0,4,2,0,27,12,69,190,31
