dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-01-01,2,230,2,2,2,1,0,1,1,1,0,5,1
2016-02-01,3,169,2,2,1,6,0,6,7,7,2,3,1
2016-03-01,2,295,0,2,0,1,0,1,1,1,0,34,0
2016-04-01,2,200,0,2,0,0,0,0,0,0,0,11,1
2016-05-01,2,50,0,1,0,0,0,0,0,0,0,4,0
2016-06-01,4,147,2,2,1,6,1,5,11,9,41,138,9
2016-07-01,7,95,6,3,2,34,9,21,44,37,289,586,14
2016-08-01,1,5,0,1,0,0,0,4,0,5,21,24,3
2016-09-01,1,8,0,1,0,0,0,0,0,0,0,15,1
2016-10-01,1,1,1,1,0,1,0,0,1,0,1,8,1
2016-11-01,0,0,0,0,0,0,0,0,0,0,0,6,0
2016-12-01,1,1,0,1,0,0,0,1,0,1,1,16,1
2017-01-01,0,0,0,0,0,0,0,0,0,0,0,25,1
2017-02-01,2,3,1,2,1,2,1,1,2,2,2,10,2
2017-03-01,0,0,0,0,0,0,0,0,1,1,2,34,0
2017-04-01,0,0,0,0,0,0,0,0,0,0,0,11,0
2017-05-01,1,6,0,1,0,0,0,0,0,0,0,22,1
2017-06-01,1,45,0,1,0,0,0,0,0,0,0,38,1
2017-07-01,1,15,0,1,0,1,0,0,1,0,5,19,1
2017-08-01,1,9,0,1,0,0,0,0,0,0,0,21,2
2017-09-01,1,41,0,1,0,0,0,0,0,0,0,13,1
2017-10-01,3,166,2,2,1,11,1,10,15,16,72,38,3
2017-11-01,4,190,2,3,0,22,0,23,34,29,118,403,4
2017-12-01,6,228,4,5,2,27,1,26,36,33,171,79,7
2018-01-01,3,154,0,3,0,23,1,22,27,27,81,51,2
2018-02-01,4,167,1,3,0,9,0,7,12,11,29,36,2
2018-03-01,6,240,2,4,1,15,2,14,21,22,76,31,2
2018-04-01,3,18,0,3,0,5,1,4,9,6,56,327,7
2018-05-01,3,84,0,2,0,17,5,13,21,27,196,43,0
2018-06-01,3,132,0,2,0,14,1,11,21,18,93,90,0
2018-07-01,3,10,1,2,0,5,0,1,5,1,25,40,1
2018-08-01,2,82,0,2,0,11,0,15,15,19,51,28,2
2018-09-01,4,64,2,3,0,9,1,9,15,14,124,69,4
2018-10-01,3,35,1,3,1,11,0,12,20,17,128,65,4
2018-11-01,3,41,1,3,1,8,0,8,14,11,99,35,4
2018-12-01,4,59,1,2,0,15,0,15,35,27,153,33,2
2019-01-01,2,41,0,2,0,3,0,3,5,4,20,34,0
2019-02-01,4,73,2,3,0,7,0,6,13,12,75,71,1
2019-03-01,6,81,3,5,2,18,1,18,20,23,89,87,4
2019-04-01,5,39,3,3,0,15,0,13,20,15,88,97,3
2019-05-01,6,97,3,4,2,29,0,26,53,40,241,57,3
2019-06-01,4,94,1,2,0,24,1,24,33,36,215,74,2
2019-07-01,4,19,1,2,0,12,0,4,20,4,70,136,4
2019-08-01,2,2,0,1,0,2,0,0,4,1,16,54,3
2019-09-01,5,95,1,3,0,27,2,30,41,41,342,28,0
2019-10-01,6,130,2,3,0,29,2,23,38,34,258,40,3
2019-11-01,5,39,2,2,0,10,1,10,14,12,111,58,1
2019-12-01,1,6,0,1,0,0,0,0,0,0,0,28,0
2020-01-01,5,55,0,3,0,22,0,22,29,28,139,25,1
2020-02-01,4,90,0,2,0,22,2,18,36,28,140,136,8
2020-03-01,4,41,0,2,0,2,0,2,6,3,23,30,1
2020-04-01,5,152,1,3,0,21,10,21,34,55,389,61,3
2020-05-01,11,337,4,5,2,75,5,67,125,105,801,55,6
2020-06-01,7,75,2,3,1,27,3,22,40,36,279,31,3
2020-07-01,5,16,1,2,0,6,1,6,8,8,66,31,1
2020-08-01,4,19,0,2,0,7,0,6,15,9,56,29,0
