dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-08-01,2,18,2,2,2,0,0,0,2,1,11,9,1
2015-09-01,2,43,1,2,1,0,0,0,0,0,0,0,0
2015-10-01,1,122,0,1,0,0,0,0,0,0,0,6,2
2015-11-01,2,88,1,2,1,0,0,0,5,3,26,3,0
2015-12-01,1,67,0,1,0,0,0,0,0,0,0,4,3
2016-01-01,2,41,0,2,0,0,0,0,4,4,19,10,4
2016-02-01,2,109,0,2,0,0,0,0,1,0,10,10,3
2016-03-01,3,170,2,1,0,0,0,0,34,35,204,12,6
2016-04-01,3,104,0,1,0,0,0,0,21,16,58,15,3
2016-05-01,5,125,1,3,0,0,0,0,25,19,132,11,4
2016-06-01,9,136,4,6,3,0,0,0,46,39,213,71,10
2016-07-01,11,145,6,7,3,0,0,0,64,54,480,123,34
2016-08-01,12,107,6,7,2,0,0,0,47,39,214,64,18
2016-09-01,9,74,3,5,0,0,0,0,32,31,153,49,15
2016-10-01,4,38,1,2,0,0,0,0,16,19,106,58,12
2016-11-01,4,67,1,3,1,1,1,0,21,29,109,56,22
2016-12-01,6,81,3,4,1,0,0,0,32,32,114,34,18
2017-01-01,9,99,3,7,2,0,0,0,39,46,183,44,18
2017-02-01,9,64,4,6,3,0,0,0,32,21,131,47,15
2017-03-01,10,75,3,6,2,0,0,0,38,38,220,44,18
2017-04-01,7,70,5,2,0,0,0,0,21,29,108,33,18
2017-05-01,10,123,7,5,3,0,0,0,46,36,297,43,18
2017-06-01,10,108,6,5,3,0,0,0,52,52,210,53,18
2017-07-01,14,185,5,8,2,0,0,0,64,61,398,44,17
2017-08-01,12,116,4,7,3,0,0,0,59,66,288,39,11
2017-09-01,9,56,4,4,2,0,0,0,39,37,219,33,18
2017-10-01,11,128,3,5,1,0,0,0,66,52,246,40,15
2017-11-01,9,109,2,4,0,0,0,0,44,44,217,53,16
2017-12-01,8,59,4,3,2,0,0,0,34,33,168,45,16
2018-01-01,6,59,0,4,0,0,0,0,33,30,115,45,14
2018-02-01,7,76,3,3,1,0,0,0,35,52,140,41,17
2018-03-01,6,26,2,2,0,0,0,0,25,19,106,44,12
2018-04-01,7,54,2,4,0,0,0,0,29,37,175,30,16
2018-05-01,9,136,4,4,1,0,0,0,52,46,198,37,19
2018-06-01,6,75,2,5,1,0,0,0,32,29,187,29,12
2018-07-01,7,107,2,5,1,0,0,0,34,37,236,30,13
2018-08-01,10,137,4,7,2,0,0,0,69,61,185,30,12
2018-09-01,8,191,1,6,1,1,1,0,82,65,248,34,16
2018-10-01,13,235,3,10,2,1,0,0,119,129,379,76,18
2018-11-01,12,330,3,7,0,0,1,0,168,167,599,47,16
2018-12-01,10,227,2,6,0,0,0,0,80,81,425,69,15
2019-01-01,8,117,0,6,0,0,0,0,56,70,244,49,16
2019-02-01,11,106,6,8,2,0,0,0,71,70,240,42,8
2019-03-01,14,287,6,9,2,0,0,0,134,134,547,45,19
2019-04-01,14,219,5,10,2,0,0,0,73,77,241,53,13
2019-05-01,9,94,4,9,3,0,0,0,56,53,198,45,12
2019-06-01,7,99,3,6,2,0,0,0,49,36,207,92,11
2019-07-01,10,50,5,8,2,0,0,0,34,19,141,43,22
2019-08-01,10,159,5,7,2,0,0,0,60,60,348,46,12
2019-09-01,14,209,7,8,1,1,0,1,116,122,676,65,35
2019-10-01,13,122,2,9,1,0,0,0,88,86,399,53,28
2019-11-01,12,69,4,8,1,1,1,0,52,47,212,31,31
2019-12-01,9,29,3,7,2,0,0,0,38,39,202,30,26
2020-01-01,11,102,4,7,2,0,0,0,59,66,276,35,19
2020-02-01,26,283,12,17,6,0,0,0,124,125,671,121,34
2020-03-01,29,291,10,15,3,0,0,0,131,130,634,139,63
2020-04-01,14,204,5,10,3,0,0,0,126,127,467,130,69
2020-05-01,22,170,10,12,4,1,0,1,143,109,588,111,56
2020-06-01,18,193,4,11,1,0,0,0,135,158,608,109,31
2020-07-01,32,468,22,13,6,1,0,1,247,234,1058,102,51
2020-08-01,21,312,4,9,0,0,0,0,141,156,874,85,44
