dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-09-01,3,14,1,3,1,6,1,5,44,15,123,6,1
2016-10-01,8,51,4,5,1,25,6,17,64,64,331,9,2
2016-11-01,9,157,2,5,0,62,3,55,157,142,681,17,3
2016-12-01,9,55,1,6,1,21,2,21,63,65,377,22,6
2017-01-01,6,20,0,4,0,8,1,7,27,16,138,9,3
2017-02-01,8,45,1,6,1,19,7,16,59,54,362,64,19
2017-03-01,11,63,4,8,4,26,1,23,65,69,623,167,26
2017-04-01,11,57,3,6,1,21,2,20,77,77,734,110,40
2017-05-01,6,35,0,4,0,17,1,14,57,44,392,137,21
2017-06-01,11,44,3,6,1,21,3,18,67,74,739,112,32
2017-07-01,9,31,3,5,1,15,4,13,67,41,534,152,39
2017-08-01,6,33,0,4,0,20,1,15,58,50,529,221,47
2017-09-01,5,47,1,4,1,24,11,14,59,54,464,103,17
2017-10-01,6,46,2,4,1,25,9,13,60,50,379,182,30
2017-11-01,7,126,1,6,1,58,9,53,121,113,794,747,72
2017-12-01,19,61,13,8,4,35,6,27,97,97,988,2777,288
2018-01-01,6,29,2,5,2,19,6,14,58,50,617,449,93
2018-02-01,6,31,3,3,1,20,6,15,76,70,617,349,68
2018-03-01,4,22,1,2,0,11,2,7,46,33,398,319,76
2018-04-01,5,39,3,4,3,20,3,17,48,47,341,274,61
2018-05-01,5,18,1,4,1,9,3,3,27,25,201,323,50
2018-06-01,5,12,0,5,0,5,3,4,26,32,357,307,56
2018-07-01,3,47,0,2,0,22,3,20,56,74,516,235,51
2018-08-01,6,22,2,6,1,11,4,8,35,40,430,273,72
2018-09-01,10,57,5,6,2,28,3,24,95,95,694,361,64
2018-10-01,8,85,2,5,0,35,8,30,81,84,598,266,54
2018-11-01,16,80,7,9,3,29,5,24,60,50,551,300,55
2018-12-01,9,57,6,5,2,22,1,21,54,52,436,294,80
2019-01-01,6,41,3,4,0,18,0,19,46,52,370,298,64
2019-02-01,11,61,2,6,0,36,3,22,59,57,482,259,53
2019-03-01,15,95,6,8,3,37,9,35,78,76,701,371,76
2019-04-01,12,117,4,7,2,41,7,38,92,109,854,299,72
2019-05-01,8,42,2,5,0,21,1,19,55,66,621,234,62
2019-06-01,8,81,3,5,0,36,4,28,78,64,868,238,55
2019-07-01,7,56,1,4,0,29,8,23,59,62,665,273,72
2019-08-01,12,53,5,6,1,22,5,19,51,61,825,258,53
2019-09-01,7,69,3,5,2,24,3,21,61,59,541,250,70
2019-10-01,11,126,5,6,2,55,4,43,91,86,747,284,83
2019-11-01,9,97,4,5,0,37,6,36,73,69,526,288,57
2019-12-01,11,72,5,6,1,32,5,20,69,69,823,803,91
2020-01-01,10,107,3,6,1,41,9,35,84,123,969,348,61
2020-02-01,11,133,3,7,1,57,16,40,93,90,794,285,67
2020-03-01,15,73,6,7,2,35,9,24,69,72,689,299,64
2020-04-01,19,115,9,12,5,53,17,41,94,90,782,312,76
2020-05-01,10,86,4,5,2,22,1,25,59,62,359,329,46
2020-06-01,10,119,4,6,2,45,5,36,93,88,689,243,55
2020-07-01,10,92,4,5,1,34,6,32,86,88,533,296,62
2020-08-01,11,117,2,8,2,52,10,40,92,87,362,431,69
