dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-07-01,4,28,3,3,2,2,0,1,2,1,0,4,2
2016-08-01,5,71,3,2,0,3,0,3,23,13,69,21,1
2016-09-01,1,7,0,1,0,0,0,0,5,1,8,3,0
2016-10-01,4,61,2,2,1,4,2,2,16,14,68,21,1
2016-11-01,4,22,1,3,0,1,0,1,2,1,9,12,0
2016-12-01,8,47,1,4,0,2,0,2,21,9,65,14,0
2017-01-01,6,71,0,4,0,1,0,1,18,15,104,6,1
2017-02-01,6,57,2,3,0,2,0,2,4,7,27,58,2
2017-03-01,6,136,1,3,0,1,0,1,12,17,247,44,2
2017-04-01,11,62,3,5,2,8,1,8,17,16,73,57,2
2017-05-01,9,153,3,3,0,6,0,5,27,13,119,215,5
2017-06-01,12,84,5,4,0,13,1,10,33,30,372,221,8
2017-07-01,15,130,3,6,2,9,1,7,38,33,292,158,17
2017-08-01,11,124,0,5,0,11,2,10,37,18,266,153,12
2017-09-01,10,70,3,5,2,12,1,11,47,39,388,188,15
2017-10-01,15,57,8,7,3,20,2,15,77,63,726,168,19
2017-11-01,12,49,6,5,2,12,3,12,63,90,777,109,26
2017-12-01,7,19,2,4,0,14,0,9,39,26,241,125,17
2018-01-01,15,39,9,4,1,30,7,19,68,48,372,142,25
2018-02-01,10,22,4,3,0,14,2,7,43,32,374,168,17
2018-03-01,14,77,8,4,1,30,9,20,63,73,559,182,38
2018-04-01,10,27,5,3,0,18,1,12,48,31,390,196,31
2018-05-01,11,29,4,3,0,22,11,13,60,59,576,197,37
2018-06-01,10,32,4,5,2,16,8,14,42,50,431,203,31
2018-07-01,9,30,2,4,1,23,8,20,64,75,582,218,31
2018-08-01,13,49,5,5,2,25,4,19,48,47,470,206,34
2018-09-01,8,15,4,4,1,13,4,8,42,33,443,188,30
2018-10-01,12,20,6,6,3,22,4,16,53,51,412,178,39
2018-11-01,17,30,8,6,1,18,2,15,45,37,313,156,35
2018-12-01,5,6,3,2,1,9,3,4,32,31,335,125,33
2019-01-01,7,30,4,4,1,7,5,6,30,35,371,157,27
2019-02-01,10,61,6,6,2,15,2,5,52,30,290,178,38
2019-03-01,14,43,5,7,3,16,6,15,57,59,545,174,39
2019-04-01,12,85,6,7,3,38,9,33,103,119,715,187,51
2019-05-01,6,86,0,4,0,27,6,19,70,61,467,155,37
2019-06-01,13,75,6,5,1,32,12,33,73,127,848,178,44
2019-07-01,12,63,6,6,2,25,5,18,81,74,699,174,42
2019-08-01,9,21,5,5,1,13,3,9,59,52,426,166,51
2019-09-01,10,41,3,6,1,18,0,17,48,56,379,158,40
2019-10-01,9,16,3,5,1,12,4,7,42,41,325,158,35
2019-11-01,9,43,4,3,0,24,4,19,61,56,337,137,37
2019-12-01,5,47,1,5,1,14,4,11,37,44,236,96,24
2020-01-01,13,51,6,4,0,24,2,22,66,69,513,147,35
2020-02-01,16,55,7,8,2,22,4,19,52,50,328,152,40
2020-03-01,11,43,2,4,1,21,2,18,48,48,266,126,29
2020-04-01,11,59,3,5,1,16,3,16,39,40,304,141,34
2020-05-01,11,139,3,6,2,18,6,15,65,65,388,158,36
2020-06-01,14,137,5,8,4,34,4,29,77,75,380,154,31
2020-07-01,14,58,4,8,2,27,3,23,73,64,585,135,40
2020-08-01,10,59,3,4,0,20,2,17,52,48,206,143,33
