dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-04-01,2,82,1,2,0,0,0,0,4,2,63,1,0
2016-05-01,3,143,1,3,1,2,0,2,25,20,261,71,2
2016-06-01,2,82,0,2,0,5,3,2,29,28,287,27,2
2016-07-01,1,50,0,1,0,0,0,0,3,3,33,5,0
2016-08-01,4,21,2,4,2,2,0,2,17,11,165,8,0
2016-09-01,4,43,0,4,0,5,0,5,13,15,117,5,2
2016-10-01,6,47,4,5,2,10,1,9,40,35,514,8,4
2016-11-01,7,41,4,4,1,15,1,12,25,26,229,10,2
2016-12-01,4,36,1,3,0,3,1,4,32,34,431,15,0
2017-01-01,3,14,0,2,0,0,0,0,11,8,182,10,0
2017-02-01,4,14,1,4,1,2,0,2,14,12,156,2,1
2017-03-01,4,61,1,3,0,0,0,0,27,20,498,18,4
2017-04-01,6,77,0,3,0,2,0,2,14,25,208,17,5
2017-05-01,3,6,1,2,0,1,0,0,14,13,121,15,2
2017-06-01,5,18,1,3,0,4,0,5,15,12,147,10,1
2017-07-01,5,28,2,5,2,5,1,4,15,23,151,7,3
2017-08-01,5,21,1,4,0,0,0,0,12,12,93,8,2
2017-09-01,3,7,1,3,1,2,0,1,20,9,91,16,3
2017-10-01,4,14,1,4,1,0,1,0,18,24,138,15,0
2017-11-01,1,1,0,1,0,3,0,0,11,3,70,10,3
2017-12-01,5,15,2,4,1,0,1,1,23,24,209,10,3
2018-01-01,6,34,2,4,1,2,1,1,32,40,197,19,2
2018-02-01,5,11,1,4,0,2,0,2,21,18,104,8,2
2018-03-01,3,4,0,3,0,0,0,0,12,9,56,10,0
2018-04-01,4,9,0,4,0,2,1,1,16,13,149,18,2
2018-05-01,3,4,0,3,0,1,0,1,8,9,65,4,1
2018-06-01,1,1,1,1,1,0,0,0,5,2,21,5,1
2018-07-01,2,3,1,2,0,1,0,1,5,4,17,5,0
2018-08-01,3,11,1,3,1,0,0,0,6,6,51,13,1
2018-09-01,7,13,2,4,0,2,2,0,23,35,206,7,2
2018-10-01,3,21,0,3,0,1,1,0,16,22,162,8,1
2018-11-01,2,9,0,2,0,1,1,1,13,18,118,4,0
2018-12-01,4,22,1,3,0,2,1,1,20,20,163,8,1
2019-01-01,0,0,0,0,0,0,0,0,8,1,82,7,1
2019-02-01,0,0,0,0,0,0,0,0,5,3,22,8,1
2019-03-01,1,1,0,1,0,0,0,0,2,4,29,5,1
2019-04-01,2,15,0,2,0,1,0,1,24,27,193,5,1
2019-05-01,2,8,0,2,0,1,0,1,10,10,54,12,1
2019-06-01,1,3,0,1,0,0,0,0,7,4,43,9,3
2019-07-01,1,1,1,1,0,1,0,0,5,7,41,3,3
2019-08-01,2,4,0,2,0,0,0,0,5,5,15,5,1
2019-09-01,2,2,1,1,0,0,1,0,4,4,26,5,1
2019-10-01,4,8,2,3,1,2,0,0,13,13,92,5,2
2019-11-01,2,3,0,2,0,1,1,0,6,6,22,3,0
2019-12-01,1,1,1,1,1,1,1,0,7,2,45,5,1
2020-01-01,2,3,0,2,0,0,0,1,1,4,20,4,0
2020-02-01,2,5,0,2,0,0,1,0,4,6,18,9,1
2020-03-01,3,30,0,3,0,5,0,4,24,21,80,5,0
2020-04-01,4,10,2,2,0,7,1,6,13,15,41,8,2
2020-05-01,1,1,0,1,0,3,0,1,11,4,35,17,2
2020-06-01,0,0,0,0,0,0,0,0,1,1,10,2,1
2020-07-01,2,2,0,2,0,1,0,1,3,1,5,0,0
2020-08-01,1,1,0,1,0,3,0,1,4,1,0,8,3
