dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-03-01,1,81,1,1,1,2,0,2,19,11,19,0,0
2015-04-01,2,123,1,2,1,0,0,0,33,19,60,2,1
2015-05-01,1,179,0,1,0,0,0,0,21,21,35,2,0
2015-06-01,1,4,0,1,0,0,0,0,0,0,0,2,0
2015-07-01,1,11,0,1,0,0,0,0,0,2,0,3,1
2015-08-01,3,205,2,3,2,0,0,0,39,32,143,4,1
2015-09-01,3,142,1,3,1,1,1,0,30,28,89,9,0
2015-10-01,1,120,0,1,0,0,0,0,23,21,109,8,1
2015-11-01,1,57,0,1,0,0,0,0,11,9,11,1,0
2015-12-01,1,42,0,1,0,0,0,0,6,10,29,10,1
2016-01-01,1,93,0,1,0,0,0,0,14,12,33,10,1
2016-02-01,2,71,0,2,0,2,0,2,12,8,78,8,1
2016-03-01,2,36,0,2,0,0,0,0,3,2,14,6,2
2016-04-01,3,91,2,3,2,0,0,0,11,14,39,33,2
2016-05-01,0,0,0,0,0,0,0,0,1,0,1,7,2
2016-06-01,1,95,0,1,0,0,0,0,12,10,44,7,1
2016-07-01,1,55,0,1,0,0,0,0,2,4,7,10,3
2016-08-01,1,75,0,1,0,0,0,0,10,13,42,11,3
2016-09-01,1,18,0,1,0,0,0,0,3,4,8,25,5
2016-10-01,2,53,1,2,0,0,0,0,10,8,57,12,3
2016-11-01,3,58,2,3,1,0,0,0,18,14,70,14,6
2016-12-01,2,17,1,2,0,0,0,0,8,7,40,17,3
2017-01-01,1,48,0,1,0,0,0,0,13,13,69,22,2
2017-02-01,1,3,0,1,0,0,0,0,2,0,3,20,2
2017-03-01,1,13,0,1,0,0,0,0,1,4,16,21,8
2017-04-01,3,53,1,2,0,0,0,0,22,15,85,37,8
2017-05-01,2,90,0,2,0,0,0,0,17,20,75,13,1
2017-06-01,1,8,0,1,0,0,0,0,3,4,35,9,4
2017-07-01,1,25,0,1,0,0,0,0,10,10,46,18,6
2017-08-01,1,33,0,1,0,0,0,0,14,10,30,15,5
2017-09-01,3,48,2,3,2,0,0,0,21,11,86,21,2
2017-10-01,4,53,1,4,1,1,1,0,15,25,93,21,9
2017-11-01,3,6,0,3,0,0,0,0,10,9,73,24,7
2017-12-01,0,0,0,0,0,0,0,0,1,1,8,20,5
2018-01-01,3,16,2,2,0,0,0,0,7,6,18,50,10
2018-02-01,1,31,0,1,0,0,0,0,13,6,83,23,4
2018-03-01,4,21,2,3,1,0,0,0,10,9,91,34,6
2018-04-01,2,31,0,2,0,0,0,0,11,13,50,33,7
2018-05-01,2,15,1,2,0,0,0,0,12,14,80,80,10
2018-06-01,10,104,6,7,3,0,0,0,36,27,178,37,5
2018-07-01,3,30,0,3,0,0,0,0,8,9,47,30,6
2018-08-01,3,45,1,3,0,0,0,0,16,12,121,35,6
2018-09-01,4,42,2,4,1,0,0,0,14,11,102,28,9
2018-10-01,9,41,5,6,0,0,0,0,18,13,101,44,5
2018-11-01,1,2,0,1,0,0,0,0,3,5,29,26,3
2018-12-01,3,5,0,3,0,0,0,0,9,2,54,34,4
2019-01-01,1,1,1,1,1,0,0,0,9,0,26,44,12
2019-02-01,5,46,1,5,0,0,0,0,14,18,82,56,6
2019-03-01,5,17,4,3,0,0,0,0,26,5,96,33,15
2019-04-01,7,40,1,4,0,1,0,0,13,12,52,44,7
2019-05-01,4,47,2,4,1,0,0,1,14,12,77,37,9
2019-06-01,4,31,1,4,1,0,0,0,11,12,43,29,5
2019-07-01,3,5,2,3,2,0,0,0,12,6,60,33,9
2019-08-01,0,0,0,0,0,0,0,0,4,3,24,41,9
2019-09-01,5,19,3,5,3,0,0,0,16,17,140,24,8
2019-10-01,5,26,3,5,1,0,0,0,12,6,46,26,8
2019-11-01,3,4,1,3,0,0,0,0,5,1,7,42,8
2019-12-01,2,23,0,2,0,0,0,0,15,24,156,36,5
2020-01-01,2,2,1,2,1,0,0,0,8,8,60,26,10
2020-02-01,6,22,5,5,1,0,0,0,13,6,58,31,12
2020-03-01,1,1,0,1,0,0,0,0,3,4,13,46,7
2020-04-01,2,3,1,2,1,0,0,0,5,3,25,37,6
2020-05-01,4,10,1,4,1,0,0,0,6,6,32,39,13
2020-06-01,1,1,0,1,0,0,0,0,7,9,57,25,6
2020-07-01,5,85,2,4,1,0,0,0,28,25,97,48,14
