dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-01-01,2,6,2,2,2,1,0,0,1,0,1,0,0
2015-02-01,2,23,0,2,0,1,0,1,2,1,2,0,0
2015-03-01,2,13,0,2,0,1,0,1,1,1,0,1,0
2015-04-01,2,19,0,2,0,1,0,2,1,2,0,0,0
2015-05-01,2,15,1,2,1,1,0,0,1,0,0,3,1
2015-06-01,2,29,0,2,0,0,0,1,0,1,0,7,1
2015-07-01,2,4,0,2,0,0,0,0,1,0,2,5,1
2015-08-01,1,32,0,1,0,1,0,0,2,0,3,18,5
2015-09-01,2,98,1,1,0,3,0,3,13,11,49,47,6
2015-10-01,2,56,1,1,0,4,0,5,14,9,49,43,6
2015-11-01,4,32,3,3,2,4,1,3,10,7,36,89,13
2015-12-01,1,8,0,1,0,0,0,0,4,4,9,69,1
2016-01-01,2,72,1,1,0,2,0,2,8,6,19,25,3
2016-02-01,1,66,0,1,0,3,0,2,7,7,54,38,4
2016-03-01,3,58,2,3,2,6,1,5,19,15,125,72,11
2016-04-01,1,48,0,1,0,2,0,1,10,4,60,35,5
2016-05-01,6,38,5,4,3,5,2,5,9,12,36,33,4
2016-06-01,5,21,2,5,1,4,0,2,7,7,38,32,5
2016-07-01,2,28,0,2,0,0,0,2,2,6,28,15,2
2016-08-01,1,7,0,1,0,1,0,1,2,1,1,19,1
2016-09-01,4,17,2,4,2,2,0,2,6,3,19,147,44
2016-10-01,1,36,0,1,0,0,0,0,1,1,7,31,6
2016-11-01,6,31,4,2,0,4,2,1,10,9,69,24,12
2016-12-01,2,21,0,2,0,1,1,0,3,4,27,18,4
2017-01-01,2,36,0,2,0,1,1,0,2,4,21,16,2
2017-02-01,1,8,0,1,0,0,0,0,5,3,31,16,2
2017-03-01,2,13,0,2,0,1,0,1,4,3,17,10,1
2017-04-01,1,2,0,1,0,0,0,0,0,0,0,8,2
2017-05-01,2,7,1,1,0,0,0,0,1,1,8,8,1
2017-06-01,2,38,0,1,0,0,0,0,0,0,0,12,2
2017-07-01,4,27,1,2,1,1,0,1,1,2,19,18,3
2017-08-01,3,5,1,1,0,0,0,0,1,4,9,11,1
2017-09-01,4,13,0,1,0,0,0,0,0,0,0,9,0
2017-10-01,5,13,1,1,0,0,0,0,0,0,0,19,1
2017-11-01,4,10,0,1,0,0,0,0,0,0,0,18,4
2017-12-01,4,18,0,1,0,0,0,0,0,0,0,8,0
2018-01-01,5,15,1,1,0,0,0,0,1,0,5,7,0
2018-02-01,6,35,1,1,0,0,0,0,0,0,0,9,1
2018-03-01,5,22,0,1,0,0,0,0,0,0,0,5,2
2018-04-01,5,14,0,1,0,0,0,0,3,0,32,6,1
2018-05-01,4,18,0,1,0,0,0,0,2,0,6,5,1
2018-06-01,4,23,0,1,0,0,0,0,0,0,0,5,0
2018-07-01,4,20,0,1,0,0,0,0,0,0,0,7,1
2018-08-01,4,25,0,1,0,0,0,0,0,0,0,11,2
2018-09-01,5,15,1,1,0,0,0,0,0,0,0,5,3
2018-10-01,7,19,5,4,1,0,0,0,12,10,28,25,5
2018-11-01,6,19,2,3,0,0,1,0,19,21,65,18,3
2018-12-01,6,11,3,5,2,0,0,0,9,9,32,10,3
2019-01-01,6,17,0,4,0,0,0,0,25,36,87,7,2
2019-02-01,7,45,1,4,0,0,0,0,43,46,67,12,2
2019-03-01,7,32,1,4,0,1,0,1,41,38,58,22,1
2019-04-01,6,31,1,4,0,4,0,4,42,46,50,9,5
2019-05-01,5,37,1,3,0,2,0,2,50,49,49,8,1
2019-06-01,7,23,0,4,0,2,0,2,38,35,35,8,0
2019-07-01,5,16,0,4,0,1,0,1,20,20,24,8,2
2019-08-01,6,26,1,4,0,1,0,0,31,32,53,11,0
2019-09-01,5,21,0,4,0,3,1,2,32,28,67,15,4
2019-10-01,10,21,4,6,2,0,0,1,23,24,25,8,0
2019-11-01,6,15,0,3,0,1,0,1,20,19,24,13,1
2019-12-01,6,17,0,2,0,1,0,1,18,20,15,11,1
2020-01-01,6,27,0,4,0,4,2,2,40,41,25,5,1
2020-02-01,6,32,0,4,0,1,0,1,42,41,21,6,1
2020-03-01,7,40,1,4,0,2,0,2,51,52,22,3,0
2020-04-01,7,24,1,4,0,2,1,1,27,31,16,3,0
2020-05-01,5,19,0,4,0,3,0,3,26,25,14,9,0
2020-06-01,6,30,1,4,0,1,0,1,44,42,22,8,0
2020-07-01,10,27,3,5,1,0,0,0,33,30,43,19,1
2020-08-01,6,23,0,4,0,0,0,0,35,32,47,12,1
