dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-02-01,2,22,0,2,0,1,0,1,2,1,4,39,3
2016-03-01,3,142,1,3,1,15,1,13,28,20,143,22,4
2016-04-01,4,93,1,4,1,16,1,9,32,23,271,15,4
2016-05-01,5,56,2,4,1,12,1,13,15,20,174,16,3
2016-06-01,7,147,2,4,0,20,3,16,38,28,332,15,3
2016-07-01,4,67,0,3,0,21,3,13,36,28,226,12,1
2016-08-01,5,97,1,3,0,20,3,18,39,32,343,6,4
2016-09-01,3,48,0,3,0,14,0,12,25,25,393,8,2
2016-10-01,5,48,1,3,1,21,6,14,34,29,262,46,13
2016-11-01,6,48,2,4,1,25,1,25,40,37,249,35,4
2016-12-01,2,4,0,2,0,6,1,4,15,7,102,14,5
2017-01-01,4,26,0,3,0,13,3,10,23,18,274,13,3
2017-02-01,3,22,2,3,1,18,1,11,32,16,188,13,6
2017-03-01,8,69,4,5,2,21,9,15,34,36,326,53,6
2017-04-01,2,5,0,2,0,3,0,3,12,6,79,19,3
2017-05-01,5,20,1,5,1,8,1,4,16,7,100,20,7
2017-06-01,7,38,4,4,1,11,3,5,18,10,110,20,11
2017-07-01,6,28,1,4,0,10,2,7,19,27,241,18,3
2017-08-01,8,46,0,5,0,20,13,17,38,48,499,17,9
2017-09-01,3,61,0,2,0,7,1,1,14,10,161,8,4
2017-10-01,6,91,2,3,0,7,6,3,24,15,160,30,8
2017-11-01,8,171,2,5,0,26,3,23,51,42,410,27,9
2017-12-01,5,33,0,4,0,7,1,5,20,13,127,41,10
2018-01-01,9,36,3,5,0,15,2,12,32,21,168,26,7
2018-02-01,10,19,2,5,1,14,4,6,25,22,163,16,6
2018-03-01,11,48,2,5,1,13,0,11,36,25,190,28,10
2018-04-01,7,37,3,2,0,14,4,14,37,58,364,27,12
2018-05-01,7,15,1,3,0,16,12,15,39,102,688,31,6
2018-06-01,8,12,4,4,1,9,0,12,33,32,243,22,9
2018-07-01,4,6,0,2,0,5,1,6,13,9,64,27,5
2018-08-01,1,1,0,1,0,1,1,1,20,15,109,31,11
2018-09-01,1,2,0,1,0,0,0,0,22,20,100,25,4
2018-10-01,2,20,0,2,0,1,1,1,9,6,57,25,6
2018-11-01,1,7,0,1,0,0,0,0,15,8,51,26,10
2018-12-01,1,4,0,1,0,0,0,0,12,14,74,24,5
2019-01-01,1,3,0,1,0,0,0,0,20,16,67,38,12
2019-02-01,1,9,0,1,0,0,0,0,32,34,120,33,3
2019-03-01,2,75,1,2,0,0,0,0,8,24,73,25,4
2019-04-01,1,11,0,1,0,0,0,0,10,10,47,29,14
2019-05-01,1,11,0,1,0,0,0,0,16,15,76,21,7
2019-06-01,2,17,0,2,0,0,0,0,8,8,46,23,6
2019-07-01,1,9,0,1,0,0,0,0,19,16,66,18,2
2019-08-01,1,2,1,1,0,1,0,1,29,14,55,25,6
2019-09-01,5,52,1,3,0,0,0,0,24,29,97,11,10
2019-10-01,9,57,3,3,0,0,0,0,62,54,280,23,6
2019-11-01,9,39,3,3,0,1,2,1,40,52,226,24,11
2019-12-01,3,7,1,2,0,0,0,0,26,39,229,18,2
2020-01-01,4,18,2,2,0,0,0,0,45,29,205,19,8
2020-02-01,10,28,4,4,1,0,0,0,55,45,224,16,6
2020-03-01,10,66,4,4,1,1,0,1,108,109,515,28,13
2020-04-01,11,29,5,5,2,1,0,1,48,47,265,26,13
2020-05-01,7,23,0,3,0,4,1,3,41,41,207,19,10
2020-06-01,7,11,3,4,1,2,0,2,29,21,118,14,7
2020-07-01,4,8,1,3,0,0,0,0,20,16,65,40,4
2020-08-01,8,11,2,5,2,2,1,1,14,19,59,24,4
