dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-12-01,1,3,1,1,1,2,1,0,7,5,50,981,184
2016-01-01,0,0,0,0,0,0,1,0,1,2,13,43,7
2016-02-01,5,185,5,1,0,1,1,0,69,55,121,28,6
2016-03-01,5,119,2,2,1,4,3,1,43,38,84,10,3
2016-04-01,5,92,1,1,0,4,1,2,54,40,105,18,1
2016-05-01,6,131,1,2,1,1,1,1,60,47,131,35,7
2016-06-01,4,82,1,2,0,3,1,2,58,34,108,15,3
2016-07-01,5,162,0,2,0,3,1,2,55,60,91,6,2
2016-08-01,5,149,1,1,0,1,0,1,37,36,63,4,3
2016-09-01,5,161,1,1,0,4,0,4,52,48,84,3,3
2016-10-01,10,139,4,2,1,2,0,2,73,71,161,24,5
2016-11-01,6,141,0,1,0,2,0,2,55,55,139,34,11
2016-12-01,4,167,0,1,0,4,0,3,50,60,128,12,5
2017-01-01,7,184,2,2,0,3,1,3,58,60,174,13,1
2017-02-01,5,226,0,1,0,1,0,1,59,63,165,7,0
2017-03-01,6,251,1,1,0,4,2,2,70,68,224,9,2
2017-04-01,7,127,0,1,0,4,0,4,54,51,185,7,4
2017-05-01,8,272,3,2,0,6,2,4,79,75,257,7,1
2017-06-01,8,499,2,1,0,3,1,2,92,99,293,12,3
2017-07-01,11,463,2,2,0,2,0,2,111,89,374,6,1
2017-08-01,10,490,0,2,0,1,0,1,90,98,261,7,4
2017-09-01,10,488,0,1,0,3,0,3,129,128,392,9,0
2017-10-01,12,486,2,3,2,4,0,4,124,117,417,12,2
2017-11-01,10,380,2,4,1,1,0,1,88,94,326,12,1
2017-12-01,7,165,0,3,0,0,0,0,34,41,105,8,6
2018-01-01,8,203,0,3,0,0,0,0,46,60,138,6,6
2018-02-01,7,67,0,2,0,1,1,0,34,15,62,7,0
2018-03-01,8,207,0,2,0,0,0,0,65,67,160,15,1
2018-04-01,7,63,0,4,0,0,0,0,30,33,94,12,2
2018-05-01,5,30,0,3,0,0,0,0,25,27,122,6,1
2018-06-01,5,14,0,3,0,0,0,0,15,9,28,7,2
2018-07-01,3,16,0,3,0,0,0,0,19,22,51,7,1
2018-08-01,2,4,0,2,0,0,0,0,11,1,18,14,2
2018-09-01,8,50,2,3,0,0,0,0,34,40,87,4,0
2018-10-01,8,107,2,3,0,0,0,0,47,33,106,8,4
2018-11-01,5,64,1,1,0,0,0,0,31,26,72,6,1
2018-12-01,11,112,3,4,1,0,0,0,48,40,132,8,0
2019-01-01,10,59,2,3,0,0,0,0,51,50,159,9,6
2019-02-01,6,21,0,2,0,0,0,0,39,27,138,10,2
2019-03-01,11,34,5,2,0,2,2,0,33,56,179,40,5
2019-04-01,5,13,1,2,0,0,0,0,15,16,58,0,3
2019-05-01,4,6,0,2,0,1,1,0,14,12,33,12,1
2019-06-01,4,5,1,1,0,2,2,0,9,12,28,2,2
2019-07-01,4,5,0,2,0,0,0,0,5,8,21,18,2
2019-08-01,2,4,0,1,0,0,0,0,13,9,25,7,0
2019-09-01,3,8,0,2,0,0,0,0,4,8,11,4,2
2019-10-01,3,7,0,2,0,0,0,0,7,6,16,10,3
2019-11-01,3,4,1,2,0,2,2,0,12,10,43,6,1
2019-12-01,1,2,0,1,0,0,0,0,3,4,8,6,2
2020-01-01,4,11,1,3,0,0,0,0,21,22,38,9,2
2020-02-01,3,5,0,2,0,0,0,0,10,6,21,3,2
2020-03-01,4,5,3,1,0,0,0,0,13,11,69,7,3
2020-04-01,4,6,1,2,0,0,0,0,12,14,47,1,2
2020-05-01,2,4,0,2,0,0,0,0,4,3,11,6,0
2020-06-01,2,2,0,1,0,0,0,0,9,8,26,5,0
2020-07-01,1,1,1,1,0,0,0,0,10,10,40,4,2
2020-08-01,2,2,1,1,0,0,0,0,3,4,15,5,1
