dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-03-01,13,255,12,5,4,65,7,56,110,77,566,51,7
2016-04-01,14,177,7,7,3,106,16,90,155,167,899,23,4
2016-05-01,18,129,7,9,2,81,12,68,132,106,769,897,13
2016-06-01,14,87,5,9,3,61,7,50,94,91,609,361,19
2016-07-01,9,69,3,6,2,36,5,31,55,54,431,194,10
2016-08-01,14,126,6,7,1,44,3,43,78,68,470,341,13
2016-09-01,10,119,2,4,0,57,1,54,100,88,538,221,13
2016-10-01,16,158,8,7,2,80,6,70,137,100,626,996,30
2016-11-01,19,134,9,5,2,92,7,83,223,187,1012,1355,40
2016-12-01,15,112,7,6,1,95,9,74,284,252,1474,1287,40
2017-01-01,18,128,4,7,0,105,8,102,218,203,1450,735,30
2017-02-01,14,113,4,7,2,107,8,96,209,170,1184,675,22
2017-03-01,18,84,7,8,2,71,12,70,148,136,969,343,24
2017-04-01,10,67,2,3,0,74,7,59,161,116,804,334,24
2017-05-01,23,205,9,8,3,167,10,147,302,248,1739,554,63
2017-06-01,16,108,6,5,0,81,7,78,213,199,1344,521,64
2017-07-01,14,59,3,5,0,51,6,44,181,148,907,401,95
2017-08-01,20,51,8,7,2,43,6,37,404,382,1393,530,132
2017-09-01,13,41,8,4,1,30,9,32,228,338,1196,311,98
2017-10-01,15,53,5,5,2,61,5,45,250,220,952,423,106
2017-11-01,13,44,3,5,2,41,6,38,255,248,1170,337,87
2017-12-01,13,30,5,6,2,32,3,27,177,166,656,413,89
2018-01-01,13,57,3,5,0,55,4,52,246,251,956,473,116
2018-02-01,10,40,2,5,1,39,4,37,238,215,907,354,314
2018-03-01,11,69,3,2,0,70,4,65,240,275,1124,340,808
2018-04-01,12,82,3,4,1,86,5,81,165,156,670,329,253
2018-05-01,11,104,4,4,1,119,10,101,320,276,1038,397,287
2018-06-01,13,53,6,5,2,61,5,52,198,171,793,257,461
2018-07-01,11,51,4,7,2,56,9,50,159,141,574,305,524
2018-08-01,10,60,2,5,1,75,4,60,174,242,1016,272,160
2018-09-01,15,71,8,9,4,75,9,71,202,201,808,317,250
2018-10-01,13,86,6,5,0,98,18,85,217,208,1058,236,252
2018-11-01,8,46,1,4,0,61,5,46,244,185,1143,385,140
2018-12-01,13,26,3,6,2,35,7,26,160,148,942,245,156
2019-01-01,13,54,4,5,2,57,22,53,194,194,994,276,168
2019-02-01,11,45,3,5,1,56,1,45,206,200,1021,265,105
2019-03-01,14,66,5,6,1,71,15,66,480,457,1499,301,106
2019-04-01,18,97,6,9,1,117,20,97,855,902,2889,258,115
2019-05-01,15,88,3,6,2,103,14,87,337,363,1776,310,119
2019-06-01,19,67,7,4,0,78,8,65,199,224,1397,271,91
2019-07-01,14,52,6,3,0,64,18,52,157,179,1166,318,105
2019-08-01,12,48,3,5,1,55,5,48,130,113,719,258,78
2019-09-01,14,41,3,5,1,51,7,41,121,129,781,212,75
2019-10-01,14,58,4,6,1,68,5,58,148,109,865,212,90
2019-11-01,15,40,6,8,2,57,5,40,140,103,604,338,148
2019-12-01,10,23,5,6,2,33,7,23,84,73,520,308,201
2020-01-01,17,67,8,7,3,59,8,67,108,163,733,182,139
2020-02-01,10,34,4,6,2,37,6,34,106,95,756,243,111
2020-03-01,14,33,4,6,0,41,1,33,117,85,538,284,123
2020-04-01,12,49,5,5,1,61,7,49,141,124,733,276,133
2020-05-01,17,70,4,4,0,82,11,70,201,182,930,343,140
2020-06-01,11,42,4,5,1,56,8,42,143,127,814,250,135
2020-07-01,21,63,11,7,3,73,14,63,160,142,743,234,128
2020-08-01,24,61,13,6,1,63,8,61,147,140,799,230,91
