dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-11-01,1,4,0,1,0,0,0,0,1,0,5,0,0
2015-12-01,2,15,0,2,0,1,0,1,1,1,2,3,0
2016-01-01,2,15,0,2,0,0,0,0,4,2,15,4,0
2016-02-01,3,61,1,3,1,1,0,1,17,10,153,4,3
2016-03-01,2,38,0,2,0,1,1,0,3,7,34,8,2
2016-04-01,2,38,0,2,0,0,0,0,6,3,17,8,2
2016-05-01,2,57,0,2,0,1,1,0,21,19,108,18,8
2016-06-01,2,40,0,2,0,0,0,0,20,16,140,29,8
2016-07-01,2,43,0,2,0,1,0,1,8,9,47,86,8
2016-08-01,4,41,2,4,2,2,0,2,15,18,102,176,16
2016-09-01,2,28,0,2,0,1,0,1,16,13,100,37,6
2016-10-01,1,2,1,1,1,3,0,0,20,3,55,23,5
2016-11-01,2,30,0,2,0,0,1,2,11,27,121,25,5
2016-12-01,4,25,2,3,1,3,1,2,14,15,98,23,4
2017-01-01,4,36,1,2,0,2,0,2,21,18,127,39,5
2017-02-01,2,25,0,2,0,1,0,1,16,24,116,24,0
2017-03-01,3,23,1,2,0,2,1,1,13,11,69,32,6
2017-04-01,2,26,0,2,0,2,1,1,13,13,58,35,5
2017-05-01,3,17,1,3,1,1,0,1,13,9,64,35,7
2017-06-01,4,27,2,3,1,7,1,6,20,21,106,38,5
2017-07-01,4,30,2,3,1,8,1,6,20,19,118,29,3
2017-08-01,3,15,1,3,1,2,1,1,18,25,137,28,9
2017-09-01,5,18,3,5,3,5,0,5,20,18,51,23,4
2017-10-01,6,18,2,4,1,6,0,6,19,17,67,36,8
2017-11-01,3,16,1,2,0,2,2,1,15,17,53,33,13
2017-12-01,2,10,0,2,0,0,0,0,4,6,23,33,1
2018-01-01,2,7,0,2,0,0,0,0,15,16,103,42,5
2018-02-01,3,11,1,3,1,1,0,1,13,12,56,21,4
2018-03-01,7,71,4,5,2,9,0,8,20,15,33,27,4
2018-04-01,2,8,1,1,0,5,4,1,16,16,84,22,4
2018-05-01,1,11,0,1,0,0,0,0,9,12,56,19,6
2018-06-01,3,5,1,3,1,1,0,2,10,9,34,20,6
2018-07-01,3,24,0,2,0,4,0,4,13,14,54,22,5
2018-08-01,2,7,0,1,0,3,1,1,10,3,31,22,10
2018-09-01,1,2,0,1,0,1,0,1,8,12,45,26,6
2018-10-01,2,20,1,1,0,3,0,3,12,10,6,83,7
2018-11-01,2,16,0,1,0,3,2,1,7,7,39,28,5
2018-12-01,1,17,0,1,0,0,0,1,6,10,29,25,3
2019-01-01,1,15,0,1,0,2,0,1,8,4,17,29,4
2019-02-01,0,0,0,0,0,1,0,0,5,2,2,24,7
2019-03-01,6,28,4,3,1,10,2,9,18,20,64,34,6
2019-04-01,3,18,2,2,0,4,1,4,11,10,30,52,7
2019-05-01,2,6,0,2,0,2,1,0,15,6,40,27,4
2019-06-01,2,5,1,1,0,1,0,1,10,10,36,21,6
2019-07-01,4,39,2,2,1,5,0,5,14,34,124,33,9
2019-08-01,5,55,4,4,3,9,1,9,17,21,66,26,8
2019-09-01,3,46,2,2,1,8,0,8,17,13,41,19,7
2019-10-01,1,5,0,1,0,0,0,0,5,1,30,28,6
2019-11-01,3,14,2,2,1,4,0,4,10,9,44,34,4
2019-12-01,2,22,1,2,0,5,0,5,11,6,22,26,8
2020-01-01,1,24,0,1,0,3,1,2,5,8,16,17,3
2020-02-01,2,21,0,1,0,3,0,3,10,13,18,25,5
2020-03-01,3,20,2,2,1,5,1,3,13,9,61,59,10
2020-04-01,3,12,1,2,0,3,0,3,17,14,57,60,10
2020-05-01,5,20,3,3,0,7,1,6,18,22,58,58,14
2020-06-01,2,12,1,1,0,4,2,3,14,15,54,37,12
2020-07-01,2,3,1,1,0,2,0,2,18,19,110,29,6
2020-08-01,2,11,1,2,0,4,1,2,17,15,29,26,7
