dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-07-01,11,84,11,4,4,14,4,8,27,16,85,204,39
2015-08-01,10,147,6,7,4,52,3,45,78,61,323,75,27
2015-09-01,10,32,5,8,4,13,3,10,27,25,127,36,13
2015-10-01,9,33,4,3,0,12,4,10,24,27,195,40,23
2015-11-01,7,41,2,4,1,13,1,10,34,23,148,38,14
2015-12-01,9,141,2,5,1,19,4,14,69,36,522,26,14
2016-01-01,9,250,3,5,1,8,0,9,41,25,300,27,13
2016-02-01,10,209,3,6,1,14,3,11,73,43,382,20,20
2016-03-01,13,142,4,7,2,50,15,38,106,141,621,165,26
2016-04-01,6,89,3,2,0,8,4,3,50,41,333,68,33
2016-05-01,15,163,6,9,4,13,4,6,73,47,283,54,22
2016-06-01,10,80,3,5,1,24,4,20,59,47,376,119,23
2016-07-01,9,54,3,5,0,11,3,10,66,35,422,85,40
2016-08-01,12,27,6,4,1,9,3,2,51,26,339,49,28
2016-09-01,10,115,3,4,1,26,1,24,97,64,628,64,28
2016-10-01,10,51,2,5,1,9,1,5,41,56,585,58,21
2016-11-01,10,69,3,4,0,20,3,19,74,67,612,100,32
2016-12-01,9,18,3,5,1,25,5,12,61,77,831,51,31
2017-01-01,6,12,1,3,0,13,1,9,79,72,911,53,26
2017-02-01,8,25,3,4,0,14,4,21,76,118,879,53,22
2017-03-01,8,19,1,4,0,18,2,19,74,86,815,58,24
2017-04-01,7,9,3,4,1,12,2,9,64,43,539,63,33
2017-05-01,8,16,2,4,0,26,3,15,81,56,640,61,32
2017-06-01,7,17,3,5,1,19,2,15,72,51,682,86,42
2017-07-01,17,45,10,7,2,27,2,33,69,70,394,69,39
2017-08-01,11,24,4,5,1,40,8,24,116,96,733,36,23
2017-09-01,7,23,1,4,0,19,3,23,57,133,856,35,25
2017-10-01,7,19,2,4,0,24,4,19,50,44,257,50,26
2017-11-01,2,6,0,1,0,9,1,6,67,26,295,39,30
2017-12-01,9,17,6,4,1,16,4,17,40,47,207,32,29
2018-01-01,12,22,5,3,0,26,3,22,62,69,422,150,66
2018-02-01,9,30,1,3,0,40,5,30,84,108,498,53,38
2018-03-01,9,17,6,6,2,14,6,9,49,37,329,74,30
2018-04-01,12,30,3,5,1,27,4,24,70,76,435,65,38
2018-05-01,12,18,5,7,1,15,5,12,74,66,446,69,34
2018-06-01,10,21,1,5,1,22,4,16,72,77,548,45,37
2018-07-01,6,30,2,3,1,14,2,8,54,42,290,67,29
2018-08-01,10,54,3,4,0,20,7,15,41,69,345,39,32
2018-09-01,15,60,3,5,0,25,3,24,43,62,281,51,23
2018-10-01,13,63,6,2,0,42,7,33,78,105,621,38,35
2018-11-01,11,29,2,3,0,35,7,29,63,61,311,70,32
2018-12-01,4,15,0,3,0,13,2,8,38,35,353,42,30
2019-01-01,13,18,7,4,1,20,5,18,51,80,679,49,31
2019-02-01,8,15,2,3,0,20,2,15,53,35,314,47,29
2019-03-01,10,15,5,5,2,21,5,15,45,42,261,37,23
2019-04-01,9,29,2,3,0,25,3,25,53,60,516,61,26
2019-05-01,10,27,3,5,1,27,2,27,67,73,501,39,26
2019-06-01,11,31,5,3,0,31,4,31,62,72,487,45,21
2019-07-01,10,13,5,4,1,19,10,13,38,53,240,41,25
2019-08-01,6,37,2,2,0,38,2,37,50,55,135,33,22
2019-09-01,1,4,0,1,0,8,2,4,24,14,73,27,14
2019-10-01,4,7,2,2,0,5,3,4,21,15,77,93,28
2019-11-01,1,1,0,1,0,4,2,1,9,27,126,34,16
2019-12-01,3,3,3,3,1,2,1,3,6,13,33,42,21
2020-01-01,1,1,0,1,0,2,2,1,7,10,112,24,16
2020-02-01,2,2,1,2,0,1,1,1,4,3,23,22,15
2020-03-01,0,0,0,0,0,0,0,0,14,8,60,32,33
2020-04-01,2,3,0,2,0,3,0,2,8,5,31,36,27
2020-05-01,0,0,0,0,0,1,1,0,6,6,20,29,19
2020-06-01,0,0,0,0,0,1,0,0,13,6,39,25,11
2020-07-01,1,1,0,1,0,10,10,1,25,28,86,78,35
