dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-12-01,3,98,2,3,2,0,0,0,4,2,9,0,0
2016-01-01,5,92,3,5,2,0,0,0,26,14,215,116,13
2016-02-01,2,11,0,2,0,0,0,0,19,17,191,49,5
2016-03-01,0,0,0,0,0,0,0,0,14,5,92,33,6
2016-04-01,2,5,0,2,0,0,0,0,16,9,166,49,10
2016-05-01,1,7,0,1,0,1,0,1,32,20,292,58,14
2016-06-01,2,38,0,2,0,0,0,0,35,55,454,58,12
2016-07-01,4,90,2,3,1,0,0,0,39,33,340,51,12
2016-08-01,7,125,5,6,4,0,0,0,64,70,592,52,17
2016-09-01,10,163,7,7,3,1,1,0,112,105,1117,82,16
2016-10-01,6,100,3,6,2,0,0,0,93,95,885,90,24
2016-11-01,6,49,4,3,1,0,0,0,56,61,648,64,28
2016-12-01,5,146,3,3,1,0,0,0,132,128,1190,71,29
2017-01-01,12,83,9,7,4,0,0,0,116,100,1149,92,17
2017-02-01,10,67,7,8,4,0,0,0,95,91,1078,97,20
2017-03-01,14,133,11,9,4,0,0,0,153,157,1663,101,35
2017-04-01,15,118,10,10,4,0,0,0,111,112,1232,100,30
2017-05-01,11,47,7,6,1,0,0,0,103,97,1061,109,30
2017-06-01,6,14,2,5,1,0,0,0,68,71,708,131,31
2017-07-01,6,12,4,4,0,0,0,0,84,54,697,105,28
2017-08-01,9,54,6,5,0,0,0,0,101,118,1028,118,33
2017-09-01,10,98,5,7,4,0,0,0,103,115,1322,121,29
2017-10-01,10,100,6,8,3,0,0,0,109,103,1048,142,35
2017-11-01,8,73,5,6,2,0,0,0,133,127,1401,142,26
2017-12-01,9,106,6,6,1,0,0,0,111,121,1140,123,30
2018-01-01,10,31,8,7,5,0,0,0,109,93,1046,125,38
2018-02-01,10,28,7,6,2,0,0,0,76,76,787,116,36
2018-03-01,5,11,1,4,1,0,0,0,73,53,500,142,29
2018-04-01,5,45,3,3,0,0,0,0,91,96,986,118,26
2018-05-01,4,11,2,2,0,0,0,0,66,52,697,127,30
2018-06-01,9,28,5,5,1,0,0,0,84,68,713,128,33
2018-07-01,4,13,1,4,1,0,0,0,69,72,603,88,27
2018-08-01,7,53,3,3,0,0,0,0,84,103,903,127,45
2018-09-01,5,35,3,2,0,0,0,0,76,47,585,125,40
2018-10-01,11,37,9,5,2,0,0,0,107,106,1065,111,28
2018-11-01,11,74,6,7,3,2,0,0,91,103,898,130,43
2018-12-01,6,33,2,5,1,6,1,2,56,51,553,118,32
2019-01-01,6,22,2,3,0,6,3,4,81,75,714,139,28
2019-02-01,8,28,4,7,2,5,4,2,74,61,602,118,36
2019-03-01,11,59,7,7,2,14,1,9,79,44,474,156,37
2019-04-01,15,72,10,7,2,18,5,18,87,137,945,152,43
2019-05-01,9,51,2,6,0,12,1,9,70,54,440,189,61
2019-06-01,10,21,8,5,2,12,0,9,73,53,489,158,80
2019-07-01,14,57,9,5,1,29,3,26,124,132,986,202,110
2019-08-01,6,16,3,3,0,11,5,8,79,88,648,161,97
2019-09-01,9,44,2,7,1,23,8,13,107,86,690,183,80
2019-10-01,12,62,7,6,1,23,3,17,92,90,690,205,100
2019-11-01,6,25,3,5,1,21,8,12,87,82,654,148,76
2019-12-01,12,68,7,7,3,20,6,19,81,116,837,151,67
2020-01-01,5,63,2,3,0,18,4,7,83,99,771,156,80
2020-02-01,11,33,6,7,2,21,5,13,96,73,661,166,84
2020-03-01,12,59,6,6,1,26,7,28,109,131,950,197,83
2020-04-01,9,38,5,6,1,21,4,12,108,84,687,194,78
2020-05-01,7,50,4,5,1,25,6,21,107,113,563,161,80
2020-06-01,10,66,7,6,3,20,12,18,145,142,753,190,105
2020-07-01,13,59,10,7,1,0,0,0,101,139,613,177,88
2020-08-01,7,9,5,5,2,0,0,0,97,55,337,177,75
