dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-06-01,3,150,0,1,0,1,1,0,14,14,106,45,1
2015-07-01,3,97,0,1,0,3,3,0,7,7,20,4,1
2015-08-01,4,84,2,3,2,0,0,0,3,1,29,7,2
2015-09-01,5,84,2,5,2,2,1,1,23,19,126,8,2
2015-10-01,2,70,0,2,0,1,0,0,4,7,30,17,4
2015-11-01,4,71,2,4,2,1,2,0,8,8,69,32,12
2015-12-01,2,76,0,2,0,2,2,0,12,15,122,33,3
2016-01-01,5,94,3,5,3,6,3,1,43,18,188,33,9
2016-02-01,4,101,2,4,0,3,3,0,27,37,233,33,10
2016-03-01,2,92,0,2,0,0,1,0,19,9,103,27,4
2016-04-01,3,99,1,3,0,1,2,0,17,17,127,36,6
2016-05-01,4,126,2,4,1,2,2,0,30,19,157,80,15
2016-06-01,2,102,0,2,0,0,0,0,21,36,216,26,8
2016-07-01,4,92,2,4,1,2,2,0,14,16,129,31,10
2016-08-01,3,61,1,3,1,1,0,1,18,6,80,20,8
2016-09-01,2,61,0,2,0,1,1,0,22,13,175,29,3
2016-10-01,2,51,0,2,0,0,0,0,11,15,77,43,8
2016-11-01,2,69,0,2,0,1,0,0,18,2,78,32,10
2016-12-01,4,110,1,4,1,1,2,0,28,26,136,29,6
2017-01-01,3,110,1,3,0,2,2,0,30,26,174,53,13
2017-02-01,3,114,1,3,1,2,2,0,20,12,102,32,5
2017-03-01,3,68,1,3,0,1,0,1,26,28,248,54,10
2017-04-01,2,101,0,2,0,0,0,0,49,11,247,42,10
2017-05-01,5,90,2,4,1,2,0,2,40,53,297,39,3
2017-06-01,4,70,1,4,1,2,1,1,29,18,307,42,11
2017-07-01,3,248,0,3,0,4,4,0,104,102,655,48,13
2017-08-01,4,172,1,4,1,3,2,1,79,67,539,57,13
2017-09-01,7,241,4,7,4,14,5,7,105,117,722,65,15
2017-10-01,5,112,3,4,1,4,2,3,27,72,261,67,9
2017-11-01,4,132,2,4,1,2,0,2,40,32,287,69,17
2017-12-01,3,159,1,3,1,2,1,1,37,39,189,101,13
2018-01-01,7,269,4,5,1,9,0,9,43,43,310,98,16
2018-02-01,8,281,5,8,4,11,1,10,37,36,320,85,12
2018-03-01,3,333,0,3,0,6,0,5,72,46,318,77,12
2018-04-01,7,249,3,5,1,12,1,12,38,42,199,93,12
2018-05-01,6,175,3,4,1,5,1,4,45,25,212,84,15
2018-06-01,2,94,0,2,0,1,0,0,27,20,132,73,11
2018-07-01,2,97,0,2,0,1,1,0,45,112,464,98,11
2018-08-01,6,142,4,5,1,10,2,5,53,28,249,81,9
2018-09-01,6,122,3,5,1,21,7,13,45,47,256,137,16
2018-10-01,9,105,5,6,2,7,1,7,41,27,206,66,10
2018-11-01,3,88,1,3,1,2,2,1,29,57,311,55,12
2018-12-01,3,143,1,3,1,1,0,1,34,31,318,86,21
2019-01-01,6,90,4,6,2,5,1,3,35,25,183,70,5
2019-02-01,5,85,2,5,2,3,1,3,22,23,121,59,6
2019-03-01,2,88,0,2,0,1,0,0,41,20,270,101,16
2019-04-01,6,131,3,5,0,4,2,3,30,27,214,106,16
2019-05-01,5,94,2,5,1,3,0,2,20,16,110,83,10
2019-06-01,4,127,1,4,1,1,0,1,38,37,248,111,13
2019-07-01,6,153,3,6,1,2,0,4,29,32,152,179,20
2019-08-01,6,127,1,5,1,3,3,3,29,24,133,78,17
2019-09-01,4,63,0,4,0,5,1,4,29,21,112,55,11
2019-10-01,3,174,0,3,0,1,1,0,62,52,194,72,12
2019-11-01,5,122,1,4,0,3,0,3,23,9,101,75,11
2019-12-01,5,175,2,5,1,3,0,2,26,17,110,106,11
2020-01-01,4,199,1,4,1,3,2,1,21,9,71,72,9
2020-02-01,4,186,1,4,0,2,1,1,13,8,57,80,11
2020-03-01,6,113,2,5,0,5,0,4,23,11,73,98,14
2020-04-01,6,95,2,5,0,3,1,3,23,16,136,134,14
2020-05-01,3,80,0,3,0,1,0,0,22,8,121,114,10
2020-06-01,8,128,3,7,1,6,0,6,33,19,154,116,10
2020-07-01,6,73,3,4,0,6,2,3,28,16,192,129,24
2020-08-01,7,79,3,7,3,4,2,4,34,197,804,170,16
