dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-07-01,1,108,1,1,1,0,0,0,5,1,23,143,6
2015-08-01,3,139,2,3,2,1,0,1,7,6,77,91,1
2015-09-01,1,19,0,1,0,0,0,0,7,3,54,58,2
2015-10-01,2,38,1,2,1,1,0,1,4,2,10,18,1
2015-11-01,2,80,1,2,1,2,0,1,9,10,56,53,0
2015-12-01,3,173,2,3,1,2,1,2,14,16,216,69,4
2016-01-01,2,56,1,2,0,1,0,1,12,10,148,61,1
2016-02-01,2,56,1,2,1,1,0,1,9,12,58,40,1
2016-03-01,1,39,0,1,0,0,0,0,9,9,78,44,0
2016-04-01,1,10,0,1,0,0,0,0,3,4,34,59,3
2016-05-01,2,42,1,2,1,1,0,1,7,8,111,102,2
2016-06-01,1,42,0,1,0,0,0,0,9,9,63,56,1
2016-07-01,1,13,0,1,0,0,0,0,5,5,66,78,2
2016-08-01,1,7,0,1,0,0,0,0,4,3,30,117,3
2016-09-01,1,9,0,1,0,0,0,0,4,4,28,86,1
2016-10-01,1,8,0,1,0,0,0,0,8,8,40,77,1
2016-11-01,1,8,0,1,0,0,0,0,14,12,143,96,5
2016-12-01,1,21,0,1,0,0,0,0,10,13,139,78,6
2017-01-01,1,32,0,1,0,0,0,0,6,6,34,171,3
2017-02-01,2,7,1,2,1,0,0,0,9,7,61,111,3
2017-03-01,3,36,2,2,0,3,0,2,15,16,73,113,6
2017-04-01,3,53,2,2,0,4,3,2,24,23,222,1880,29
2017-05-01,2,6,1,2,1,1,0,1,7,3,27,168,4
2017-06-01,2,21,1,2,1,1,0,1,9,8,49,165,10
2017-07-01,1,5,0,1,0,0,0,0,4,2,47,219,3
2017-08-01,1,19,0,1,0,0,0,0,6,6,40,159,5
2017-09-01,1,6,0,1,0,0,0,0,9,9,43,232,7
2017-10-01,1,1,0,1,0,0,0,0,4,3,19,154,2
2017-11-01,1,1,0,1,0,0,0,0,3,2,16,139,7
2017-12-01,1,7,0,1,0,0,0,0,7,3,51,142,7
2018-01-01,2,21,1,2,0,0,0,0,6,11,111,125,12
2018-02-01,2,15,1,2,1,2,0,2,4,3,9,145,6
2018-03-01,2,9,1,2,0,2,1,1,9,5,45,110,7
2018-04-01,1,3,0,1,0,0,0,0,4,3,32,140,5
2018-05-01,1,12,0,1,0,0,0,0,12,12,104,205,0
2018-06-01,0,0,0,0,0,0,0,0,3,0,10,111,3
2018-07-01,2,10,0,2,0,1,0,1,9,7,187,161,9
2018-08-01,2,5,0,2,0,1,0,1,3,14,70,137,12
2018-09-01,1,5,0,1,0,0,0,0,6,9,78,132,5
2018-10-01,1,3,0,1,0,0,0,0,3,2,21,119,2
2018-11-01,0,0,0,0,0,0,0,0,1,3,13,100,5
2018-12-01,1,7,0,1,0,0,0,0,6,5,57,119,1
2019-01-01,3,14,2,3,1,2,0,2,5,4,9,185,9
2019-02-01,1,9,0,1,0,0,0,0,5,7,36,140,6
2019-03-01,2,12,1,2,1,1,0,1,5,3,19,182,8
2019-04-01,1,6,0,1,0,0,0,0,1,1,11,156,3
2019-05-01,2,3,0,2,0,0,0,0,9,5,69,175,9
2019-06-01,3,4,2,2,1,2,0,0,4,3,21,118,5
2019-07-01,3,8,1,3,0,1,0,3,5,8,66,124,4
2019-08-01,1,21,0,1,0,0,0,0,7,9,37,290,4
2019-09-01,1,10,0,1,0,1,1,0,6,5,28,338,12
2019-10-01,6,31,3,5,2,4,0,3,16,15,69,180,5
2019-11-01,3,25,0,3,0,0,0,0,7,7,20,118,6
2019-12-01,3,41,1,3,0,2,1,1,13,13,30,175,7
2020-01-01,2,55,0,2,0,0,0,0,20,19,127,264,8
2020-02-01,3,50,1,3,0,1,0,1,13,15,182,173,2
2020-03-01,4,67,2,4,1,3,1,2,40,34,427,194,18
2020-04-01,1,83,0,1,0,2,3,0,48,41,295,230,13
2020-05-01,6,123,4,6,2,2,0,2,51,48,322,467,11
2020-06-01,5,112,1,4,0,0,0,0,56,54,383,202,7
2020-07-01,1,62,0,1,0,0,0,0,29,32,144,218,5
2020-08-01,3,77,0,2,0,1,1,0,26,30,172,210,10
