dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-12-01,3,201,3,3,3,4,1,3,8,8,4,2,1
2016-01-01,3,124,0,3,0,5,1,4,14,13,21,4,0
2016-02-01,3,95,0,3,0,3,1,2,10,10,54,3,0
2016-03-01,4,53,1,3,0,0,0,0,5,5,20,9,2
2016-04-01,4,86,1,3,0,4,2,2,12,11,54,8,1
2016-05-01,6,26,2,3,0,0,0,0,12,13,86,7,3
2016-06-01,9,62,6,4,1,2,0,2,18,16,72,8,4
2016-07-01,4,48,0,3,0,5,2,3,13,14,39,10,2
2016-08-01,8,46,1,3,0,1,0,1,22,19,111,8,2
2016-09-01,5,54,1,3,0,1,0,0,23,14,115,10,1
2016-10-01,5,110,2,4,1,0,1,0,22,25,45,5,2
2016-11-01,8,103,2,3,0,2,0,2,40,35,173,12,2
2016-12-01,4,41,0,3,0,2,1,1,28,34,167,17,6
2017-01-01,4,6,1,4,1,2,2,0,17,17,79,20,3
2017-02-01,7,40,2,5,1,1,1,0,26,28,75,24,6
2017-03-01,7,34,3,4,0,17,8,6,32,35,181,17,3
2017-04-01,8,30,3,4,0,18,1,15,39,30,252,16,3
2017-05-01,5,31,2,3,0,15,4,12,30,32,182,25,7
2017-06-01,6,11,2,4,0,6,0,6,13,12,58,15,2
2017-07-01,7,31,2,5,1,22,2,19,35,37,211,22,8
2017-08-01,6,16,2,4,0,17,0,10,27,20,183,28,7
2017-09-01,6,34,2,4,0,18,8,17,40,44,231,28,5
2017-10-01,6,19,1,5,1,18,5,14,54,52,409,18,10
2017-11-01,3,10,1,2,0,4,0,7,15,18,70,26,5
2017-12-01,7,29,1,5,0,3,3,1,31,30,180,24,7
2018-01-01,4,15,1,4,0,1,0,1,21,20,89,39,7
2018-02-01,4,14,1,3,0,2,1,1,28,24,136,28,8
2018-03-01,4,15,0,4,0,2,1,1,21,26,99,24,9
2018-04-01,4,7,1,3,0,0,0,0,21,10,45,28,4
2018-05-01,5,10,1,3,0,0,0,0,15,14,56,33,7
2018-06-01,4,9,0,3,0,0,0,0,9,13,51,19,7
2018-07-01,6,24,5,4,1,2,0,2,28,30,147,34,11
2018-08-01,8,35,2,5,1,0,0,0,21,26,100,30,6
2018-09-01,5,29,1,3,0,2,0,2,38,42,274,24,10
2018-10-01,4,23,1,3,1,1,0,1,27,24,94,31,8
2018-11-01,6,20,3,4,1,1,0,1,17,17,69,25,6
2018-12-01,1,20,0,1,0,0,0,0,28,18,67,20,5
2019-01-01,7,32,4,3,0,1,0,0,43,37,114,21,11
2019-02-01,2,31,0,2,0,4,2,3,42,49,169,33,5
2019-03-01,2,12,0,2,0,0,0,0,27,22,93,32,9
2019-04-01,5,15,2,4,0,0,0,0,24,23,98,41,4
2019-05-01,2,11,1,2,0,1,0,0,14,14,77,27,10
2019-06-01,3,31,1,3,0,1,0,2,27,37,76,34,12
2019-07-01,5,18,4,4,2,0,0,0,33,28,114,33,4
2019-08-01,4,13,2,4,0,2,1,1,20,29,165,40,5
2019-09-01,4,4,1,3,0,1,0,1,16,15,56,28,10
2019-10-01,5,9,1,4,0,1,1,0,18,12,76,44,12
2019-11-01,5,15,1,3,0,3,1,0,18,18,69,26,8
2019-12-01,5,25,2,4,1,2,2,2,33,41,139,24,7
2020-01-01,5,18,1,4,1,1,0,1,22,21,109,23,7
2020-02-01,2,5,0,2,0,1,1,0,9,10,52,26,10
2020-03-01,5,18,2,4,1,0,0,0,37,27,213,44,10
2020-04-01,5,15,2,4,1,2,0,1,35,26,230,70,13
2020-05-01,2,18,0,2,0,2,2,1,26,29,146,67,10
2020-06-01,5,15,1,4,0,3,2,1,77,82,356,203,45
