dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-04-01,2,10,0,2,0,1,0,0,1,0,0,4,0
2015-05-01,1,148,0,1,0,0,0,0,0,0,0,0,0
2015-06-01,3,279,2,2,1,7,2,5,26,21,123,21,2
2015-07-01,3,148,2,3,1,7,3,3,14,15,133,10,2
2015-08-01,2,112,0,2,0,3,0,4,14,12,127,14,3
2015-09-01,2,7,1,2,0,2,0,2,7,4,26,4,0
2015-10-01,1,19,0,1,0,1,1,0,4,8,52,10,3
2015-11-01,2,5,1,2,1,1,0,1,2,2,6,4,0
2015-12-01,2,14,1,2,1,2,2,0,6,3,91,3,0
2016-01-01,2,125,1,2,1,0,0,1,1,7,65,8,0
2016-02-01,1,114,0,1,0,0,0,0,1,3,49,4,0
2016-03-01,1,29,0,1,0,0,0,0,1,1,2,9,1
2016-04-01,1,73,0,1,0,0,0,0,4,3,34,12,2
2016-05-01,1,20,0,1,0,0,0,0,0,0,0,7,2
2016-06-01,2,75,1,2,0,1,0,1,3,3,8,7,2
2016-07-01,2,27,1,2,0,1,0,1,4,4,12,13,2
2016-08-01,0,0,0,0,0,1,0,0,3,0,8,10,0
2016-09-01,1,29,0,1,0,0,1,0,2,5,26,6,0
2016-10-01,2,104,1,2,1,2,1,1,5,6,32,5,2
2016-11-01,2,18,1,2,1,1,0,1,1,1,2,3,1
2016-12-01,1,16,0,1,0,0,0,0,0,0,0,7,2
2017-01-01,1,27,0,1,0,0,0,0,3,1,29,7,0
2017-02-01,1,9,0,1,0,0,0,0,4,6,47,6,1
2017-03-01,2,12,1,2,0,2,1,1,7,6,33,4,1
2017-04-01,1,20,0,1,0,0,0,0,5,7,17,11,1
2017-05-01,1,30,0,1,0,0,0,0,2,2,14,4,0
2017-06-01,1,12,0,1,0,0,0,0,5,5,34,6,1
2017-07-01,1,7,0,1,0,0,0,0,2,1,5,10,2
2017-08-01,1,3,0,1,0,0,0,0,2,2,34,4,2
2017-09-01,1,7,0,1,0,0,0,0,5,1,17,9,0
2017-10-01,1,18,0,1,0,0,0,0,7,7,41,7,3
2017-11-01,1,7,0,1,0,0,0,0,3,3,16,6,2
2017-12-01,1,12,0,1,0,1,1,0,3,3,30,2,0
2018-01-01,1,53,0,1,0,0,0,0,4,4,4,5,3
2018-02-01,2,3,1,2,0,1,0,1,4,2,12,8,0
2018-03-01,2,8,1,2,1,1,0,1,5,10,32,6,0
2018-04-01,1,3,0,1,0,0,0,0,1,1,6,5,2
2018-05-01,1,9,0,1,0,0,0,0,2,2,10,4,2
2018-06-01,1,5,0,1,0,0,0,0,0,0,0,6,2
2018-07-01,1,10,0,1,0,0,0,0,4,5,16,2,1
2018-08-01,2,10,1,2,0,1,0,0,2,1,3,4,1
2018-09-01,2,9,0,2,0,0,0,1,1,2,3,4,1
2018-10-01,2,3,1,2,1,1,0,1,2,2,22,4,3
2018-11-01,1,7,0,1,0,0,0,0,0,0,0,4,0
2018-12-01,1,1,0,1,0,0,0,0,1,1,8,5,1
2019-01-01,1,4,0,1,0,0,0,0,0,0,0,5,3
2019-02-01,2,8,1,2,0,1,0,1,3,3,16,7,3
2019-03-01,1,2,0,1,0,0,0,0,0,0,0,7,1
2019-04-01,2,5,1,2,0,1,0,1,2,2,6,7,1
2019-05-01,2,4,1,2,1,2,0,2,5,6,21,8,1
2019-06-01,2,7,0,2,0,1,0,1,1,1,2,4,0
2019-07-01,1,2,0,1,0,1,1,0,1,1,2,7,1
2019-08-01,2,9,1,2,0,2,1,1,4,4,14,8,1
2019-09-01,1,30,0,1,0,0,0,0,3,3,8,7,1
2019-10-01,1,8,0,1,0,0,0,0,4,4,20,5,1
2019-11-01,1,8,0,1,0,0,0,0,5,3,64,4,1
2019-12-01,1,8,0,1,0,0,0,0,2,3,15,8,0
2020-01-01,1,61,0,1,0,1,0,0,5,4,24,4,1
2020-02-01,1,12,0,1,0,0,0,0,4,3,18,10,0
2020-03-01,4,12,2,4,1,5,0,4,10,10,51,11,2
2020-04-01,5,23,3,5,1,4,0,5,8,8,38,5,2
2020-05-01,5,19,3,3,0,9,1,8,12,13,58,7,4
2020-06-01,3,4,1,3,0,8,0,3,8,3,15,3,2
2020-07-01,3,7,1,3,0,1,0,2,9,7,41,5,2
2020-08-01,2,5,0,2,0,3,0,2,7,7,16,10,0
