dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-07-01,1,84,1,1,1,0,0,0,1,0,4,25,0
2016-08-01,1,183,0,1,0,0,0,0,1,0,22,32,0
2016-09-01,9,396,8,4,3,17,2,13,207,67,1873,929,54
2016-10-01,5,206,4,4,2,8,2,3,171,110,1601,772,50
2016-11-01,2,53,1,2,0,1,1,1,78,48,808,453,21
2016-12-01,3,66,2,3,1,3,1,2,68,17,560,318,25
2017-01-01,1,123,0,1,0,0,0,0,71,21,643,356,18
2017-02-01,3,118,2,3,0,2,0,2,36,11,231,266,18
2017-03-01,1,87,0,1,0,1,1,0,52,12,269,272,18
2017-04-01,2,60,1,2,1,1,0,1,35,5,188,238,21
2017-05-01,2,90,1,2,0,4,1,1,39,8,154,242,19
2017-06-01,2,153,1,2,0,1,0,1,42,23,319,263,26
2017-07-01,4,119,3,3,1,5,4,3,85,24,580,282,22
2017-08-01,3,50,2,2,0,3,0,1,68,27,350,311,14
2017-09-01,2,51,1,2,1,2,4,2,54,22,637,206,11
2017-10-01,2,133,1,2,1,2,1,1,67,19,503,165,8
2017-11-01,2,119,1,2,1,1,1,1,76,29,420,181,11
2017-12-01,1,78,0,1,0,0,0,0,46,17,209,166,3
2018-01-01,1,24,0,1,0,2,2,0,51,9,216,218,9
2018-02-01,1,105,0,1,0,0,0,0,38,11,176,150,6
2018-03-01,2,75,1,2,0,1,0,1,40,650,3167,180,10
2018-04-01,2,48,1,2,1,1,0,0,52,73,506,178,15
2018-05-01,1,98,0,1,0,1,0,2,44,83,623,138,15
2018-06-01,1,64,0,1,0,0,0,0,50,46,387,172,4
2018-07-01,1,109,0,1,0,0,0,0,35,51,423,185,5
2018-08-01,1,203,0,1,0,0,0,0,33,34,202,179,7
2018-09-01,1,187,0,1,0,0,0,0,33,53,537,181,7
2018-10-01,1,146,0,1,0,2,2,0,47,36,339,170,8
2018-11-01,1,51,0,1,0,0,0,0,30,28,363,154,8
2018-12-01,1,92,0,1,0,0,0,0,32,48,460,150,1
2019-01-01,1,74,0,1,0,0,0,0,36,32,266,179,6
2019-02-01,1,105,0,1,0,0,0,0,34,33,276,142,4
2019-03-01,1,102,0,1,0,0,0,0,39,40,299,182,11
2019-04-01,2,115,1,2,1,1,0,1,36,38,301,169,7
2019-05-01,1,107,0,1,0,0,0,0,35,35,298,178,10
2019-06-01,2,66,1,2,1,1,0,1,40,34,367,177,4
2019-07-01,1,30,0,1,0,0,0,0,26,45,242,177,15
2019-08-01,1,81,0,1,0,1,1,0,41,50,521,190,10
2019-09-01,1,67,0,1,0,0,0,0,33,31,281,133,7
2019-10-01,1,22,0,1,0,0,0,0,45,37,397,185,9
2019-11-01,1,23,0,1,0,0,0,0,32,41,249,166,7
2019-12-01,1,17,0,1,0,0,0,0,21,25,191,144,7
2020-01-01,1,24,0,1,0,0,0,0,38,39,282,122,6
2020-02-01,1,24,0,1,0,0,0,0,29,19,150,133,9
2020-03-01,2,5,1,2,0,2,0,1,35,32,201,217,12
2020-04-01,1,41,0,1,0,1,1,1,46,37,240,314,8
2020-05-01,1,1,0,1,0,0,0,0,52,25,240,258,15
2020-06-01,1,15,0,1,0,0,0,0,27,34,197,273,12
2020-07-01,2,4,1,2,1,1,0,1,37,50,210,233,8
2020-08-01,1,15,0,1,0,0,0,0,34,44,171,216,14
