dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-08-01,19,179,3,11,1,1,0,1,4,1,5,0,0
2016-09-01,16,371,1,11,1,0,0,0,0,0,0,0,0
2016-10-01,24,421,6,15,3,4,0,4,4,4,0,1,1
2016-11-01,20,251,3,12,1,2,0,2,2,2,0,1,1
2016-12-01,24,327,6,12,1,2,0,2,4,3,13,0,1
2017-01-01,24,253,3,13,2,12,3,9,29,21,135,5,0
2017-02-01,23,466,3,13,1,7,0,7,21,20,158,6,1
2017-03-01,20,187,4,11,0,0,0,0,29,17,225,7,0
2017-04-01,16,125,2,9,0,0,0,0,23,23,212,22,5
2017-05-01,17,221,2,8,0,0,0,0,20,17,271,33,5
2017-06-01,13,132,1,9,1,0,0,0,24,20,215,17,1
2017-07-01,18,221,2,12,1,0,0,0,28,15,123,28,3
2017-08-01,15,145,0,8,0,0,0,0,14,8,108,18,4
2017-09-01,19,175,2,13,2,0,0,0,27,15,110,19,3
2017-10-01,23,252,4,13,1,0,0,0,37,43,239,31,3
2017-11-01,22,266,4,13,1,0,0,0,33,18,233,33,4
2017-12-01,26,267,3,13,0,0,0,0,25,18,297,28,4
2018-01-01,17,203,1,9,0,0,0,0,38,43,359,15,5
2018-02-01,24,275,6,12,2,0,0,0,44,53,259,16,2
2018-03-01,20,202,1,12,0,0,0,0,30,18,205,23,2
2018-04-01,14,93,0,12,0,0,0,0,28,24,128,19,3
2018-05-01,15,260,3,12,2,2,0,0,17,18,166,28,3
2018-06-01,17,277,2,11,0,0,0,0,14,19,162,16,1
2018-07-01,14,202,0,11,0,1,0,0,17,9,119,24,7
2018-08-01,19,265,3,13,0,4,0,4,15,11,87,18,1
2018-09-01,20,179,6,13,2,9,2,3,18,8,111,9,3
2018-10-01,20,210,4,13,1,7,2,9,16,15,118,25,3
2018-11-01,18,248,0,12,0,4,1,4,7,7,91,21,2
2018-12-01,17,187,1,11,0,3,0,2,18,8,135,25,3
2019-01-01,22,247,5,12,2,1,0,1,10,4,75,18,4
2019-02-01,15,207,1,8,0,3,0,0,12,2,57,14,1
2019-03-01,18,146,0,9,0,7,2,0,20,4,96,19,7
2019-04-01,20,187,3,11,2,8,0,8,12,13,93,17,4
2019-05-01,11,115,1,9,1,1,0,0,7,3,57,24,4
2019-06-01,15,137,2,8,1,38,7,41,48,71,455,21,4
2019-07-01,16,175,3,9,0,11,1,11,42,61,356,10,1
2019-08-01,11,91,2,8,1,9,0,7,26,13,262,23,3
2019-09-01,14,128,2,10,1,18,5,14,48,31,486,32,3
2019-10-01,13,51,1,10,1,5,0,6,21,14,131,27,3
2019-11-01,11,76,1,9,1,2,0,1,17,6,105,20,4
2019-12-01,9,37,0,6,0,0,1,0,18,7,105,23,0
2020-01-01,11,60,1,7,1,1,0,2,25,12,177,28,6
2020-02-01,10,35,0,5,0,1,0,1,9,8,91,27,1
2020-03-01,9,35,1,6,0,3,0,3,21,13,84,21,4
2020-04-01,13,66,3,9,2,4,0,3,20,7,73,18,4
2020-05-01,14,46,5,11,1,4,0,3,16,7,53,20,3
2020-06-01,11,41,1,7,0,4,2,2,13,8,139,21,2
2020-07-01,8,42,2,5,0,13,3,11,24,24,96,18,6
2020-08-01,4,47,2,2,0,12,2,11,20,226,1375,12,6
