dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-12-01,3,14,3,1,1,0,0,0,8,7,0,0,0
2016-01-01,2,7,0,1,0,0,0,0,4,2,0,0,0
2016-02-01,3,24,1,1,0,0,0,0,6,3,0,0,0
2016-03-01,2,7,1,1,0,0,0,0,2,0,1,0,0
2016-04-01,2,36,0,1,0,0,0,0,1,1,0,1,0
2016-05-01,3,53,0,1,0,0,0,0,3,4,1,0,0
2016-06-01,1,5,1,1,0,0,0,0,1,0,0,0,0
2016-07-01,2,5,0,1,0,0,0,0,4,1,3,0,0
2016-08-01,5,110,0,1,0,0,0,0,19,16,5,0,0
2016-09-01,3,82,0,1,0,0,0,0,11,14,1,2,0
2016-10-01,3,36,0,1,0,0,0,0,6,8,10,1139,27
2016-11-01,4,12,0,1,0,0,0,0,6,5,13,325,26
2016-12-01,4,28,0,1,0,0,0,0,13,8,35,126,5
2017-01-01,4,44,1,1,0,1,0,1,8,8,17,49,5
2017-02-01,2,54,0,1,0,0,0,0,11,12,6,80,4
2017-03-01,4,40,1,1,0,2,1,1,7,4,20,409,11
2017-04-01,1,21,0,1,0,0,0,0,11,7,51,62,4
2017-05-01,4,17,1,2,1,1,0,1,5,7,26,371,22
2017-06-01,2,12,0,2,0,1,1,0,5,4,8,110,12
2017-07-01,3,18,0,1,0,2,0,0,11,5,55,106,12
2017-08-01,3,33,1,3,1,1,2,1,6,9,49,83,10
2017-09-01,8,48,4,4,2,17,1,11,27,17,62,66,13
2017-10-01,6,87,0,2,0,30,2,26,40,33,22,91,10
2017-11-01,4,17,1,3,1,6,4,5,20,15,92,72,10
2017-12-01,5,25,3,5,2,8,5,5,26,27,111,57,5
2018-01-01,1,3,0,1,0,2,0,0,8,3,25,65,11
2018-02-01,3,7,1,1,0,1,0,0,8,1,26,110,7
2018-03-01,4,18,2,2,0,4,0,3,15,12,30,81,8
2018-04-01,8,90,3,3,1,34,5,18,51,37,51,65,6
2018-05-01,3,95,0,1,0,28,11,27,42,59,72,85,10
2018-06-01,5,101,2,4,2,22,2,20,58,61,192,36,9
2018-07-01,3,22,0,2,0,5,0,1,12,8,69,58,6
2018-08-01,5,35,2,3,0,6,2,9,15,17,59,70,7
2018-09-01,8,20,1,5,1,6,0,4,14,4,52,49,12
2018-10-01,4,27,2,2,0,4,1,4,20,25,117,51,13
2018-11-01,3,21,0,1,0,2,3,2,4,15,64,53,9
2018-12-01,4,6,2,2,1,3,0,2,8,2,19,64,6
2019-01-01,3,6,1,2,0,2,0,1,8,4,52,52,6
2019-02-01,5,27,2,4,2,5,4,3,11,22,90,185,6
2019-03-01,7,34,2,4,1,8,0,7,22,14,96,91,10
2019-04-01,3,9,0,2,0,3,2,1,12,13,91,41,7
2019-05-01,5,79,0,3,0,15,1,12,28,23,28,181,16
2019-06-01,5,19,0,3,0,4,1,3,7,9,21,44,3
2019-07-01,2,12,0,1,0,1,0,1,5,2,7,57,9
2019-08-01,5,7,1,4,1,2,0,2,10,3,26,72,9
2019-09-01,0,0,0,0,0,0,0,0,4,2,14,57,5
2019-10-01,0,0,0,0,0,3,1,0,12,1,30,39,11
2019-11-01,3,11,1,2,0,3,0,3,9,18,63,49,7
2019-12-01,1,2,1,1,0,1,0,0,13,5,32,66,8
2020-01-01,1,1,0,1,0,0,0,1,8,2,20,40,3
2020-02-01,2,2,0,2,0,3,0,0,6,1,12,60,5
2020-03-01,2,4,0,1,0,1,2,1,6,9,43,74,15
2020-04-01,4,18,1,3,1,1,1,1,4,6,17,84,9
2020-05-01,2,5,0,1,0,2,0,1,8,3,18,44,3
2020-06-01,5,35,2,2,0,10,3,7,20,17,41,49,9
2020-07-01,3,15,1,3,1,5,1,6,12,20,64,47,8
2020-08-01,2,10,0,1,0,5,3,4,7,9,15,50,9
