dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-07-01,1,41,0,1,0,3,0,3,3,3,0,0,0
2016-08-01,1,78,0,1,0,0,0,0,2,0,15,3,1
2016-09-01,1,18,0,1,0,0,0,0,0,0,0,2,1
2016-10-01,2,30,1,1,0,2,1,1,11,5,89,7,3
2016-11-01,1,59,0,1,0,0,0,0,10,10,65,2,2
2016-12-01,1,48,0,1,0,1,0,1,5,8,20,6,2
2017-01-01,5,130,4,3,2,10,0,10,24,26,200,13,3
2017-02-01,4,68,2,1,0,3,0,3,8,8,70,8,1
2017-03-01,1,32,0,1,0,0,0,0,13,10,171,11,1
2017-04-01,4,71,3,3,1,4,1,3,25,26,256,13,10
2017-05-01,5,110,3,2,1,11,3,8,32,32,239,10,5
2017-06-01,2,74,0,1,0,2,0,1,9,10,64,12,2
2017-07-01,4,131,3,3,1,7,2,6,20,20,159,19,2
2017-08-01,5,107,3,3,2,5,0,4,21,19,101,47,6
2017-09-01,1,35,0,1,0,0,0,0,11,11,80,37,9
2017-10-01,3,34,0,1,0,3,1,3,29,27,258,25,9
2017-11-01,2,23,0,2,0,0,0,0,17,19,156,23,9
2017-12-01,3,57,1,2,0,3,1,1,35,33,223,27,9
2018-01-01,1,2,0,1,0,0,0,0,18,10,76,32,10
2018-02-01,3,53,1,3,0,2,1,2,27,35,288,33,7
2018-03-01,5,203,3,4,2,5,0,4,52,55,383,38,7
2018-04-01,3,64,0,3,0,2,0,2,35,30,194,46,9
2018-05-01,2,26,0,2,0,0,0,0,37,32,158,74,9
2018-06-01,2,16,0,2,0,0,0,0,14,15,69,25,11
2018-07-01,2,23,0,2,0,0,0,0,18,13,82,22,4
2018-08-01,2,18,0,2,0,0,0,0,22,22,126,30,4
2018-09-01,1,1,0,1,0,0,0,0,12,5,41,19,8
2018-10-01,3,12,1,3,1,1,0,1,14,9,31,22,3
2018-11-01,1,2,0,1,0,0,0,0,12,13,58,22,4
2018-12-01,2,41,0,2,0,1,0,1,14,21,95,59,5
2019-01-01,0,0,0,0,0,0,0,0,19,3,44,33,5
2019-02-01,1,1,0,1,0,0,0,0,12,4,59,16,3
2019-03-01,4,24,2,3,0,4,0,2,16,9,48,29,13
2019-04-01,3,9,0,3,0,1,3,1,9,37,136,32,2
2019-05-01,2,92,0,2,0,3,1,0,22,16,117,27,5
2019-06-01,4,173,2,3,0,11,4,3,27,41,151,32,11
2019-07-01,2,30,0,2,0,1,1,1,16,7,31,27,3
2019-08-01,3,12,2,3,0,4,1,2,16,7,32,19,11
2019-09-01,1,82,0,1,0,1,1,0,11,2,21,21,5
2019-10-01,1,22,0,1,0,1,0,0,11,4,21,34,6
2019-11-01,1,6,0,1,0,2,0,0,12,2,27,57,8
2019-12-01,1,124,0,1,0,2,9,0,14,57,150,26,8
2020-01-01,4,30,3,3,1,3,0,3,23,19,82,38,17
2020-02-01,2,63,1,2,0,2,1,1,13,30,109,27,13
2020-03-01,3,18,1,3,1,2,0,2,9,7,33,27,13
2020-04-01,3,13,1,2,0,2,0,2,23,4,50,48,12
2020-05-01,3,21,0,3,0,4,0,3,20,19,66,22,7
2020-06-01,3,12,0,3,0,1,0,1,11,7,23,18,8
2020-07-01,2,23,1,2,0,3,2,1,10,7,20,22,16
2020-08-01,1,5,0,1,0,1,0,0,5,3,12,32,12
