dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2017-09-01,4,92,2,2,0,5,0,3,5,3,12,97,2
2017-10-01,13,183,11,9,6,20,3,15,279,99,2347,1200,29
2017-11-01,6,57,2,4,0,10,3,8,98,85,1081,233,16
2017-12-01,3,64,0,3,0,3,1,2,114,74,1005,314,10
2018-01-01,3,64,1,2,0,4,0,3,112,64,708,283,14
2018-02-01,5,62,4,5,2,7,2,4,127,82,937,206,19
2018-03-01,1,16,0,1,0,0,0,0,59,28,316,242,11
2018-04-01,1,22,0,1,0,0,0,0,50,9,218,224,13
2018-05-01,3,15,1,3,0,2,0,2,61,35,287,261,16
2018-06-01,1,4,0,1,0,1,1,0,54,2,223,211,14
2018-07-01,2,32,1,2,0,1,0,1,42,9,177,206,19
2018-08-01,1,22,0,1,0,1,1,0,54,47,409,251,10
2018-09-01,1,1,0,1,0,2,0,0,49,11,206,287,16
2018-10-01,13,48,12,8,4,19,4,15,103,34,495,253,28
2018-11-01,6,39,5,3,0,5,0,5,45,19,238,234,14
2018-12-01,4,26,2,3,0,2,0,5,41,42,298,206,10
2019-01-01,3,20,1,2,0,5,1,2,53,13,179,279,20
2019-02-01,6,42,4,5,2,6,1,5,47,24,250,251,22
2019-03-01,7,34,4,5,2,5,1,7,50,57,445,228,27
2019-04-01,2,5,1,2,0,2,0,0,36,2,163,247,22
2019-05-01,4,16,3,4,1,3,0,3,31,8,108,194,20
2019-06-01,5,71,3,5,3,5,1,2,40,10,150,239,12
2019-07-01,1,17,0,1,0,2,0,0,43,50,309,198,10
2019-08-01,1,2,0,1,0,5,0,0,29,3,77,204,12
2019-09-01,11,23,9,6,2,1,3,11,22,17,104,186,10
2019-10-01,4,41,3,3,1,5,0,4,47,69,421,235,15
2019-11-01,3,5,3,3,2,4,2,3,31,15,95,180,23
2019-12-01,2,3,2,2,2,3,0,0,25,8,61,168,16
2020-01-01,2,2,2,2,0,2,0,0,39,4,85,176,16
2020-02-01,3,23,1,2,0,2,0,4,40,23,284,165,19
2020-03-01,3,3,3,3,2,3,1,4,53,9,414,226,26
2020-04-01,5,46,4,4,1,4,1,4,72,153,976,237,16
2020-05-01,3,23,2,3,2,3,1,1,81,22,255,225,15
2020-06-01,2,2,2,1,0,2,0,2,41,5,62,200,19
2020-07-01,2,3,2,2,1,5,1,1,33,4,74,218,18
2020-08-01,3,7,1,3,0,0,0,4,22,8,49,195,18
