dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-06-01,1,50,0,1,0,2,2,0,11,10,120,14,1
2016-07-01,2,31,1,2,1,1,0,1,9,6,44,4,0
2016-08-01,1,12,0,1,0,0,0,0,3,4,20,8,2
2016-09-01,1,28,0,1,0,0,0,0,3,1,33,5,1
2016-10-01,1,63,0,1,0,0,0,0,8,9,59,14,2
2016-11-01,2,118,1,2,1,2,1,1,21,20,214,55,2
2016-12-01,2,136,1,2,1,1,0,1,37,35,291,22,6
2017-01-01,6,158,5,5,3,9,1,8,37,33,248,44,13
2017-02-01,3,123,2,3,0,4,0,4,31,28,259,20,6
2017-03-01,3,96,0,3,0,8,2,6,22,20,162,16,3
2017-04-01,1,59,0,1,0,0,0,0,2,6,56,24,0
2017-05-01,1,88,0,1,0,0,0,0,18,15,162,16,3
2017-06-01,1,58,0,1,0,0,0,0,11,13,69,8,3
2017-07-01,1,33,0,1,0,0,0,0,7,10,63,13,1
2017-08-01,2,53,1,2,1,1,0,0,7,3,33,9,3
2017-09-01,3,87,1,3,0,5,1,5,18,18,102,19,1
2017-10-01,2,33,1,2,1,3,2,0,18,16,82,7,1
2017-11-01,2,62,0,2,0,0,0,1,14,16,116,16,5
2017-12-01,2,73,1,2,1,1,0,1,11,20,95,13,3
2018-01-01,2,90,1,2,1,1,0,1,27,22,140,17,2
2018-02-01,2,49,1,2,1,3,2,1,12,11,81,11,1
2018-03-01,1,123,0,1,0,0,0,0,17,18,128,15,5
2018-04-01,1,90,0,1,0,0,0,0,9,9,77,11,0
2018-05-01,2,114,0,2,0,1,0,1,29,26,208,14,3
2018-06-01,1,100,0,1,0,0,0,0,15,14,77,21,2
2018-07-01,1,44,0,1,0,0,0,0,12,11,67,18,1
2018-08-01,1,35,0,1,0,0,0,0,18,18,77,34,1
2018-09-01,1,48,0,1,0,0,0,0,21,19,113,26,5
2018-10-01,1,22,0,1,0,0,0,0,8,9,52,16,3
2018-11-01,1,45,0,1,0,0,0,0,5,5,20,17,3
2018-12-01,1,47,0,1,0,0,0,0,7,8,41,17,1
2019-01-01,1,73,0,1,0,0,0,0,14,13,79,25,3
2019-02-01,1,49,0,1,0,1,0,0,8,7,115,19,2
2019-03-01,2,71,1,2,1,4,1,0,18,19,156,27,9
2019-04-01,2,47,1,2,0,1,3,2,3,6,25,20,5
2019-05-01,1,55,0,1,0,0,0,0,14,10,133,27,3
2019-06-01,1,91,0,1,0,0,0,0,18,23,144,19,3
2019-07-01,1,28,0,1,0,0,0,0,13,13,89,11,6
2019-08-01,1,47,0,1,0,0,0,0,7,11,90,22,2
2019-09-01,1,42,0,1,0,0,0,0,13,11,99,14,4
2019-10-01,2,47,1,2,0,2,0,1,20,20,154,16,10
2019-11-01,1,14,0,1,0,0,1,0,5,5,21,28,2
2019-12-01,1,15,0,1,0,0,0,0,11,9,84,13,1
2020-01-01,1,64,0,1,0,0,0,0,14,15,131,27,7
2020-02-01,2,30,1,2,1,1,0,1,19,18,92,26,3
2020-03-01,1,23,0,1,0,0,0,0,4,8,52,22,5
2020-04-01,1,19,0,1,0,2,1,0,8,5,17,27,4
2020-05-01,1,42,0,1,0,0,0,0,11,12,82,20,1
2020-06-01,1,16,0,1,0,0,0,0,3,4,25,26,4
2020-07-01,1,33,0,1,0,0,1,0,6,5,36,19,1
2020-08-01,3,50,2,3,1,2,0,2,18,17,160,20,6
