dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-02-01,1,3,0,1,0,0,0,0,5,5,18,26,2
2015-03-01,1,26,0,1,0,0,0,0,0,0,0,14,5
2015-04-01,1,13,0,1,0,0,0,0,18,13,124,14,6
2015-05-01,2,27,1,2,1,1,0,1,13,11,71,18,3
2015-06-01,1,10,0,1,0,0,0,0,3,3,37,13,8
2015-07-01,1,3,0,1,0,0,0,0,5,6,29,10,6
2015-08-01,0,0,0,0,0,0,0,0,6,2,26,14,7
2015-09-01,1,4,0,1,0,0,0,0,20,18,185,163,64
2015-10-01,1,2,0,1,0,2,1,0,4,6,45,76,18
2015-11-01,1,1,0,1,0,0,0,0,8,2,24,32,18
2015-12-01,0,0,0,0,0,0,0,0,6,3,31,27,11
2016-01-01,1,6,0,1,0,0,0,0,5,7,37,24,19
2016-02-01,1,10,0,1,0,0,0,0,7,3,24,38,21
2016-03-01,2,25,1,1,0,2,0,2,21,24,187,210,56
2016-04-01,1,36,0,1,0,1,0,0,18,22,147,40,14
2016-05-01,1,19,0,1,0,1,2,1,25,13,177,79,30
2016-06-01,3,13,2,3,2,3,0,1,15,11,160,122,20
2016-07-01,3,23,1,3,1,3,2,2,23,17,122,67,16
2016-08-01,1,1,0,1,0,0,0,0,17,14,130,57,20
2016-09-01,1,4,0,1,0,4,1,0,17,9,152,60,21
2016-10-01,2,7,1,2,1,0,0,1,16,19,108,42,22
2016-11-01,2,34,0,2,0,2,1,2,29,62,358,88,27
2016-12-01,3,23,1,2,0,1,0,1,22,26,230,69,24
2017-01-01,3,28,1,3,0,9,2,7,24,21,151,57,23
2017-02-01,2,34,0,2,0,2,0,2,28,28,157,80,22
2017-03-01,4,24,2,3,1,5,1,4,24,27,274,83,28
2017-04-01,2,14,0,2,0,7,3,5,18,19,70,78,20
2017-05-01,2,4,1,2,1,4,0,4,18,12,59,84,15
2017-06-01,1,2,0,1,0,5,1,2,15,14,44,62,19
2017-07-01,4,31,2,3,1,13,9,6,23,30,63,78,32
2017-08-01,4,16,0,3,0,5,0,5,16,16,65,109,20
2017-09-01,4,23,0,2,0,5,0,5,15,9,62,65,18
2017-10-01,2,4,0,2,0,3,0,2,10,7,52,70,21
2017-11-01,3,5,0,3,0,3,0,4,12,12,98,78,26
2017-12-01,5,10,1,4,0,6,0,5,15,23,103,93,28
2018-01-01,2,8,0,2,0,3,1,1,11,9,65,66,24
2018-02-01,2,31,0,2,0,3,4,0,18,19,98,80,17
2018-03-01,3,46,0,3,0,7,7,2,24,24,113,91,31
2018-04-01,2,15,0,2,0,8,0,6,37,33,206,93,21
2018-05-01,3,31,0,3,0,7,0,6,25,25,176,137,36
2018-06-01,4,15,1,3,0,5,3,3,17,17,133,88,19
2018-07-01,2,19,0,2,0,4,0,4,17,20,106,66,17
2018-08-01,6,65,2,4,0,23,6,17,38,38,169,102,30
2018-09-01,3,21,0,2,0,6,1,5,25,20,171,109,25
2018-10-01,6,17,1,4,0,11,1,11,22,23,105,88,26
2018-11-01,5,18,1,4,0,11,1,8,33,32,207,114,24
2018-12-01,7,30,1,4,0,17,2,16,30,31,131,95,32
2019-01-01,4,15,1,4,0,11,1,9,31,24,76,129,33
2019-02-01,3,21,0,3,0,12,1,11,23,27,113,70,28
2019-03-01,6,23,2,4,0,15,1,14,33,37,159,132,23
2019-04-01,3,4,0,3,0,3,0,2,19,12,116,101,30
2019-05-01,3,22,0,3,0,5,2,7,31,40,303,141,22
2019-06-01,5,48,2,4,2,17,2,13,31,28,157,126,21
2019-07-01,7,82,3,5,1,17,2,15,37,37,189,124,42
2019-08-01,4,135,2,2,0,32,3,30,50,56,249,102,33
2019-09-01,4,12,2,4,2,5,1,4,22,20,151,178,41
2019-10-01,5,39,3,5,2,17,3,15,51,49,301,172,47
2019-11-01,6,47,3,4,1,10,2,8,33,38,180,150,28
2019-12-01,7,68,2,4,0,11,0,10,25,28,117,379,42
2020-01-01,9,49,3,6,2,10,1,9,33,28,140,156,38
2020-02-01,5,65,1,5,1,22,8,13,40,39,155,145,38
2020-03-01,6,45,4,5,2,21,9,12,54,56,225,175,37
2020-04-01,5,16,3,3,0,15,4,10,43,33,150,202,47
2020-05-01,3,12,0,2,0,14,7,7,29,29,71,185,46
2020-06-01,6,10,2,3,0,30,21,8,42,36,112,172,40
2020-07-01,11,19,6,6,1,30,17,15,42,52,147,161,44
2020-08-01,5,18,2,4,1,16,6,11,31,36,104,223,43
