dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-12-01,1,21,0,1,0,0,0,0,23,2,2,2,0
2016-01-01,1,47,0,1,0,0,0,0,74,32,5,0,0
2016-02-01,1,59,0,1,0,0,0,0,12,20,1,2,0
2016-03-01,1,43,0,1,0,0,0,0,10,11,0,1,0
2016-04-01,1,12,0,1,0,0,0,0,0,1,0,0,0
2016-05-01,1,42,0,1,0,0,0,0,13,1,0,0,0
2016-06-01,1,50,0,1,0,1,0,1,34,13,4,368,12
2016-07-01,2,54,1,1,0,2,0,2,6,3,4,28,5
2016-08-01,1,50,0,1,0,0,0,0,39,16,3,11,3
2016-09-01,1,54,0,1,0,2,0,2,29,18,6,10,2
2016-10-01,1,20,0,1,0,1,0,1,14,3,15,19,2
2016-11-01,1,7,0,1,0,1,0,1,6,6,22,21,2
2016-12-01,1,2,0,1,0,0,0,0,7,3,44,7,2
2017-01-01,0,0,0,0,0,0,0,0,2,0,12,80,1
2017-02-01,1,14,0,1,0,0,0,0,2,3,22,4,0
2017-03-01,0,0,0,0,0,0,0,0,0,0,0,15,1
2017-04-01,0,0,0,0,0,0,0,0,2,0,3,22,1
2017-05-01,0,0,0,0,0,0,0,0,2,1,12,16,0
2017-06-01,0,0,0,0,0,0,0,0,0,0,0,17,0
2017-07-01,0,0,0,0,0,0,0,0,1,0,6,6,2
2017-08-01,0,0,0,0,0,0,0,0,2,0,5,10,2
2017-09-01,0,0,0,0,0,0,0,0,0,0,0,1,1
2017-10-01,0,0,0,0,0,0,0,0,0,0,0,19,0
2017-11-01,0,0,0,0,0,0,0,0,0,0,0,11,0
2017-12-01,0,0,0,0,0,0,0,0,0,0,0,11,1
2018-01-01,0,0,0,0,0,0,0,0,0,0,0,6,1
2018-02-01,0,0,0,0,0,0,0,0,0,0,0,4,1
2018-03-01,0,0,0,0,0,0,0,0,0,0,0,8,2
2018-04-01,0,0,0,0,0,0,0,0,0,0,0,3,0
2018-05-01,0,0,0,0,0,0,0,0,0,1,11,5,3
2018-06-01,0,0,0,0,0,0,0,0,0,0,0,4,0
2018-07-01,0,0,0,0,0,0,0,0,0,0,0,5,0
2018-08-01,0,0,0,0,0,0,0,0,0,0,0,3,1
2018-09-01,0,0,0,0,0,0,0,0,0,0,0,4,0
2018-10-01,0,0,0,0,0,0,0,0,0,0,0,4,1
2018-11-01,0,0,0,0,0,0,0,0,0,0,0,2,3
2018-12-01,1,5,0,1,0,0,0,0,0,0,0,1,1
2019-01-01,1,1,0,1,0,0,0,0,0,0,0,2,1
2019-02-01,1,11,0,1,0,0,0,0,0,0,0,15,1
2019-03-01,1,6,0,1,0,0,0,0,0,0,0,3,1
2019-04-01,1,4,0,1,0,0,0,0,0,0,0,6,1
2019-05-01,1,3,0,1,0,0,0,0,0,0,0,1,0
2019-06-01,1,5,0,1,0,0,0,0,0,0,0,8,0
2019-07-01,2,60,1,2,1,0,0,0,29,9,23,175,46
2019-08-01,10,172,8,5,3,2,0,2,21,39,29,20,12
2019-09-01,10,164,2,5,0,1,0,1,11,8,4,38,8
2019-10-01,6,42,1,4,1,0,0,0,4,8,1,52,7
2019-11-01,3,18,1,2,0,0,0,0,5,4,6,37,1
2019-12-01,1,72,0,1,0,1,0,1,11,7,5,40,6
2020-01-01,1,57,0,1,0,1,0,1,7,7,6,30,3
2020-02-01,2,12,1,2,1,0,0,0,7,6,44,17,2
2020-03-01,1,1,0,1,0,0,0,0,2,3,19,24,5
2020-04-01,0,0,0,0,0,0,0,0,3,2,19,20,2
2020-05-01,0,0,0,0,0,0,0,0,3,1,6,13,1
2020-06-01,1,1,0,1,0,0,0,0,1,0,0,30,7
