dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-09-01,9,48,9,6,6,11,0,11,45,28,349,32,3
2015-10-01,7,24,4,6,1,5,0,4,18,14,158,12,1
2015-11-01,19,145,14,11,6,16,1,15,39,26,349,17,2
2015-12-01,22,154,14,14,6,11,0,11,25,22,218,165,17
2016-01-01,22,127,10,16,7,10,1,8,28,14,277,58,7
2016-02-01,29,166,21,15,8,8,4,6,57,39,389,350,43
2016-03-01,22,116,10,12,3,11,1,9,40,26,269,45,8
2016-04-01,19,57,3,9,2,3,2,1,26,6,179,27,7
2016-05-01,12,37,2,9,2,3,1,3,18,18,148,24,3
2016-06-01,18,49,10,10,3,11,1,5,24,12,80,30,8
2016-07-01,9,23,4,3,0,2,0,5,10,10,61,30,7
2016-08-01,10,35,4,6,2,4,1,0,17,7,60,19,6
2016-09-01,13,75,3,9,2,2,1,3,8,12,65,27,5
2016-10-01,9,12,3,8,2,2,0,1,10,4,36,23,3
2016-11-01,5,15,3,5,3,2,1,1,12,8,94,17,9
2016-12-01,16,69,6,8,2,9,2,7,15,13,92,20,5
2017-01-01,17,61,2,12,1,6,1,7,35,20,286,43,6
2017-02-01,19,67,6,15,4,6,1,5,33,29,282,54,8
2017-03-01,14,68,4,8,1,6,1,5,23,19,141,41,8
2017-04-01,27,116,12,16,5,7,0,6,29,28,387,58,5
2017-05-01,29,172,12,15,4,19,2,17,58,124,816,68,8
2017-06-01,23,68,6,13,1,8,2,6,23,18,241,78,7
2017-07-01,22,61,5,12,1,14,5,7,40,28,317,250,22
2017-08-01,33,96,10,19,4,7,3,8,25,16,257,90,13
2017-09-01,36,153,14,21,2,6,4,3,83,44,842,406,34
2017-10-01,27,138,9,14,2,1,1,0,55,38,357,113,14
2017-11-01,53,172,24,25,6,0,0,0,78,49,856,246,41
2017-12-01,29,67,9,18,2,0,0,0,62,41,453,144,17
2018-01-01,32,119,8,17,1,0,0,0,111,68,1051,143,19
2018-02-01,40,196,13,18,2,0,0,0,89,47,748,135,21
2018-03-01,39,183,16,17,4,1,1,0,83,64,745,146,26
2018-04-01,61,267,31,25,10,0,0,0,125,75,865,320,43
2018-05-01,60,184,22,28,6,0,0,0,80,45,555,171,24
2018-06-01,26,127,10,15,3,0,0,0,77,49,574,151,26
2018-07-01,35,83,8,15,2,0,0,0,47,27,342,121,21
2018-08-01,36,218,16,20,3,1,1,0,77,57,639,159,30
2018-09-01,41,88,21,14,5,0,0,0,128,85,996,284,40
2018-10-01,33,114,14,12,2,1,0,1,87,73,675,151,29
2018-11-01,44,88,17,20,3,0,0,0,54,31,334,142,38
2018-12-01,27,77,10,11,2,0,0,0,65,61,433,146,18
2019-01-01,45,97,14,22,2,2,0,2,105,90,1065,287,38
2019-02-01,43,114,18,21,8,3,1,1,79,64,596,189,28
2019-03-01,41,98,12,22,5,0,0,1,90,49,609,205,28
2019-04-01,31,78,12,16,2,1,0,0,57,30,512,209,23
2019-05-01,16,28,7,7,1,0,0,0,60,20,395,158,19
2019-06-01,48,88,10,25,2,0,0,1,62,129,854,138,24
2019-07-01,23,48,10,14,4,1,1,0,44,76,549,173,27
2019-08-01,51,142,23,28,5,3,1,2,105,141,1216,147,31
2019-09-01,52,144,16,25,3,2,0,2,92,94,883,230,36
2019-10-01,54,161,23,23,2,1,0,1,93,69,789,354,34
2019-11-01,52,154,18,26,5,0,0,0,59,30,332,151,30
2019-12-01,47,139,12,23,4,1,0,1,82,67,1138,177,30
2020-01-01,60,231,20,28,5,2,0,1,127,110,1013,408,42
2020-02-01,64,262,17,32,5,2,2,1,120,107,1163,236,48
2020-03-01,68,296,15,30,3,2,0,2,154,117,1624,228,35
2020-04-01,71,294,18,34,3,1,0,0,178,167,1367,246,41
2020-05-01,54,205,10,24,2,2,1,2,204,203,1717,518,73
2020-06-01,36,67,10,18,3,0,0,0,125,102,793,299,36
2020-07-01,28,115,5,17,0,1,0,1,196,155,1236,894,80
2020-08-01,11,31,3,3,0,0,0,0,172,242,2093,348,40
