dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-01-01,1,4,0,1,0,0,0,0,2,1,7,1,0
2016-02-01,0,0,0,0,0,0,0,0,1,1,3,2,0
2016-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2016-05-01,0,0,0,0,0,0,0,0,1,0,1,1,0
2016-06-01,1,8,0,1,0,0,0,0,0,0,0,3,1
2016-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,1,4,0,1,0,0,0,0,1,1,2,6,0
2016-10-01,0,0,0,0,0,0,0,0,1,0,2,1,0
2016-11-01,2,13,1,1,0,6,1,5,7,6,11,0,1
2016-12-01,2,3,0,1,0,1,0,1,2,2,2,2,0
2017-01-01,2,5,0,1,0,1,0,1,6,2,24,2,1
2017-02-01,1,1,0,1,0,1,0,0,1,0,0,0,1
2017-03-01,2,6,0,1,0,2,0,3,4,3,10,0,0
2017-04-01,0,0,0,0,0,0,0,0,0,0,0,2,0
2017-05-01,2,3,0,1,0,1,0,1,4,2,12,1,0
2017-06-01,1,3,0,1,0,0,0,0,2,0,12,3,1
2017-07-01,0,0,0,0,0,0,0,0,5,0,28,5,1
2017-08-01,3,154,1,2,1,25,3,21,35,32,174,8,2
2017-09-01,4,82,2,1,0,13,0,14,25,26,103,5,0
2017-10-01,4,224,0,2,0,32,1,31,64,74,514,12,0
2017-11-01,2,88,0,1,0,16,0,16,38,38,381,12,0
2017-12-01,3,169,0,2,0,27,0,26,66,58,746,10,1
2018-01-01,2,175,0,1,0,25,1,25,64,53,685,9,0
2018-02-01,2,144,0,1,0,19,0,19,63,63,647,12,1
2018-03-01,2,126,0,1,0,12,1,10,38,43,641,17,1
2018-04-01,3,118,0,2,0,9,0,10,33,35,652,2,0
2018-05-01,4,122,0,2,0,13,1,12,43,42,529,15,2
2018-06-01,4,80,1,2,0,12,0,12,27,27,49,10,2
2018-07-01,5,70,1,3,1,23,0,23,31,27,109,15,1
2018-08-01,6,199,1,3,0,50,2,48,72,61,299,11,0
2018-09-01,6,200,0,3,0,56,2,54,65,63,207,14,1
2018-10-01,6,164,1,3,0,39,0,39,53,50,139,8,2
2018-11-01,8,219,1,4,1,71,2,69,85,75,106,14,1
2018-12-01,5,67,0,3,0,16,0,16,27,50,346,19,2
2019-01-01,7,97,1,3,0,28,0,28,39,45,166,10,4
2019-02-01,7,119,2,4,1,42,1,40,60,47,134,7,2
2019-03-01,9,316,2,6,2,116,2,115,136,128,401,14,1
2019-04-01,7,99,0,5,0,34,2,32,54,46,278,15,4
2019-05-01,11,355,1,7,1,96,0,96,125,116,251,23,2
2019-06-01,10,205,0,6,0,55,3,52,90,105,362,20,3
2019-07-01,8,185,1,6,0,71,3,68,112,92,426,46,2
2019-08-01,10,149,1,7,0,59,1,58,101,90,439,51,4
2019-09-01,6,205,3,3,0,76,0,76,102,114,601,26,2
2019-10-01,5,78,0,5,0,32,1,31,45,40,206,46,3
2019-11-01,6,188,1,3,0,68,1,67,99,102,455,164,11
2019-12-01,2,27,0,2,0,12,0,12,21,14,90,32,0
2020-01-01,4,164,0,3,0,54,0,54,74,70,290,29,1
2020-02-01,9,248,1,5,0,72,3,69,96,95,448,71,3
2020-03-01,9,397,1,6,1,98,1,97,152,154,497,111,7
2020-04-01,9,211,0,5,0,54,0,54,100,93,278,88,4
2020-05-01,6,198,0,3,0,59,1,58,98,91,318,75,7
2020-06-01,12,198,3,5,0,70,1,68,97,93,381,76,11
2020-07-01,10,216,1,6,1,71,2,70,96,114,379,131,9
2020-08-01,10,318,2,6,1,124,0,124,167,169,458,101,8
