dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-12-01,1,1,1,1,1,2,1,1,46,43,299,54,9
2017-01-01,6,160,5,4,3,9,0,9,114,107,610,63,13
2017-02-01,5,105,3,4,2,7,0,7,63,77,417,37,8
2017-03-01,3,52,2,2,1,1,0,0,47,36,264,20,5
2017-04-01,7,124,5,5,3,15,2,14,40,39,157,18,6
2017-05-01,2,8,0,2,0,1,0,1,18,12,78,6,0
2017-06-01,3,40,0,3,0,2,0,2,33,36,200,22,1
2017-07-01,4,45,2,2,0,2,0,2,21,17,100,17,5
2017-08-01,6,53,4,6,3,12,3,9,30,41,120,17,4
2017-09-01,2,7,0,2,0,2,0,2,30,23,119,14,1
2017-10-01,1,15,0,1,0,0,0,0,11,14,56,14,3
2017-11-01,8,37,5,4,0,12,2,10,75,77,229,48,9
2017-12-01,7,54,3,3,0,10,0,10,46,55,131,27,3
2018-01-01,6,12,1,3,0,8,0,7,31,28,100,17,9
2018-02-01,0,0,0,0,0,0,0,0,16,15,107,13,5
2018-03-01,2,4,1,1,0,3,0,2,19,12,98,10,0
2018-04-01,1,5,0,1,0,1,0,0,8,6,33,13,1
2018-05-01,5,31,3,3,1,1,3,1,6,11,58,14,1
2018-06-01,1,2,0,1,0,0,0,0,16,12,61,17,6
2018-07-01,3,20,0,3,0,0,0,0,23,15,79,16,0
2018-08-01,4,32,1,3,0,0,0,0,14,17,66,21,1
2018-09-01,2,40,0,2,0,0,0,0,5,1,9,21,0
2018-10-01,5,119,1,4,1,0,0,0,10,7,45,14,2
2018-11-01,3,72,1,3,1,0,0,0,10,11,48,21,0
2018-12-01,6,183,2,3,0,1,0,1,22,50,95,17,8
2019-01-01,9,138,2,5,0,11,0,11,81,73,579,22,6
2019-02-01,8,51,4,4,0,11,2,8,24,23,87,27,7
2019-03-01,6,141,0,3,0,10,0,10,29,32,126,20,1
2019-04-01,7,81,2,3,0,5,1,4,28,30,166,7,5
2019-05-01,5,65,1,3,1,1,0,2,13,12,77,19,1
2019-06-01,5,39,1,4,1,2,2,0,13,12,78,10,1
2019-07-01,6,81,2,4,0,2,0,2,10,9,39,24,4
2019-08-01,5,71,2,4,0,4,2,2,10,10,30,16,1
2019-09-01,8,126,2,5,0,6,0,5,18,22,158,17,3
2019-10-01,8,119,2,4,0,8,0,9,22,22,171,21,6
2019-11-01,2,39,0,2,0,2,1,1,11,9,52,19,1
2019-12-01,4,60,0,3,0,2,0,1,9,6,54,8,3
2020-01-01,4,106,0,4,0,4,1,4,24,32,244,7,1
2020-02-01,3,39,0,3,0,1,0,1,19,15,166,30,4
2020-03-01,1,11,0,1,0,1,0,0,8,5,43,14,2
2020-04-01,2,44,0,2,0,0,0,0,14,10,138,11,0
2020-05-01,3,73,1,2,0,2,0,3,14,14,58,18,1
2020-06-01,5,120,0,4,0,2,0,2,24,33,184,22,4
2020-07-01,4,48,1,3,0,3,0,2,18,12,83,13,4
2020-08-01,2,28,0,2,0,0,0,0,20,13,106,9,1
