dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-08-01,2,50,0,2,0,0,0,0,5,2,49,0,0
2016-09-01,2,73,0,2,0,0,0,0,24,17,287,7,1
2016-10-01,2,25,0,2,0,0,0,0,4,2,14,2,0
2016-11-01,2,53,0,2,0,0,0,0,23,19,112,5,0
2016-12-01,2,27,0,2,0,1,1,0,63,51,309,29,6
2017-01-01,1,16,0,1,0,0,0,0,40,28,141,11,1
2017-02-01,1,41,0,1,0,0,0,0,30,35,144,42,7
2017-03-01,3,52,2,3,2,3,3,0,79,52,288,90,7
2017-04-01,3,39,1,3,1,1,1,0,58,47,254,42,4
2017-05-01,1,33,0,1,0,0,0,0,38,53,200,11,1
2017-06-01,2,57,1,1,0,0,0,0,64,51,229,22,6
2017-07-01,2,38,1,1,0,0,0,0,54,45,199,22,5
2017-08-01,2,25,1,2,1,0,0,0,128,91,507,121,40
2017-09-01,1,4,0,1,0,0,0,0,41,39,224,59,25
2017-10-01,2,5,1,1,0,0,0,0,26,5,65,27,16
2017-11-01,1,1,0,1,0,0,0,0,22,1,30,21,8
2017-12-01,3,37,2,1,0,4,3,1,81,84,299,68,28
2018-01-01,0,0,0,0,0,0,0,0,40,9,75,35,13
2018-02-01,1,9,0,1,0,1,0,0,22,24,72,24,13
2018-03-01,3,24,2,1,0,3,3,0,100,67,295,61,28
2018-04-01,2,2,1,1,0,1,0,0,28,11,60,23,10
2018-05-01,3,24,2,3,1,0,0,0,44,37,127,27,16
2018-06-01,1,33,0,1,0,0,0,0,78,52,191,56,26
2018-07-01,0,0,0,0,0,0,0,0,31,5,33,24,11
2018-08-01,1,13,0,1,0,0,0,0,33,10,44,35,7
2018-09-01,1,13,0,1,0,0,0,0,51,18,94,37,13
2018-10-01,3,21,2,2,1,2,0,0,37,21,78,21,14
2018-11-01,2,2,2,2,1,0,0,0,23,3,24,63,10
2018-12-01,6,37,4,3,1,0,0,1,71,28,132,122,49
2019-01-01,1,19,0,1,0,1,0,0,61,34,122,47,18
2019-02-01,3,15,1,3,1,0,0,0,22,2,41,23,17
2019-03-01,5,46,2,3,1,3,2,0,88,39,215,87,60
2019-04-01,1,2,0,1,0,2,1,0,24,8,38,30,25
2019-05-01,0,0,0,0,0,1,0,0,16,3,20,35,17
2019-06-01,1,10,0,1,0,0,0,0,68,15,108,120,54
2019-07-01,0,0,0,0,0,2,0,0,12,0,4,37,18
2019-08-01,0,0,0,0,0,0,0,0,14,4,38,26,14
2019-09-01,4,16,2,3,1,1,0,0,61,29,145,67,33
2019-10-01,3,7,3,2,0,4,1,0,27,3,21,20,11
2019-11-01,2,15,1,1,0,0,1,0,25,3,15,39,15
2019-12-01,4,93,2,3,1,3,3,1,65,55,79,97,56
2020-01-01,0,0,0,0,0,1,1,0,25,2,21,60,25
2020-02-01,0,0,0,0,0,0,0,0,7,2,9,24,16
2020-03-01,1,14,0,1,0,4,1,0,64,16,96,71,61
2020-04-01,1,1,0,1,0,0,0,0,32,2,15,42,41
2020-05-01,0,0,0,0,0,0,0,0,9,1,2,24,18
2020-06-01,1,1,0,1,0,0,0,0,35,8,34,99,101
