dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-08-01,1,16,1,1,1,0,0,0,2,0,8,4,0
2015-09-01,1,229,0,1,0,0,0,0,37,23,263,13,0
2015-10-01,1,171,0,1,0,0,0,0,21,13,347,9,0
2015-11-01,3,53,2,3,2,4,2,1,27,18,300,3,4
2015-12-01,4,29,2,4,2,2,1,2,14,10,124,8,2
2016-01-01,6,41,4,6,3,6,2,3,19,14,202,8,2
2016-02-01,5,47,1,4,0,2,3,0,26,26,311,9,1
2016-03-01,6,73,2,4,0,3,3,0,30,35,396,9,3
2016-04-01,4,78,1,4,1,2,1,1,38,21,420,11,2
2016-05-01,5,155,1,4,1,5,4,1,77,78,1185,14,2
2016-06-01,4,142,1,3,0,4,2,2,76,90,810,10,2
2016-07-01,6,63,4,6,2,5,0,4,58,39,499,20,5
2016-08-01,7,45,4,4,1,7,2,6,40,41,554,16,6
2016-09-01,6,60,2,5,1,4,2,2,49,35,324,20,1
2016-10-01,7,43,4,6,2,5,1,2,42,32,495,23,5
2016-11-01,5,62,3,5,3,9,1,10,38,34,283,11,1
2016-12-01,5,11,0,5,0,4,0,3,30,15,192,14,0
2017-01-01,9,43,4,8,3,12,2,10,37,25,239,30,6
2017-02-01,11,58,4,7,1,18,5,8,49,29,220,18,4
2017-03-01,7,24,1,7,1,13,2,12,43,26,483,13,3
2017-04-01,12,38,7,7,2,18,2,12,34,23,272,13,6
2017-05-01,19,112,6,10,0,55,4,45,89,75,695,14,5
2017-06-01,10,101,3,7,1,38,4,40,82,70,693,17,5
2017-07-01,12,54,5,8,1,16,0,17,36,30,275,14,4
2017-08-01,10,107,2,8,0,40,1,33,68,57,650,16,5
2017-09-01,11,82,2,8,1,22,2,25,54,48,390,11,2
2017-10-01,12,111,3,11,2,45,5,42,100,81,677,14,2
2017-11-01,11,70,5,8,1,22,0,20,55,48,383,20,6
2017-12-01,13,85,3,10,2,37,1,33,62,52,235,12,8
2018-01-01,6,34,0,6,0,13,0,15,40,35,285,12,2
2018-02-01,9,34,4,8,3,15,0,12,45,34,370,14,3
2018-03-01,11,50,3,7,0,16,1,13,48,31,256,12,4
2018-04-01,5,43,1,5,0,13,1,15,37,33,351,14,1
2018-05-01,7,39,3,7,2,15,0,9,41,23,184,23,5
2018-06-01,7,53,2,7,2,15,2,16,36,37,226,17,4
2018-07-01,5,42,0,5,0,11,2,10,34,24,134,13,2
2018-08-01,20,147,7,11,1,49,9,45,100,93,865,67,6
2018-09-01,7,47,0,6,0,12,0,10,58,27,420,21,5
2018-10-01,15,56,4,7,0,23,4,18,56,36,204,25,11
2018-11-01,6,17,1,5,1,6,1,5,27,17,158,22,0
2018-12-01,3,12,0,3,0,4,0,4,20,9,80,20,3
2019-01-01,8,51,2,5,1,16,3,15,33,27,295,13,1
2019-02-01,9,26,3,9,2,9,2,9,23,16,71,17,2
2019-03-01,8,41,2,6,0,17,0,13,45,23,126,27,4
2019-04-01,5,30,1,5,0,10,1,13,39,31,195,27,3
2019-05-01,7,33,2,5,0,10,0,8,29,15,97,20,4
2019-06-01,8,41,1,8,1,16,0,13,37,28,140,12,2
2019-07-01,3,25,1,3,1,10,2,11,35,34,273,22,6
2019-08-01,8,58,2,5,0,24,0,22,52,48,338,15,6
2019-09-01,9,44,4,9,3,17,1,13,36,27,159,19,6
2019-10-01,4,26,2,3,0,7,1,10,28,20,140,17,6
2019-11-01,12,256,7,12,4,31,11,19,59,42,313,16,8
2019-12-01,10,62,2,9,1,23,2,19,60,33,220,16,2
2020-01-01,8,25,0,7,0,11,1,7,24,20,91,22,1
2020-02-01,9,50,2,7,1,20,2,21,49,53,313,25,3
2020-03-01,13,147,2,10,2,54,5,48,97,90,551,22,6
2020-04-01,14,213,6,9,1,68,10,64,133,145,924,30,4
2020-05-01,15,76,7,8,1,37,1,32,91,97,628,37,8
2020-06-01,14,75,6,8,1,39,5,31,87,77,427,21,7
2020-07-01,10,57,1,6,0,25,1,23,52,44,389,25,3
2020-08-01,11,40,5,5,0,21,2,17,54,28,275,28,3
