dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-03-01,1,10,0,1,0,0,0,0,1,0,2,2,2
2016-04-01,1,4,0,1,0,1,1,0,2,1,6,2,4
2016-05-01,1,4,0,1,0,0,0,0,0,0,0,2,0
2016-06-01,1,7,1,1,1,0,0,0,3,0,2,3,2
2016-07-01,3,21,1,3,1,0,0,0,2,0,3,1,4
2016-08-01,2,2,0,2,0,0,0,0,0,3,3,2,2
2016-09-01,1,9,0,1,0,0,0,0,2,0,13,8,8
2016-10-01,0,0,0,0,0,1,0,0,8,1,73,9,6
2016-11-01,0,0,0,0,0,0,0,0,3,0,16,8,4
2016-12-01,0,0,0,0,0,0,0,0,12,4,63,11,6
2017-01-01,0,0,0,0,0,0,1,0,5,8,26,11,6
2017-02-01,0,0,0,0,0,0,0,0,15,10,83,20,8
2017-03-01,1,3,0,1,0,0,0,0,15,16,101,11,7
2017-04-01,0,0,0,0,0,0,0,0,17,6,178,9,9
2017-05-01,0,0,0,0,0,0,0,0,32,18,248,24,5
2017-06-01,3,8,2,3,1,0,0,0,17,12,90,10,7
2017-07-01,6,82,2,5,0,0,0,0,28,12,255,15,11
2017-08-01,2,11,0,2,0,0,0,0,28,13,205,12,9
2017-09-01,5,100,0,4,0,0,0,0,22,7,76,11,5
2017-10-01,4,25,0,4,0,0,0,0,49,32,266,18,16
2017-11-01,4,127,0,4,0,0,0,0,27,12,82,8,11
2017-12-01,5,165,1,4,0,0,0,0,76,68,322,10,12
2018-01-01,5,114,1,4,1,0,0,0,86,45,199,19,14
2018-02-01,4,91,0,3,0,0,0,0,59,33,347,37,13
2018-03-01,7,123,3,5,2,0,0,0,83,61,145,40,18
2018-04-01,6,131,1,5,0,0,0,0,112,70,1657,45,11
2018-05-01,8,122,3,6,1,0,0,0,91,45,612,57,15
2018-06-01,9,172,2,7,2,0,0,0,91,63,1545,37,15
2018-07-01,8,257,1,5,0,0,0,0,106,75,344,27,6
2018-08-01,8,274,0,5,0,0,0,0,104,86,219,30,8
2018-09-01,7,174,0,5,0,0,0,0,118,63,614,43,16
2018-10-01,5,54,0,5,0,0,0,0,76,39,519,34,11
2018-11-01,6,170,0,5,0,0,0,0,83,71,298,28,13
2018-12-01,6,57,1,6,1,0,0,0,64,89,663,28,14
2019-01-01,9,114,2,7,2,0,0,0,59,47,292,41,25
2019-02-01,9,147,1,6,1,0,0,0,84,54,401,38,16
2019-03-01,11,128,3,7,2,0,0,0,100,52,880,39,22
2019-04-01,14,50,5,6,0,0,0,0,106,67,735,31,21
2019-05-01,10,126,3,7,1,0,0,0,103,76,432,37,24
2019-06-01,12,124,3,8,2,0,0,0,67,42,380,30,16
2019-07-01,13,154,4,9,2,0,0,0,106,64,592,29,18
2019-08-01,14,145,3,9,2,0,0,0,98,45,556,37,13
2019-09-01,11,132,1,7,0,0,0,0,82,48,340,20,22
2019-10-01,9,88,0,7,0,0,0,0,64,67,616,28,15
2019-11-01,7,58,2,3,0,0,0,0,44,39,448,12,10
2019-12-01,5,56,1,4,0,0,0,0,44,31,214,18,9
2020-01-01,5,97,0,4,0,0,0,0,57,37,295,18,13
2020-02-01,6,45,1,4,0,0,0,0,62,24,341,15,12
2020-03-01,6,65,1,5,1,0,0,0,54,41,361,19,15
2020-04-01,5,50,0,4,0,0,0,0,79,34,353,35,22
2020-05-01,5,21,0,4,0,0,0,0,56,32,566,37,22
2020-06-01,7,45,0,6,0,0,0,0,66,24,293,26,15
2020-07-01,2,10,0,2,0,0,0,0,17,13,290,22,13
2020-08-01,5,26,1,4,1,0,0,0,28,34,458,25,5
