dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-03-01,4,116,4,2,2,2,0,2,36,23,151,9,2
2015-04-01,3,153,0,2,0,2,0,2,38,26,202,8,6
2015-05-01,4,98,1,2,0,1,0,1,42,41,260,10,4
2015-06-01,1,1,0,1,0,0,0,0,13,9,51,2,1
2015-07-01,0,0,0,0,0,0,0,0,2,2,10,8,0
2015-08-01,1,13,0,1,0,0,0,0,13,5,33,7,1
2015-09-01,1,1,0,1,0,0,0,0,6,1,29,5,0
2015-10-01,1,1,0,1,0,0,0,0,15,10,56,3,1
2015-11-01,0,0,0,0,0,0,0,0,3,0,17,5,1
2015-12-01,0,0,0,0,0,0,0,0,4,0,13,2,0
2016-01-01,0,0,0,0,0,0,0,0,2,1,3,3,2
2016-02-01,0,0,0,0,0,0,0,0,3,0,6,3,0
2016-03-01,3,28,2,2,1,3,0,3,26,73,398,10,2
2016-04-01,2,12,1,2,0,1,0,1,24,26,249,14,2
2016-05-01,1,5,0,1,0,0,0,0,24,23,399,8,1
2016-06-01,0,0,0,0,0,0,0,0,9,2,29,1,3
2016-07-01,2,18,1,2,0,3,0,3,8,3,32,2,0
2016-08-01,0,0,0,0,0,0,0,0,6,1,24,1,1
2016-09-01,0,0,0,0,0,0,0,0,1,1,0,0,0
2016-10-01,3,9,1,3,0,3,0,3,4,4,37,2,2
2016-11-01,3,8,0,2,0,2,1,1,14,8,127,8,2
2016-12-01,2,11,0,2,0,0,0,0,19,16,126,18,1
2017-01-01,6,46,2,5,2,5,2,3,80,95,1038,41,5
2017-02-01,5,110,1,3,0,3,0,2,20,12,187,13,6
2017-03-01,4,74,1,4,1,0,0,0,9,0,49,7,2
2017-04-01,4,10,1,3,0,1,2,0,7,9,112,6,2
2017-05-01,1,1,0,1,0,0,0,0,6,3,48,6,2
2017-06-01,0,0,0,0,0,0,0,0,6,3,30,3,0
2017-07-01,0,0,0,0,0,0,0,0,5,0,12,4,1
2017-08-01,0,0,0,0,0,0,0,0,1,0,7,2,2
2017-09-01,1,10,0,1,0,0,0,0,9,29,193,8,1
2017-10-01,1,7,0,1,0,0,0,0,6,9,29,3,1
2017-11-01,2,3,0,2,0,1,0,1,9,10,32,14,0
2017-12-01,3,19,0,3,0,0,0,0,8,12,92,9,2
2018-01-01,2,9,0,2,0,0,0,0,14,15,84,3,2
2018-02-01,1,1,0,1,0,0,0,0,1,0,4,2,1
2018-03-01,1,1,1,1,0,1,0,1,2,2,6,5,0
2018-04-01,2,2,2,2,0,2,0,2,6,4,27,5,1
2018-05-01,0,0,0,0,0,0,0,0,4,0,10,2,0
2018-06-01,0,0,0,0,0,0,0,0,6,0,11,2,1
2018-07-01,1,1,1,1,1,1,0,0,3,1,4,0,1
2018-08-01,1,2,0,1,0,0,0,1,2,8,16,2,0
2018-09-01,0,0,0,0,0,0,0,0,1,0,1,2,0
2018-10-01,1,1,0,1,0,0,0,0,3,3,13,7,2
2018-11-01,1,50,1,1,0,1,0,0,5,2,43,3,2
2018-12-01,0,0,0,0,0,0,0,0,2,1,10,3,1
2019-01-01,0,0,0,0,0,0,0,0,9,5,38,7,2
2019-02-01,0,0,0,0,0,0,0,0,0,0,0,1,3
2019-03-01,0,0,0,0,0,0,0,0,2,0,2,7,1
2019-04-01,0,0,0,0,0,0,0,1,0,8,14,7,2
2019-05-01,5,202,2,2,0,0,0,0,36,8,89,32,1
2019-06-01,4,180,0,2,0,12,0,12,44,41,121,28,7
2019-07-01,1,1,0,1,0,0,0,0,2,0,2,5,2
2019-08-01,12,85,8,7,4,18,4,12,94,42,436,189,26
2019-09-01,19,587,13,9,5,57,9,43,473,451,2084,190,43
2019-10-01,18,527,10,6,0,29,13,18,282,286,1243,39,15
2019-11-01,15,303,7,6,2,21,12,14,133,173,659,14,7
2019-12-01,8,144,4,4,1,20,4,12,69,64,291,8,4
2020-01-01,7,143,3,3,0,21,2,22,73,87,338,6,3
2020-02-01,4,70,1,2,0,7,1,7,44,35,211,6,3
2020-03-01,4,135,1,2,0,15,5,10,58,90,357,9,4
2020-04-01,7,62,3,6,1,7,0,3,65,41,200,9,4
2020-05-01,4,217,0,3,0,22,9,15,79,83,284,6,2
2020-06-01,8,282,1,4,0,34,10,22,117,92,234,8,1
2020-07-01,8,139,3,4,1,71,8,63,130,148,356,10,5
2020-08-01,7,119,2,4,1,40,1,38,87,122,372,8,2
