dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2017-03-01,1,3,0,1,0,0,0,0,1,1,18,2,0
2017-04-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2017-05-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2017-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,2,30,1,2,1,1,1,0,4,4,28,24,1
2017-09-01,2,120,1,2,1,4,1,1,151,95,1671,288,27
2017-10-01,4,205,2,3,1,15,5,9,189,137,1946,115,16
2017-11-01,5,100,2,3,1,5,4,4,128,88,1208,251,24
2017-12-01,5,62,1,4,1,7,3,3,98,73,862,140,17
2018-01-01,3,29,1,2,0,3,1,1,90,49,554,195,14
2018-02-01,3,55,1,3,1,4,2,1,99,66,812,95,11
2018-03-01,2,167,1,2,0,3,3,1,106,85,847,120,12
2018-04-01,1,18,0,1,0,1,2,0,63,30,336,100,11
2018-05-01,3,47,0,3,0,2,1,2,44,80,761,59,4
2018-06-01,1,82,0,1,0,0,0,0,60,57,675,97,12
2018-07-01,1,30,0,1,0,0,0,0,30,28,144,60,3
2018-08-01,1,10,0,1,0,0,0,0,15,7,54,49,5
2018-09-01,1,3,0,1,0,0,0,0,16,9,69,45,1
2018-10-01,1,12,0,1,0,0,0,0,16,3,101,67,7
2018-11-01,0,0,0,0,0,0,0,0,14,4,78,51,5
2018-12-01,1,29,0,1,0,0,0,0,19,12,112,43,5
2019-01-01,2,140,1,2,1,0,0,0,20,26,255,75,8
2019-02-01,2,120,0,2,0,0,0,0,28,19,163,60,2
2019-03-01,1,48,0,1,0,0,0,0,25,17,212,72,5
2019-04-01,1,68,0,1,0,0,0,0,23,13,159,64,2
2019-05-01,1,88,0,1,0,0,0,0,38,25,262,53,9
2019-06-01,1,134,0,1,0,0,0,0,123,172,1627,91,9
2019-07-01,2,59,1,2,1,0,0,0,74,46,700,73,13
2019-08-01,1,49,0,1,0,0,0,0,29,28,250,42,4
2019-09-01,1,32,0,1,0,0,0,0,23,17,194,44,8
2019-10-01,2,31,0,2,0,0,0,0,48,27,419,50,3
2019-11-01,1,11,0,1,0,0,0,0,31,23,243,32,9
2019-12-01,1,1,0,1,0,0,0,0,25,85,814,37,6
2020-01-01,0,0,0,0,0,0,0,0,25,17,130,42,4
2020-02-01,1,1,0,1,0,0,0,0,17,9,109,48,10
2020-03-01,0,0,0,0,0,0,0,0,19,11,110,35,5
2020-04-01,3,5,2,2,1,0,0,0,31,100,637,61,8
2020-05-01,0,0,0,0,0,0,0,0,18,10,67,41,9
2020-06-01,0,0,0,0,0,0,0,0,22,17,115,34,6
2020-07-01,0,0,0,0,0,0,0,0,18,19,93,38,5
2020-08-01,1,1,0,1,0,0,0,0,8,5,22,29,5
