dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-12-01,6,44,3,6,2,0,0,0,11,2,94,50,2
2017-01-01,20,570,17,11,7,0,0,0,536,444,3824,297,17
2017-02-01,17,133,7,5,1,0,0,0,397,331,2882,217,16
2017-03-01,20,145,11,4,0,0,0,0,355,305,2720,177,28
2017-04-01,8,80,4,7,3,0,0,0,177,143,1823,127,16
2017-05-01,10,40,6,6,2,0,0,0,124,70,1227,118,10
2017-06-01,5,37,2,3,0,0,0,0,153,145,1337,83,7
2017-07-01,4,10,3,4,2,0,0,0,98,61,776,72,7
2017-08-01,8,44,5,6,1,0,0,0,174,108,1105,82,14
2017-09-01,3,16,1,3,0,0,0,0,102,59,726,63,7
2017-10-01,6,40,4,5,1,0,0,0,104,71,664,102,7
2017-11-01,5,10,0,4,0,0,0,0,69,42,401,67,5
2017-12-01,7,11,4,4,1,0,0,0,78,46,475,80,4
2018-01-01,3,12,1,3,0,0,0,0,82,59,490,83,8
2018-02-01,7,76,2,4,1,0,0,0,128,285,1681,67,14
2018-03-01,7,44,4,5,0,0,0,0,103,180,1575,98,14
2018-04-01,3,14,0,3,0,0,0,0,56,109,998,77,9
2018-05-01,4,22,2,3,0,0,0,0,75,82,622,80,5
2018-06-01,0,0,0,0,0,0,0,0,41,37,328,75,4
2018-07-01,3,7,1,2,0,0,0,0,63,64,372,60,8
2018-08-01,1,23,0,1,0,0,0,0,74,77,706,73,4
2018-09-01,5,17,3,4,1,0,0,0,62,60,531,71,9
2018-10-01,6,19,3,4,1,0,0,0,78,82,575,70,6
2018-11-01,3,17,0,3,0,0,0,0,73,67,507,78,6
2018-12-01,5,25,2,5,2,0,0,0,63,44,352,93,8
2019-01-01,2,6,0,2,0,0,0,0,62,52,445,90,18
2019-02-01,7,18,3,5,1,0,0,0,57,56,307,95,8
2019-03-01,3,6,1,3,1,0,0,0,64,49,311,118,18
2019-04-01,3,3,1,3,0,0,0,0,36,41,214,96,10
2019-05-01,11,13,9,4,0,0,0,0,41,50,304,114,19
2019-06-01,3,13,0,3,0,0,0,0,50,25,306,76,13
2019-07-01,5,43,1,4,0,0,0,0,66,53,448,69,6
2019-08-01,4,20,0,3,0,0,0,0,74,30,418,79,24
2019-09-01,3,34,0,2,0,0,0,0,61,116,845,67,12
2019-10-01,5,80,0,3,0,0,0,0,53,57,362,85,17
2019-11-01,11,37,5,2,0,0,0,0,60,53,419,86,14
2019-12-01,8,92,4,3,1,0,0,0,109,129,751,99,18
2020-01-01,8,71,2,3,0,0,0,0,97,108,616,127,14
2020-02-01,6,47,2,2,0,0,0,0,91,107,782,107,12
2020-03-01,6,33,2,3,0,0,0,0,59,50,328,131,24
2020-04-01,7,79,3,3,0,0,0,0,113,100,632,164,18
2020-05-01,4,81,0,3,0,0,0,0,102,110,582,121,24
2020-06-01,8,56,4,4,2,0,0,0,77,107,595,81,18
2020-07-01,20,155,15,11,6,0,0,0,230,134,816,95,9
2020-08-01,20,134,7,9,1,0,0,0,148,195,561,60,10
