dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-04-01,3,47,2,2,1,1,0,1,2,1,4,66,2
2015-05-01,9,115,7,7,5,7,5,2,25,22,110,293,13
2015-06-01,4,53,1,4,1,1,1,0,16,12,80,86,7
2015-07-01,9,74,7,6,3,5,4,0,34,27,252,95,10
2015-08-01,10,116,6,6,3,5,5,1,43,41,392,283,9
2015-09-01,11,79,7,4,2,12,12,0,55,58,406,323,25
2015-10-01,14,190,9,6,3,5,5,0,52,51,341,401,30
2015-11-01,16,125,7,9,5,11,8,0,75,70,606,319,23
2015-12-01,19,252,11,11,7,5,6,1,73,79,572,399,33
2016-01-01,21,114,15,10,6,11,9,1,87,69,581,552,47
2016-02-01,19,71,13,7,4,8,9,0,55,67,427,341,50
2016-03-01,24,107,16,10,5,11,11,0,73,69,372,463,70
2016-04-01,14,87,7,7,3,9,9,0,67,64,313,434,62
2016-05-01,20,121,15,8,3,15,15,0,67,72,398,440,49
2016-06-01,14,78,6,8,4,8,8,0,53,47,353,290,47
2016-07-01,10,75,6,6,4,6,6,0,34,37,196,346,48
2016-08-01,13,132,7,7,2,6,5,2,47,52,300,386,55
2016-09-01,12,51,8,5,2,6,5,0,65,56,414,323,55
2016-10-01,10,133,6,4,1,1,0,2,48,54,405,361,54
2016-11-01,14,53,8,7,2,2,2,0,48,46,289,282,58
2016-12-01,17,97,10,4,3,2,2,0,37,51,269,361,56
2017-01-01,10,110,5,6,2,0,0,0,30,26,231,345,55
2017-02-01,12,37,10,5,2,1,1,0,32,31,202,432,55
2017-03-01,11,57,8,7,4,5,4,0,47,43,350,478,72
2017-04-01,16,64,10,8,4,4,5,0,63,65,441,429,79
2017-05-01,11,82,5,5,3,3,3,0,52,50,358,379,79
2017-06-01,12,35,8,6,3,2,1,0,33,34,177,374,71
2017-07-01,17,86,11,6,3,3,4,0,42,42,329,408,60
2017-08-01,16,82,8,8,4,0,0,0,38,39,329,364,64
2017-09-01,9,37,3,6,2,3,2,0,36,40,263,351,62
2017-10-01,15,52,13,7,5,1,2,0,50,44,318,336,58
2017-11-01,10,38,5,3,0,2,2,0,31,30,257,337,63
2017-12-01,11,31,7,5,2,2,2,0,31,25,176,302,40
2018-01-01,5,16,0,2,0,0,0,0,18,16,190,348,55
2018-02-01,7,37,3,2,1,0,0,0,24,24,146,249,50
2018-03-01,6,13,3,4,1,1,1,0,19,21,154,354,65
2018-04-01,5,11,3,3,1,4,4,0,34,26,144,321,44
2018-05-01,6,14,3,5,2,1,1,0,24,20,149,318,82
2018-06-01,8,26,4,4,0,1,1,0,25,31,251,250,41
2018-07-01,9,30,4,3,0,2,2,0,23,26,177,303,52
2018-08-01,8,29,5,3,1,2,1,1,20,16,212,287,51
2018-09-01,6,21,2,4,1,1,0,1,25,22,218,258,64
2018-10-01,9,30,5,5,0,1,1,0,33,35,282,250,55
2018-11-01,10,19,5,6,3,2,0,2,30,27,198,246,61
2018-12-01,10,14,7,6,3,2,2,0,25,28,85,235,41
2019-01-01,7,54,3,4,0,0,0,0,21,24,191,261,64
2019-02-01,10,16,5,8,4,0,0,0,25,19,120,230,41
2019-03-01,9,23,3,6,2,4,3,0,18,21,204,283,56
2019-04-01,11,136,5,8,3,2,1,0,54,67,804,252,57
2019-05-01,5,10,4,3,0,1,2,0,36,28,312,256,63
2019-06-01,4,5,2,3,0,0,0,0,22,18,205,214,64
2019-07-01,4,8,2,3,0,3,3,0,24,17,130,267,57
2019-08-01,2,2,1,1,0,0,0,0,14,12,216,223,48
2019-09-01,3,5,2,3,2,3,2,0,23,17,239,214,71
2019-10-01,2,4,1,2,0,4,3,0,17,12,136,188,86
2019-11-01,1,1,0,1,0,0,0,0,7,3,31,178,63
2019-12-01,0,0,0,0,0,0,1,0,6,25,234,174,60
2020-01-01,0,0,0,0,0,1,1,0,12,17,261,137,47
2020-02-01,1,1,0,1,0,3,3,0,15,11,112,129,46
2020-03-01,4,6,2,3,1,3,3,0,21,18,151,212,68
2020-04-01,1,1,0,1,0,5,5,0,17,14,52,213,56
2020-05-01,0,0,0,0,0,1,1,0,11,10,35,170,51
2020-06-01,0,0,0,0,0,1,1,0,10,43,302,125,40
2020-07-01,1,1,1,1,0,3,2,1,15,16,103,330,54
2020-08-01,1,1,1,1,0,3,0,1,10,5,9,144,33
