dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-07-01,5,84,4,4,2,4,0,4,10,7,44,6,4
2016-08-01,1,30,0,1,0,1,1,0,13,8,48,5,1
2016-09-01,3,114,2,3,2,3,0,3,8,7,21,2,2
2016-10-01,3,86,2,2,0,3,0,3,9,7,17,1,1
2016-11-01,4,139,2,3,0,6,0,6,14,13,15,9,3
2016-12-01,5,70,3,5,2,7,1,6,22,11,33,8,5
2017-01-01,7,200,1,5,1,11,0,11,25,18,42,49,14
2017-02-01,5,231,0,5,0,10,1,9,19,20,51,94,24
2017-03-01,7,70,2,5,1,9,0,9,18,13,27,54,19
2017-04-01,6,156,3,3,0,10,0,10,24,19,42,36,7
2017-05-01,5,119,2,3,0,3,0,3,14,12,53,79,19
2017-06-01,4,58,2,4,2,3,0,3,9,6,27,42,17
2017-07-01,4,126,1,4,0,3,0,3,8,10,21,47,25
2017-08-01,6,138,4,5,2,8,0,8,17,12,104,87,31
2017-09-01,8,56,3,6,2,8,0,8,22,28,117,77,17
2017-10-01,11,116,6,8,3,13,0,13,31,31,106,45,24
2017-11-01,5,87,1,5,1,4,0,4,21,13,91,75,39
2017-12-01,9,58,4,4,0,10,1,9,16,17,32,53,20
2018-01-01,9,133,3,6,2,18,0,17,36,37,142,57,22
2018-02-01,14,115,3,6,1,19,0,20,51,40,161,40,18
2018-03-01,11,114,7,5,1,14,1,13,32,30,72,49,24
2018-04-01,15,62,4,6,1,21,1,20,49,40,138,55,23
2018-05-01,9,138,1,4,0,15,0,15,43,47,98,53,16
2018-06-01,10,47,3,4,0,10,0,10,27,24,71,53,19
2018-07-01,10,47,0,4,0,12,1,11,31,21,36,67,15
2018-08-01,11,39,4,5,1,10,0,10,29,20,113,54,24
2018-09-01,14,76,5,8,2,19,0,19,52,40,142,52,20
2018-10-01,12,88,3,6,2,16,1,15,34,32,128,60,23
2018-11-01,9,147,0,6,0,9,0,9,29,27,129,45,31
2018-12-01,9,71,2,5,1,9,0,9,27,39,178,41,11
2019-01-01,10,47,4,5,2,10,1,8,28,22,106,49,18
2019-02-01,9,69,1,5,0,13,4,10,28,27,86,32,16
2019-03-01,12,160,1,5,0,30,1,27,48,41,116,47,17
2019-04-01,10,36,3,6,1,10,1,10,27,23,112,43,24
2019-05-01,13,50,5,6,2,18,3,15,34,27,83,33,20
2019-06-01,9,31,2,6,0,8,0,5,21,12,71,31,20
2019-07-01,8,38,3,4,0,7,0,11,21,21,43,33,20
2019-08-01,7,37,1,5,1,6,0,6,23,26,99,30,14
2019-09-01,8,22,2,4,1,8,1,7,18,16,33,30,27
2019-10-01,5,31,1,4,0,4,0,4,15,10,44,61,19
2019-11-01,10,52,3,5,1,10,0,10,21,19,69,54,17
2019-12-01,13,89,4,6,2,12,0,12,25,24,64,37,16
2020-01-01,6,14,2,4,0,8,4,4,21,13,39,57,16
2020-02-01,1,13,0,1,0,1,0,1,10,6,36,27,13
2020-03-01,6,98,1,3,0,11,3,8,22,20,69,41,22
2020-04-01,8,51,1,5,1,14,2,12,26,25,101,56,13
2020-05-01,9,50,2,6,2,12,4,8,20,19,68,37,24
2020-06-01,5,47,2,4,1,6,1,4,16,12,58,36,14
2020-07-01,4,12,2,4,2,5,0,3,15,7,52,36,12
2020-08-01,4,18,2,3,0,5,2,4,12,15,60,27,12
