dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-07-01,7,60,6,5,4,7,0,7,11,11,10,11,6
2016-08-01,1,19,0,1,0,1,1,0,5,3,6,3,1
2016-09-01,2,17,1,2,1,2,0,2,5,4,2,3,3
2016-10-01,4,19,3,3,1,2,0,2,5,3,8,6,2
2016-11-01,5,84,2,4,0,5,0,5,9,8,1,8,2
2016-12-01,2,17,0,2,0,3,0,3,4,3,3,8,4
2017-01-01,3,6,2,3,1,2,0,2,3,3,2,6,6
2017-02-01,0,0,0,0,0,0,0,0,2,0,8,1,3
2017-03-01,4,86,1,3,0,3,0,3,3,7,9,6,2
2017-04-01,4,15,2,4,1,2,0,2,3,2,8,5,1
2017-05-01,3,36,1,2,0,2,0,2,6,3,4,5,1
2017-06-01,3,28,0,2,0,4,2,2,6,5,21,13,5
2017-07-01,3,4,1,3,0,2,0,2,3,3,10,8,2
2017-08-01,2,2,1,2,0,1,0,1,5,2,13,8,3
2017-09-01,4,29,2,4,2,3,0,3,4,5,3,3,2
2017-10-01,7,38,4,4,2,10,1,9,17,13,21,9,5
2017-11-01,2,27,1,2,1,2,1,1,7,7,26,10,6
2017-12-01,5,28,2,4,0,5,0,5,5,5,6,15,4
2018-01-01,4,41,0,4,0,5,0,4,9,6,15,14,3
2018-02-01,9,37,5,4,1,9,0,10,14,13,18,11,4
2018-03-01,6,11,4,3,0,5,0,5,8,6,3,16,7
2018-04-01,4,26,1,3,0,4,0,4,7,6,5,15,9
2018-05-01,4,66,0,3,0,3,0,3,22,9,23,13,1
2018-06-01,6,103,3,3,0,5,0,5,16,20,75,7,3
2018-07-01,7,32,0,3,0,6,0,6,8,9,20,4,4
2018-08-01,2,9,0,2,0,1,0,1,5,1,7,13,7
2018-09-01,5,10,3,3,1,4,0,4,5,4,0,4,3
2018-10-01,2,9,1,2,1,1,0,1,4,4,14,7,2
2018-11-01,2,2,0,2,0,5,4,1,6,6,2,14,5
2018-12-01,2,2,0,2,0,1,0,1,3,1,5,12,1
2019-01-01,2,2,1,2,0,1,0,1,6,4,10,10,6
2019-02-01,1,2,0,1,0,0,0,0,0,0,0,10,2
2019-03-01,2,6,0,2,0,1,0,1,3,3,4,11,5
2019-04-01,1,7,0,1,0,0,0,0,1,1,6,13,4
2019-05-01,3,4,2,3,1,2,0,2,5,3,15,7,6
2019-06-01,2,2,1,2,1,1,0,1,2,2,2,5,4
2019-07-01,1,4,0,1,0,0,0,0,2,0,4,9,2
2019-08-01,0,0,0,0,0,0,0,0,1,0,1,8,2
2019-09-01,1,11,0,1,0,0,0,0,2,4,13,7,5
2019-10-01,5,24,2,3,1,4,0,4,8,5,6,4,3
2019-11-01,4,13,0,3,0,3,0,3,5,4,0,7,2
2019-12-01,4,12,1,3,1,3,0,3,6,4,5,10,1
2020-01-01,5,14,4,4,1,6,2,4,7,6,21,18,8
2020-02-01,1,8,0,1,0,0,0,0,3,1,6,6,1
2020-03-01,4,20,1,3,0,5,1,4,10,6,8,15,8
2020-04-01,1,11,0,1,0,0,0,0,1,1,5,11,4
2020-05-01,2,10,0,2,0,1,0,1,4,2,9,9,7
2020-06-01,2,4,1,2,1,1,0,1,3,2,4,8,6
2020-07-01,1,1,0,1,0,0,0,0,4,1,6,14,2
