dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-07-01,4,52,4,4,4,3,0,3,3,3,2,1,2
2016-08-01,4,32,2,4,1,3,0,3,8,7,19,6,0
2016-09-01,2,31,0,2,0,1,0,1,2,3,3,2,1
2016-10-01,3,96,2,2,0,3,0,3,5,3,5,4,1
2016-11-01,4,149,1,3,0,6,0,6,19,13,43,3,2
2016-12-01,5,31,2,5,2,6,0,6,12,7,22,4,4
2017-01-01,3,11,1,3,1,5,0,5,8,5,14,6,3
2017-02-01,2,6,0,2,0,1,0,1,1,1,0,1,1
2017-03-01,5,81,1,4,0,4,0,4,7,4,15,2,2
2017-04-01,3,19,2,3,1,2,0,2,4,5,4,8,2
2017-05-01,2,3,1,2,1,1,0,1,2,1,1,6,0
2017-06-01,1,17,0,1,0,0,0,0,2,3,19,7,3
2017-07-01,4,10,3,4,2,3,0,3,4,4,4,11,5
2017-08-01,3,21,2,3,0,2,0,2,3,2,3,14,5
2017-09-01,5,46,2,5,2,5,0,5,17,9,114,7,3
2017-10-01,6,66,2,5,1,10,1,9,19,17,49,12,3
2017-11-01,7,49,1,6,1,6,0,6,20,12,31,18,8
2017-12-01,7,45,1,5,0,10,0,10,14,14,18,14,3
2018-01-01,5,51,2,4,2,9,1,7,18,15,57,15,3
2018-02-01,9,58,2,4,0,9,0,10,19,18,22,10,6
2018-03-01,5,18,4,3,0,4,0,4,18,10,29,15,6
2018-04-01,8,32,2,4,0,7,0,7,14,20,27,13,3
2018-05-01,3,13,2,2,0,3,1,2,14,7,20,9,9
2018-06-01,6,13,3,3,0,5,0,4,12,7,20,10,4
2018-07-01,7,24,1,3,0,5,0,6,9,11,21,7,2
2018-08-01,4,16,2,3,1,5,1,4,10,10,13,8,4
2018-09-01,9,27,3,4,1,8,0,8,12,15,24,10,3
2018-10-01,6,35,1,4,1,5,0,5,9,8,41,16,2
2018-11-01,2,17,0,2,0,1,0,1,8,4,13,11,8
2018-12-01,2,10,0,2,0,1,0,1,2,5,9,14,2
2019-01-01,1,10,0,1,0,1,1,0,5,2,6,11,6
2019-02-01,1,7,0,1,0,1,1,0,4,8,15,15,5
2019-03-01,6,49,1,4,1,5,0,5,6,5,2,19,6
2019-04-01,0,0,0,0,0,0,0,0,3,1,4,15,4
2019-05-01,3,18,2,3,1,3,0,3,8,6,8,11,6
2019-06-01,3,23,1,2,0,3,0,3,6,7,6,11,4
2019-07-01,2,5,0,2,0,1,0,1,4,1,1,10,3
2019-08-01,4,23,0,3,0,4,1,3,15,17,43,10,4
2019-09-01,5,10,2,3,0,3,0,3,5,3,0,13,4
2019-10-01,1,13,0,1,0,1,0,1,3,1,4,7,3
2019-11-01,5,32,0,3,0,6,0,6,9,9,16,11,1
2019-12-01,5,27,2,3,1,4,0,4,5,5,4,19,3
2020-01-01,3,15,2,3,1,2,0,2,9,3,9,10,7
2020-02-01,1,3,0,1,0,1,1,0,2,2,4,13,6
2020-03-01,4,48,0,3,0,5,1,4,7,10,13,11,4
2020-04-01,3,26,2,3,2,2,0,2,6,5,21,20,5
2020-05-01,3,20,1,3,1,2,0,1,3,2,4,15,4
2020-06-01,1,16,0,1,0,0,0,1,2,4,14,14,4
2020-07-01,2,2,1,2,0,2,1,1,9,5,27,32,10
