dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-07-01,5,67,4,5,3,4,0,4,16,11,69,10,4
2016-08-01,2,22,1,2,1,2,1,1,10,4,22,6,1
2016-09-01,2,17,1,2,1,2,0,2,6,5,16,5,3
2016-10-01,4,79,3,3,0,3,0,3,9,9,20,5,3
2016-11-01,7,261,5,6,3,12,1,11,29,23,83,8,3
2016-12-01,7,275,3,6,2,23,0,23,47,33,155,15,8
2017-01-01,9,145,4,7,2,17,0,17,36,31,186,9,6
2017-02-01,4,136,0,4,0,4,0,4,14,10,35,10,3
2017-03-01,8,234,4,7,3,10,0,10,49,38,228,14,5
2017-04-01,8,136,3,4,0,9,0,9,22,23,119,5,8
2017-05-01,8,127,5,5,1,11,1,10,33,21,78,32,8
2017-06-01,7,140,1,5,0,6,1,5,23,19,92,25,7
2017-07-01,6,47,3,5,1,5,0,5,21,16,184,18,9
2017-08-01,8,120,3,4,0,10,0,10,28,19,88,22,7
2017-09-01,12,128,5,8,2,12,0,12,34,38,211,18,5
2017-10-01,14,186,8,6,3,25,1,24,49,42,126,23,10
2017-11-01,12,144,2,7,1,19,1,18,55,44,224,27,8
2017-12-01,15,177,5,6,0,35,0,35,64,50,161,31,6
2018-01-01,17,207,4,6,1,53,3,49,75,74,188,50,14
2018-02-01,19,170,5,8,2,32,0,33,60,55,106,16,7
2018-03-01,13,110,5,4,0,19,2,17,47,34,126,17,13
2018-04-01,12,174,2,6,1,14,1,13,35,50,172,25,9
2018-05-01,8,70,2,4,0,9,0,9,32,28,116,22,8
2018-06-01,10,190,2,5,1,11,0,11,27,28,82,23,6
2018-07-01,11,212,5,4,1,33,2,31,66,60,184,32,10
2018-08-01,12,95,4,4,1,15,0,15,54,47,225,28,11
2018-09-01,9,67,2,4,0,9,0,9,35,24,43,15,3
2018-10-01,20,165,7,8,3,25,0,24,64,64,197,39,10
2018-11-01,22,114,7,9,2,31,0,32,68,64,288,30,19
2018-12-01,17,204,4,6,1,36,1,31,62,69,138,28,11
2019-01-01,15,285,0,5,0,41,1,44,75,82,126,23,7
2019-02-01,16,140,0,5,0,23,1,21,54,50,143,36,4
2019-03-01,21,140,5,8,3,44,1,39,65,60,114,35,10
2019-04-01,15,73,3,7,1,18,2,20,39,32,92,24,14
2019-05-01,11,104,0,5,0,10,1,10,43,36,138,44,9
2019-06-01,18,119,3,5,0,31,3,25,45,37,38,36,9
2019-07-01,14,95,0,5,0,17,1,19,34,36,84,41,6
2019-08-01,4,49,0,4,0,4,0,3,37,22,132,40,7
2019-09-01,15,82,2,5,1,20,1,20,36,35,69,33,15
2019-10-01,9,72,1,3,0,9,0,9,21,17,51,32,5
2019-11-01,6,54,0,3,0,7,1,6,29,20,70,39,6
2019-12-01,14,120,2,7,2,22,1,21,37,45,136,43,8
2020-01-01,17,134,6,7,2,20,1,19,40,42,130,52,15
2020-02-01,13,106,3,6,1,17,0,17,32,29,156,35,11
2020-03-01,9,80,0,4,0,12,1,11,27,21,54,67,12
2020-04-01,12,92,1,5,0,14,1,13,28,25,76,99,24
2020-05-01,13,65,3,7,2,16,1,14,31,26,45,47,9
2020-06-01,3,30,0,3,0,4,2,3,23,17,110,59,14
2020-07-01,2,5,0,2,0,1,0,1,16,9,101,43,9
2020-08-01,1,1,0,1,0,2,0,0,13,4,24,41,16
