dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-02-01,3,70,0,3,0,3,0,3,25,7,88,60,3
2016-03-01,7,62,4,6,3,14,1,9,25,23,114,31,4
2016-04-01,4,31,1,4,0,6,2,4,22,14,116,22,5
2016-05-01,5,56,3,5,2,6,0,5,12,12,96,16,6
2016-06-01,2,72,0,2,0,3,1,3,21,18,154,16,3
2016-07-01,5,67,2,4,0,5,2,5,18,23,188,13,5
2016-08-01,3,81,0,3,0,1,0,1,20,25,230,27,4
2016-09-01,1,157,0,1,0,1,1,0,13,12,83,12,1
2016-10-01,3,145,2,3,1,5,1,5,24,19,141,21,5
2016-11-01,3,118,1,3,1,7,1,3,27,28,171,18,8
2016-12-01,2,4,1,2,1,3,0,2,6,4,37,12,3
2017-01-01,3,93,0,3,0,3,4,2,13,13,72,56,3
2017-02-01,4,118,1,3,0,7,1,7,30,27,276,54,8
2017-03-01,1,93,0,1,0,3,0,2,16,22,192,34,6
2017-04-01,3,43,1,3,1,2,0,3,13,10,114,17,6
2017-05-01,3,86,1,3,0,5,0,4,21,20,191,26,4
2017-06-01,1,59,0,1,0,5,2,3,23,17,255,33,3
2017-07-01,2,19,1,2,1,1,0,1,18,8,122,38,2
2017-08-01,1,25,0,1,0,0,1,0,13,10,71,30,4
2017-09-01,2,33,1,2,0,3,1,2,18,27,163,39,6
2017-10-01,1,11,0,1,0,2,0,1,12,7,82,27,1
2017-11-01,1,5,0,1,0,0,0,0,15,10,67,22,6
2017-12-01,2,32,1,2,1,3,1,1,13,16,79,30,3
2018-01-01,3,48,2,3,1,4,0,3,22,15,67,33,11
2018-02-01,4,78,2,4,1,4,0,7,18,28,236,29,4
2018-03-01,2,40,0,2,0,4,1,2,20,15,106,39,8
2018-04-01,3,44,2,2,0,9,1,6,20,13,109,21,8
2018-05-01,1,112,0,1,0,21,1,23,43,50,294,32,8
2018-06-01,4,20,3,3,0,15,5,7,30,21,249,32,7
2018-07-01,3,72,2,3,2,8,4,5,29,20,164,30,8
2018-08-01,2,48,1,2,1,5,3,4,27,17,103,21,4
2018-09-01,1,42,0,1,0,2,1,1,19,23,280,39,4
2018-10-01,1,48,0,1,0,3,1,2,18,16,132,40,6
2018-11-01,4,41,3,3,0,6,0,5,41,46,389,41,7
2018-12-01,5,51,4,5,3,6,0,5,33,29,458,39,10
2019-01-01,4,36,1,4,0,5,1,2,25,12,379,49,4
2019-02-01,5,37,2,4,0,17,7,8,31,18,734,23,1
2019-03-01,4,42,1,4,0,7,1,6,18,11,286,41,4
2019-04-01,0,0,0,0,0,1,0,0,15,1,61,35,4
2019-05-01,2,12,1,2,0,5,1,6,20,13,142,42,7
2019-06-01,4,28,2,4,1,25,3,20,44,38,318,27,5
2019-07-01,2,8,0,2,0,8,1,8,23,18,169,46,5
2019-08-01,0,0,0,0,0,1,0,0,14,2,30,42,3
2019-09-01,2,6,0,2,0,24,17,6,37,26,164,36,8
2019-10-01,2,4,0,2,0,4,3,4,16,8,91,44,9
2019-11-01,2,24,1,2,0,22,0,20,49,41,343,36,3
2019-12-01,5,24,3,2,0,18,1,20,49,55,389,29,10
2020-01-01,2,8,1,2,1,10,0,6,34,22,225,31,6
2020-02-01,1,16,0,1,0,13,1,13,37,35,294,35,5
2020-03-01,3,9,2,3,0,8,1,7,45,24,353,37,15
2020-04-01,4,27,1,4,1,23,2,21,63,70,481,43,6
2020-05-01,2,21,0,2,0,7,1,4,45,34,264,46,10
2020-06-01,2,102,0,2,0,26,2,23,59,80,381,32,5
2020-07-01,2,27,0,2,0,28,5,24,68,54,306,62,6
2020-08-01,1,21,0,1,0,19,1,15,46,47,215,47,4
