dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-10-01,9,206,9,5,5,18,4,14,312,255,1224,40,5
2015-11-01,16,324,10,5,2,97,11,82,374,271,1580,176,23
2015-12-01,7,76,1,2,0,19,5,16,53,79,406,7,3
2016-01-01,17,265,10,7,4,29,2,29,204,164,1124,48,11
2016-02-01,10,286,4,2,0,24,4,18,177,189,1046,22,8
2016-03-01,8,382,3,3,0,28,7,22,175,241,1207,35,7
2016-04-01,15,633,8,6,3,115,7,104,341,377,2171,35,8
2016-05-01,13,319,7,7,3,53,4,51,185,207,1206,30,12
2016-06-01,9,55,2,4,0,15,3,10,61,37,319,24,6
2016-07-01,7,118,0,5,0,25,2,23,99,90,701,22,2
2016-08-01,8,214,1,5,0,31,1,31,122,146,884,39,4
2016-09-01,11,236,3,5,1,18,2,18,103,108,944,14,5
2016-10-01,7,43,4,3,1,11,3,7,60,53,301,15,2
2016-11-01,5,45,1,3,0,6,0,5,42,35,250,14,2
2016-12-01,5,23,2,3,1,3,1,2,31,19,141,14,6
2017-01-01,4,8,2,2,0,5,0,3,24,5,70,36,5
2017-02-01,4,10,1,3,1,3,0,4,19,14,56,20,5
2017-03-01,3,5,0,1,0,3,0,2,18,22,110,20,9
2017-04-01,5,53,1,2,0,6,0,4,33,32,145,11,3
2017-05-01,2,2,0,1,0,0,1,1,28,9,81,19,1
2017-06-01,3,6,1,1,0,2,0,2,13,3,23,11,2
2017-07-01,3,20,0,1,0,6,0,5,25,10,70,14,2
2017-08-01,3,10,0,1,0,2,0,1,23,6,84,12,3
2017-09-01,6,25,2,3,1,6,2,4,29,53,170,13,2
2017-10-01,6,17,2,3,0,6,1,4,27,19,105,19,8
2017-11-01,5,16,1,3,0,3,0,4,18,9,52,9,1
2017-12-01,1,1,0,1,0,0,0,0,11,3,39,21,5
2018-01-01,4,42,1,2,0,11,1,9,32,31,159,20,9
2018-02-01,2,29,0,1,0,3,0,4,28,26,158,23,5
2018-03-01,4,33,1,2,0,6,1,4,34,20,190,21,4
2018-04-01,7,42,2,5,1,14,2,9,38,22,149,29,2
2018-05-01,7,38,2,4,0,20,4,12,58,26,224,11,5
2018-06-01,4,5,0,3,0,2,0,2,11,6,34,15,2
2018-07-01,2,5,0,1,0,3,0,2,11,3,33,13,0
2018-08-01,3,21,0,2,0,4,0,11,25,25,124,22,3
2018-09-01,0,0,0,0,0,0,0,0,14,2,20,11,1
2018-10-01,5,14,1,3,0,10,0,3,23,5,54,11,4
2018-11-01,6,48,2,3,0,18,2,17,37,38,154,12,3
2018-12-01,5,35,3,4,0,7,1,9,28,31,104,11,3
2019-01-01,3,17,0,3,0,4,2,6,18,67,224,13,0
2019-02-01,3,3,1,3,0,2,0,1,15,5,43,6,1
2019-03-01,4,11,2,3,1,3,0,2,16,7,53,19,8
2019-04-01,3,12,0,3,0,2,1,4,17,11,72,17,2
2019-05-01,2,3,0,2,0,1,0,0,9,3,34,24,5
2019-06-01,1,1,0,1,0,3,1,0,7,1,16,16,5
2019-07-01,3,10,0,3,0,3,0,4,12,9,31,9,4
2019-08-01,2,14,0,2,0,5,1,1,18,15,114,15,6
2019-09-01,2,7,0,2,0,3,0,4,13,6,44,17,7
2019-10-01,0,0,0,0,0,0,0,0,10,0,9,11,5
2019-11-01,3,7,2,2,0,4,0,1,18,1,19,18,5
2019-12-01,1,2,0,1,0,2,0,0,9,2,17,10,5
2020-01-01,0,0,0,0,0,0,0,0,7,1,4,15,3
2020-02-01,4,9,1,3,0,3,1,4,11,10,32,29,6
2020-03-01,1,3,1,1,0,3,0,0,16,2,13,13,8
2020-04-01,2,2,2,2,0,3,3,2,12,7,23,25,2
2020-05-01,2,6,0,2,0,2,1,2,17,9,49,27,6
2020-06-01,6,6,5,4,2,5,0,1,19,3,19,23,11
2020-07-01,8,85,4,5,1,28,1,31,48,51,158,51,5
2020-08-01,3,42,1,1,0,6,0,7,16,9,13,22,2
