dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-11-01,1,47,0,1,0,0,0,0,3,0,33,8,0
2016-12-01,1,39,0,1,0,0,0,0,12,8,89,5,0
2017-01-01,1,25,0,1,0,0,0,0,0,1,5,0,0
2017-02-01,1,27,0,1,0,0,0,0,2,4,30,2,0
2017-03-01,2,56,1,2,1,0,0,0,50,21,500,33,1
2017-04-01,6,95,5,4,3,7,1,6,99,70,1076,211,7
2017-05-01,4,83,2,4,1,11,4,5,111,78,1249,272,20
2017-06-01,9,89,5,7,3,18,4,13,91,81,927,32,3
2017-07-01,7,127,5,6,4,15,5,11,68,77,1063,38,2
2017-08-01,11,123,3,7,1,29,7,21,142,128,1807,26,6
2017-09-01,3,30,0,3,0,4,1,4,40,38,371,25,1
2017-10-01,4,46,1,3,1,10,0,8,51,46,480,22,6
2017-11-01,4,77,1,4,1,5,1,5,44,52,789,31,5
2017-12-01,4,7,0,4,0,4,0,1,29,11,260,30,2
2018-01-01,7,95,1,5,0,24,6,21,76,99,1360,47,3
2018-02-01,10,76,5,6,1,29,3,25,109,100,1430,37,7
2018-03-01,5,34,0,4,0,22,6,12,64,52,844,22,4
2018-04-01,8,49,2,6,1,12,5,10,50,56,988,14,2
2018-05-01,8,49,2,7,2,13,3,11,50,50,830,16,3
2018-06-01,5,61,0,3,0,4,0,4,22,28,481,7,1
2018-07-01,5,33,1,4,0,8,1,5,33,29,391,16,2
2018-08-01,6,95,2,5,1,6,1,7,32,42,557,9,2
2018-09-01,6,80,3,5,1,5,1,5,38,42,685,17,3
2018-10-01,5,53,0,3,0,6,0,6,32,32,397,38,1
2018-11-01,4,35,1,4,1,10,2,7,30,25,296,21,2
2018-12-01,4,31,0,4,0,5,1,3,30,25,330,18,2
2019-01-01,3,54,0,3,0,3,2,4,14,34,335,11,2
2019-02-01,5,81,2,5,1,5,1,3,23,19,248,19,6
2019-03-01,4,18,0,3,0,2,1,2,17,18,331,18,2
2019-04-01,3,21,0,3,0,5,0,4,21,19,203,11,3
2019-05-01,4,32,0,3,0,2,1,2,25,21,247,20,2
2019-06-01,4,64,1,4,0,16,1,11,47,41,488,8,1
2019-07-01,5,91,0,4,0,31,5,23,54,38,446,11,4
2019-08-01,5,80,1,4,0,17,0,19,39,48,506,12,0
2019-09-01,4,59,1,4,0,8,2,8,38,33,468,10,1
2019-10-01,7,49,3,5,1,17,4,12,33,42,382,22,5
2019-11-01,5,98,0,3,0,19,4,15,50,39,386,25,2
2019-12-01,3,88,1,3,0,6,0,8,16,22,161,14,1
2020-01-01,5,81,4,4,1,4,0,3,23,28,424,53,3
2020-02-01,4,48,2,4,2,7,2,3,36,30,488,62,3
2020-03-01,2,92,1,2,1,3,0,6,22,27,416,21,5
2020-04-01,4,156,0,4,0,4,0,3,34,32,481,24,6
2020-05-01,5,156,0,4,0,4,1,4,71,68,918,143,5
2020-06-01,5,111,2,3,0,17,4,8,60,55,751,15,7
2020-07-01,4,55,1,3,1,5,2,6,57,56,665,37,6
2020-08-01,11,69,9,7,4,23,6,16,69,53,695,34,6
