dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-02-01,2,2,2,2,2,2,1,0,2,1,0,0,0
2016-03-01,1,1,0,1,0,0,0,1,0,1,0,0,0
2016-04-01,2,9,2,2,2,0,0,0,2,2,26,4,1
2016-05-01,5,11,3,4,1,4,0,4,9,8,18,2,2
2016-06-01,2,34,1,1,0,1,0,1,4,1,14,5,1
2016-07-01,4,59,2,3,2,9,0,9,19,16,57,8,2
2016-08-01,4,35,2,3,1,8,2,6,13,10,55,9,2
2016-09-01,2,36,0,1,0,9,1,8,20,22,138,27,8
2016-10-01,4,15,2,3,2,4,1,1,14,12,73,8,6
2016-11-01,3,32,0,2,0,1,0,2,5,7,12,7,4
2016-12-01,4,41,2,3,2,12,1,12,18,21,58,9,4
2017-01-01,2,53,0,1,0,16,2,14,23,25,53,8,2
2017-02-01,3,32,0,2,0,8,0,8,15,9,19,8,3
2017-03-01,3,11,1,3,1,4,0,3,7,5,22,12,3
2017-04-01,1,8,0,1,0,1,1,0,11,5,35,8,3
2017-05-01,2,48,0,1,0,5,2,3,10,17,41,8,8
2017-06-01,3,51,0,2,0,3,0,3,13,7,58,12,11
2017-07-01,4,45,2,2,0,10,0,10,28,26,121,7,6
2017-08-01,4,69,2,4,1,8,1,5,28,11,82,9,4
2017-09-01,4,44,1,2,0,11,3,10,19,34,91,11,3
2017-10-01,3,44,0,2,0,6,0,7,17,19,76,10,7
2017-11-01,3,38,0,2,0,6,0,4,16,7,25,11,7
2017-12-01,3,24,0,2,0,4,0,6,12,14,55,5,1
2018-01-01,1,26,0,1,0,9,0,7,32,30,146,6,6
2018-02-01,3,19,1,2,0,13,2,13,39,35,198,16,10
2018-03-01,4,34,0,3,0,9,0,9,40,37,119,20,9
2018-04-01,1,1,0,1,0,0,0,0,20,15,116,29,8
2018-05-01,3,10,1,3,1,8,2,5,22,32,129,19,14
2018-06-01,2,6,1,2,1,7,4,4,34,30,132,12,13
2018-07-01,2,6,0,2,0,6,0,5,16,17,43,22,8
2018-08-01,4,6,1,4,1,3,0,2,17,8,46,22,13
2018-09-01,3,10,1,3,0,4,1,5,20,14,86,24,15
2018-10-01,5,13,2,5,1,7,0,7,33,39,206,19,8
2018-11-01,4,5,2,3,0,5,0,3,22,11,72,24,20
2018-12-01,1,2,0,1,0,4,2,2,18,19,64,16,13
2019-01-01,3,3,1,3,1,1,0,3,11,17,68,27,14
2019-02-01,6,12,2,6,2,8,0,8,31,33,156,14,13
2019-03-01,4,6,2,3,1,4,0,3,23,18,131,29,20
2019-04-01,2,11,0,2,0,8,1,7,28,21,86,21,19
2019-05-01,1,8,0,1,0,5,0,4,18,25,84,26,14
2019-06-01,2,6,1,2,0,3,0,3,16,8,46,26,11
2019-07-01,2,4,1,2,0,4,1,3,23,14,122,31,22
2019-08-01,1,1,1,1,0,2,1,1,12,16,79,18,14
2019-09-01,2,7,0,2,0,8,1,4,27,28,104,25,16
2019-10-01,4,14,2,4,0,10,3,11,23,34,96,22,18
2019-11-01,6,17,2,4,0,17,3,11,22,27,48,22,11
2019-12-01,2,7,0,2,0,5,2,5,16,8,19,20,10
2020-01-01,7,19,5,5,0,9,0,11,19,24,117,18,13
2020-02-01,3,7,1,3,0,6,0,6,10,12,26,21,14
2020-03-01,2,17,0,2,0,16,1,12,28,31,91,29,16
2020-04-01,5,12,2,4,1,10,2,9,26,20,82,34,16
2020-05-01,3,19,0,3,0,19,3,14,36,35,103,23,15
2020-06-01,4,28,0,3,0,23,4,17,40,38,162,23,14
2020-07-01,7,17,3,6,1,15,4,14,33,26,119,25,12
2020-08-01,3,12,0,3,0,9,1,8,28,13,58,19,7
