dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-11-01,5,177,2,4,1,0,0,0,2,1,3,1,0
2015-12-01,4,102,0,3,0,0,0,0,9,8,31,1,0
2016-01-01,5,216,1,3,0,0,0,0,11,7,32,1,0
2016-02-01,4,113,0,3,0,0,0,0,2,2,5,0,0
2016-03-01,4,68,0,2,0,0,0,0,3,6,13,3,1
2016-04-01,7,45,4,5,3,5,0,5,23,18,141,117,16
2016-05-01,4,57,1,3,1,2,0,2,23,18,150,36,12
2016-06-01,4,44,1,2,0,2,0,2,19,16,187,12,3
2016-07-01,5,33,2,3,1,2,0,2,13,6,27,27,3
2016-08-01,4,36,2,3,1,3,2,1,4,7,49,12,7
2016-09-01,2,15,0,2,0,0,0,0,4,1,5,34,3
2016-10-01,4,99,1,2,0,3,0,3,13,10,70,29,7
2016-11-01,3,74,0,2,0,1,1,0,18,16,133,12,9
2016-12-01,4,44,2,2,0,7,1,6,20,24,105,18,5
2017-01-01,3,18,0,2,0,0,0,0,7,7,77,9,6
2017-02-01,3,15,0,2,0,1,0,1,3,2,7,21,3
2017-03-01,2,23,0,2,0,1,0,1,9,3,75,17,8
2017-04-01,3,8,2,2,1,2,0,2,12,12,124,19,8
2017-05-01,2,4,1,2,0,1,0,1,8,6,34,13,7
2017-06-01,3,25,1,2,0,1,0,1,9,7,63,26,8
2017-07-01,3,9,1,2,0,2,0,2,18,12,117,16,5
2017-08-01,2,7,0,2,0,1,0,1,13,10,92,17,2
2017-09-01,2,15,0,2,0,1,0,1,13,12,79,26,5
2017-10-01,3,8,1,3,1,1,0,1,7,6,44,23,8
2017-11-01,0,0,0,0,0,0,0,0,3,1,14,13,6
2017-12-01,2,8,1,2,1,1,0,1,6,4,34,21,4
2018-01-01,2,18,0,2,0,0,0,0,3,3,16,14,1
2018-02-01,2,9,1,2,0,1,0,1,12,13,81,18,5
2018-03-01,0,0,0,0,0,0,0,0,8,2,44,24,3
2018-04-01,2,14,0,2,0,0,0,0,16,10,84,27,1
2018-05-01,3,7,1,2,0,1,0,0,12,13,82,27,7
2018-06-01,3,5,2,3,1,1,0,2,6,3,9,15,6
2018-07-01,3,15,1,2,0,1,0,1,9,3,51,16,6
2018-08-01,0,0,0,0,0,0,0,0,3,1,5,17,7
2018-09-01,0,0,0,0,0,0,0,0,5,2,20,20,4
2018-10-01,0,0,0,0,0,0,0,0,3,1,10,20,3
2018-11-01,2,7,0,2,0,1,0,0,9,5,50,25,2
2018-12-01,1,3,0,1,0,0,0,0,2,3,18,20,4
2019-01-01,1,8,0,1,0,0,0,0,9,5,63,25,4
2019-02-01,2,2,0,1,0,0,0,0,1,1,4,17,4
2019-03-01,2,9,1,2,1,1,0,1,4,2,23,20,4
2019-04-01,1,1,0,1,0,0,0,0,8,1,20,23,7
2019-05-01,0,0,0,0,0,0,0,0,7,4,30,15,1
2019-06-01,1,1,1,1,0,2,1,0,6,2,37,13,7
2019-07-01,1,2,1,1,1,1,0,0,8,1,18,14,4
2019-08-01,2,8,0,2,0,2,0,4,5,6,25,16,3
2019-09-01,1,3,0,1,0,0,0,0,0,33,97,11,8
2019-10-01,2,4,1,2,1,1,0,0,7,0,26,18,5
2019-11-01,3,5,1,3,0,1,0,2,5,4,32,12,3
2019-12-01,1,1,1,1,0,1,0,0,4,1,7,15,9
2020-01-01,0,0,0,0,0,0,0,0,4,3,17,11,1
2020-02-01,2,3,0,2,0,0,0,0,5,3,22,10,2
2020-03-01,1,1,1,1,0,1,0,1,2,2,16,12,3
2020-04-01,2,27,1,2,0,2,0,3,11,10,96,21,3
2020-05-01,3,6,2,3,1,3,1,2,8,7,76,20,6
2020-06-01,3,10,2,2,0,6,0,6,9,8,31,12,8
2020-07-01,0,0,0,0,0,0,0,0,2,0,8,21,6
2020-08-01,1,2,0,1,0,0,0,0,0,1,2,7,0
