dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-01-01,1,11,0,1,0,0,0,0,2,2,12,33,2
2016-02-01,5,46,4,4,3,15,4,3,50,24,216,637,69
2016-03-01,8,176,7,5,3,25,7,11,64,48,277,163,28
2016-04-01,5,51,4,5,3,8,1,4,26,15,154,103,24
2016-05-01,5,115,3,5,2,10,1,7,29,24,145,95,10
2016-06-01,2,99,1,2,1,4,1,0,21,14,116,95,17
2016-07-01,2,68,1,2,0,2,2,2,23,30,216,96,19
2016-08-01,4,79,3,4,2,4,1,4,11,16,94,68,16
2016-09-01,3,37,2,3,1,5,1,3,12,12,74,71,12
2016-10-01,1,23,0,1,0,2,0,0,4,3,13,78,12
2016-11-01,5,32,3,5,2,6,2,4,11,12,68,71,14
2016-12-01,2,43,0,2,0,0,0,0,8,10,30,59,11
2017-01-01,3,64,1,3,1,2,0,1,14,10,82,46,9
2017-02-01,5,78,3,5,3,7,6,6,18,22,186,58,11
2017-03-01,2,100,1,2,0,3,1,2,17,16,164,59,18
2017-04-01,4,41,2,4,2,9,19,2,15,33,142,65,11
2017-05-01,5,17,4,3,0,4,0,4,13,13,49,62,18
2017-06-01,5,42,2,4,0,7,1,5,10,12,50,76,12
2017-07-01,5,22,3,4,0,4,1,2,15,12,42,72,15
2017-08-01,5,34,2,5,2,7,1,3,10,6,22,61,12
2017-09-01,4,21,2,4,0,4,3,4,7,11,73,62,8
2017-10-01,3,20,2,2,0,6,1,2,12,7,27,53,8
2017-11-01,2,40,1,2,0,3,1,2,8,10,50,58,17
2017-12-01,2,20,1,2,0,2,1,1,8,5,24,57,11
2018-01-01,3,22,2,3,0,2,0,1,9,4,47,65,12
2018-02-01,3,10,1,3,0,1,0,1,9,6,49,88,8
2018-03-01,2,21,1,2,1,4,1,4,21,21,107,106,16
2018-04-01,7,34,4,6,1,11,6,6,24,21,40,84,14
2018-05-01,7,37,4,4,0,9,2,4,18,11,72,66,20
2018-06-01,3,23,0,3,0,2,0,2,7,4,33,75,15
2018-07-01,6,19,3,5,1,4,0,3,6,7,25,65,19
2018-08-01,1,14,0,1,0,0,5,4,1,9,12,77,13
2018-09-01,1,25,0,1,0,0,0,0,5,2,9,71,13
2018-10-01,2,13,0,2,0,1,0,1,4,7,34,61,11
2018-11-01,2,9,0,2,0,3,2,1,11,10,60,80,23
2018-12-01,2,5,1,2,0,3,1,0,9,4,39,98,23
2019-01-01,4,8,3,3,0,3,1,3,7,16,93,104,23
2019-02-01,3,14,1,3,0,3,1,4,12,14,54,93,20
2019-03-01,3,20,2,3,1,3,1,2,13,10,68,114,31
2019-04-01,2,31,1,2,0,1,0,1,9,6,53,117,22
2019-05-01,2,6,1,2,1,1,0,0,7,4,25,92,18
2019-06-01,2,4,1,2,0,2,1,1,7,6,19,90,15
2019-07-01,2,2,1,2,0,1,0,1,9,5,28,114,17
2019-08-01,1,18,0,1,0,2,0,0,5,1,7,89,15
2019-09-01,2,12,1,2,1,4,1,2,18,13,56,74,21
2019-10-01,1,11,0,1,0,0,1,1,5,6,20,86,17
2019-11-01,6,12,4,4,1,5,0,0,11,4,41,100,25
2019-12-01,2,9,0,2,0,2,0,5,7,11,24,105,29
2020-01-01,9,27,4,6,0,9,0,6,17,31,87,84,20
2020-02-01,4,23,2,4,1,7,0,9,16,23,113,96,20
2020-03-01,3,5,1,3,1,4,0,1,10,4,25,105,18
2020-04-01,4,46,1,4,1,5,2,5,18,14,53,160,21
2020-05-01,3,31,2,3,1,4,0,1,22,8,99,134,38
2020-06-01,6,36,5,4,1,11,1,6,15,14,48,123,31
2020-07-01,1,20,0,1,0,2,3,8,7,33,117,88,31
2020-08-01,7,49,5,4,1,5,2,7,9,25,71,107,41
