dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-06-01,14,119,12,10,6,5,0,5,29,13,86,4,0
2016-07-01,20,186,10,13,5,25,1,24,52,54,242,3,0
2016-08-01,40,402,30,22,12,32,2,30,193,135,1625,437,63
2016-09-01,34,369,14,16,5,1,0,1,155,177,2129,167,40
2016-10-01,32,319,11,19,6,5,0,5,127,114,1439,114,31
2016-11-01,26,268,5,17,3,1,0,1,114,109,1511,97,30
2016-12-01,25,148,8,14,3,0,0,0,82,71,1138,69,28
2017-01-01,27,316,6,18,4,0,0,0,111,133,1601,58,25
2017-02-01,32,179,14,17,5,3,0,3,123,100,1332,99,28
2017-03-01,26,174,8,13,3,2,1,1,70,86,1050,64,27
2017-04-01,21,129,7,13,1,1,0,1,72,43,695,82,23
2017-05-01,26,103,2,14,0,0,0,0,63,30,528,46,17
2017-06-01,28,265,10,12,1,0,0,0,83,89,856,60,20
2017-07-01,16,148,5,10,2,2,0,2,84,49,781,62,21
2017-08-01,23,440,5,9,0,9,0,1,100,112,1017,80,18
2017-09-01,18,92,4,13,1,18,4,10,60,40,651,50,19
2017-10-01,23,209,6,11,1,28,1,22,58,90,725,51,16
2017-11-01,28,272,9,15,5,35,4,36,91,105,1023,37,16
2017-12-01,18,100,6,10,2,23,1,10,55,36,448,27,18
2018-01-01,20,177,3,10,2,18,1,16,51,40,584,32,12
2018-02-01,23,317,5,13,2,29,3,40,75,110,932,42,10
2018-03-01,23,122,7,13,2,28,2,18,78,46,514,46,18
2018-04-01,43,661,22,16,4,31,8,19,104,94,712,40,21
2018-05-01,52,886,19,17,4,48,7,56,147,162,1175,135,33
2018-06-01,30,259,8,13,0,24,0,13,85,50,543,69,20
2018-07-01,26,249,2,12,0,23,1,30,58,72,519,188,23
2018-08-01,30,308,9,13,2,46,9,26,107,77,707,325,35
2018-09-01,40,290,8,11,0,23,2,19,64,42,448,44,18
2018-10-01,46,701,11,14,4,60,5,59,107,130,1105,64,29
2018-11-01,22,128,3,12,2,18,5,14,54,44,360,81,21
2018-12-01,18,86,6,9,0,6,3,5,23,15,217,44,17
2019-01-01,28,124,3,12,0,27,4,10,52,22,341,58,22
2019-02-01,31,161,5,10,0,23,11,22,53,92,818,54,12
2019-03-01,31,176,6,10,0,21,2,19,43,45,260,83,26
2019-04-01,13,51,3,6,0,9,2,6,28,23,138,57,15
2019-05-01,10,22,2,6,0,6,0,3,30,7,65,54,11
2019-06-01,1,1,0,1,0,0,0,0,15,2,61,52,16
2019-07-01,4,10,3,3,1,3,0,1,12,4,47,37,12
2019-08-01,7,36,1,5,0,3,0,8,18,11,94,41,11
2019-09-01,9,93,1,4,0,10,1,17,20,23,179,40,10
2019-10-01,13,95,3,5,0,20,2,15,35,49,350,54,19
2019-11-01,3,30,0,3,0,4,0,5,16,20,127,50,15
2019-12-01,3,4,0,3,0,2,1,2,15,10,149,38,8
2020-01-01,5,6,0,5,0,8,1,2,26,11,174,35,11
2020-02-01,4,13,2,4,0,8,0,0,42,20,306,25,15
2020-03-01,14,85,7,7,1,20,5,14,46,34,418,39,22
2020-04-01,12,252,2,8,0,27,6,14,53,42,515,55,17
2020-05-01,18,155,7,9,1,25,5,36,53,71,810,45,18
2020-06-01,10,161,2,4,0,33,1,22,54,62,623,55,27
2020-07-01,9,120,2,4,0,14,5,10,33,22,321,43,16
2020-08-01,9,67,2,5,1,23,5,13,52,31,451,50,18
