dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-01-01,2,97,1,2,1,2,1,0,7,6,9,9,8
2015-02-01,2,48,0,2,0,0,1,0,4,5,9,4,4
2015-03-01,1,7,0,1,0,1,0,0,1,0,3,4,7
2015-04-01,2,10,0,2,0,1,0,0,7,3,5,3,13
2015-05-01,3,8,1,3,1,0,1,0,6,8,6,4,10
2015-06-01,1,6,0,1,0,0,0,0,7,3,3,4,7
2015-07-01,3,21,1,3,1,0,0,0,7,9,12,1,11
2015-08-01,7,78,3,6,1,4,3,1,7,5,14,4,6
2015-09-01,5,203,0,4,0,0,0,0,2,1,0,7,10
2015-10-01,5,240,1,5,1,3,2,0,8,4,15,3,10
2015-11-01,6,115,1,6,1,2,1,0,82,48,96,5,12
2015-12-01,4,138,0,4,0,0,0,0,39,21,64,7,6
2016-01-01,5,250,1,4,0,0,0,0,17,6,26,6,10
2016-02-01,4,250,0,4,0,0,0,0,34,22,34,4,11
2016-03-01,5,110,0,5,0,1,0,0,44,14,47,4,11
2016-04-01,7,150,2,7,1,0,1,0,87,66,161,3,13
2016-05-01,6,163,2,5,1,2,1,0,55,53,181,2,5
2016-06-01,4,50,1,4,1,0,0,0,32,14,54,4,8
2016-07-01,3,60,0,2,0,0,0,0,21,38,158,3,4
2016-08-01,6,173,0,5,0,0,0,0,104,48,238,3,6
2016-09-01,5,94,0,4,0,0,0,0,16,8,31,5,7
2016-10-01,7,236,4,6,2,0,0,0,65,73,145,3,6
2016-11-01,7,153,1,6,1,0,0,0,38,32,44,4,6
2016-12-01,3,75,0,2,0,0,0,0,25,29,47,2,9
2017-01-01,2,26,0,2,0,0,0,0,26,16,35,6,26
2017-02-01,8,90,3,4,0,0,0,0,44,37,97,5,19
2017-03-01,8,293,2,6,1,0,0,0,135,76,345,4,9
2017-04-01,8,350,0,5,0,0,0,0,92,64,209,6,5
2017-05-01,7,110,1,4,1,0,4,0,53,118,323,7,6
2017-06-01,6,164,0,5,0,0,0,0,126,125,690,7,6
2017-07-01,6,161,0,4,0,0,0,0,92,128,420,2,4
2017-08-01,6,92,1,4,0,0,0,0,39,24,121,5,5
2017-09-01,4,44,1,4,1,0,0,0,26,29,114,14,10
2017-10-01,8,193,3,6,0,0,0,0,91,40,189,13,14
2017-11-01,7,167,1,7,0,0,0,0,68,44,179,11,13
2017-12-01,3,68,0,3,0,0,0,0,28,20,44,2,8
2018-01-01,5,57,0,4,0,0,0,0,24,11,89,7,11
2018-02-01,6,58,1,5,1,0,0,0,24,15,91,10,11
2018-03-01,6,119,0,5,0,0,0,0,50,12,137,9,10
2018-04-01,6,65,0,5,0,0,0,0,41,7,152,7,9
2018-05-01,2,38,0,2,0,0,0,0,34,21,72,10,8
2018-06-01,10,130,2,7,2,0,0,0,83,26,228,10,7
2018-07-01,11,231,1,8,1,0,0,0,61,81,274,8,4
2018-08-01,11,338,0,8,0,0,0,0,111,71,485,11,11
2018-09-01,6,95,0,5,0,0,0,0,76,25,202,10,8
2018-10-01,6,173,0,6,0,0,0,0,76,137,400,13,8
2018-11-01,4,71,0,4,0,0,0,0,46,29,76,12,9
2018-12-01,7,107,0,6,0,0,0,0,77,64,131,19,9
2019-01-01,5,28,1,5,1,0,0,0,60,110,301,11,11
2019-02-01,7,74,0,6,0,0,0,0,107,50,234,15,10
2019-03-01,6,53,1,6,1,0,0,0,49,30,120,12,7
2019-04-01,9,69,0,7,0,0,0,0,59,65,130,10,6
2019-05-01,6,143,1,5,0,0,0,0,90,242,401,11,9
2019-06-01,5,52,0,4,0,2,2,0,56,56,86,10,6
2019-07-01,5,32,0,5,0,0,0,0,37,15,52,16,15
2019-08-01,7,75,0,6,0,0,0,0,52,63,87,8,15
2019-09-01,6,118,0,5,0,0,0,0,87,92,189,14,9
2019-10-01,5,53,0,4,0,0,0,0,50,58,98,9,7
2019-11-01,3,33,0,3,0,0,0,0,16,14,20,7,10
2019-12-01,4,19,0,4,0,0,0,0,23,8,27,15,10
2020-01-01,7,33,0,5,0,0,0,0,44,26,55,7,12
2020-02-01,8,72,0,6,0,0,0,0,72,50,184,7,5
2020-03-01,5,52,0,4,0,0,0,0,53,42,120,7,12
2020-04-01,3,26,0,3,0,0,0,0,26,10,37,10,9
2020-05-01,4,21,0,4,0,0,0,0,8,16,18,9,10
2020-06-01,4,35,0,4,0,0,0,0,24,15,21,8,8
2020-07-01,7,82,0,6,0,0,0,0,34,36,54,12,3
2020-08-01,5,46,1,5,0,0,0,0,27,33,28,6,6
