dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-09-01,7,57,7,5,5,8,1,7,16,10,57,23,4
2016-10-01,22,268,19,10,8,75,17,55,143,124,1516,139,17
2016-11-01,11,24,8,6,4,12,0,12,32,22,199,100,7
2016-12-01,19,41,16,10,8,21,0,18,47,34,263,108,17
2017-01-01,16,40,12,9,6,18,3,19,44,46,388,132,12
2017-02-01,30,132,25,14,10,38,5,27,87,79,1087,510,31
2017-03-01,23,100,19,13,9,26,7,26,71,67,620,223,22
2017-04-01,29,117,23,14,9,43,4,34,83,75,557,242,27
2017-05-01,24,162,18,11,6,27,4,25,83,83,841,239,17
2017-06-01,30,123,22,15,9,38,10,29,107,101,789,229,25
2017-07-01,27,147,20,11,6,44,9,32,101,112,970,229,24
2017-08-01,26,146,19,11,6,28,4,24,83,70,668,231,22
2017-09-01,16,87,10,9,6,17,3,14,72,52,651,217,9
2017-10-01,32,125,25,22,16,43,10,33,100,92,898,346,42
2017-11-01,27,205,21,14,9,44,5,34,114,105,860,360,26
2017-12-01,22,100,15,10,5,27,1,23,71,60,456,222,21
2018-01-01,19,57,14,7,2,30,7,22,75,58,376,227,24
2018-02-01,13,34,7,7,2,18,4,12,58,40,322,182,20
2018-03-01,23,72,18,13,8,26,12,22,78,77,611,254,21
2018-04-01,17,61,10,10,4,20,7,15,82,79,621,283,16
2018-05-01,16,71,10,10,4,24,6,13,72,49,365,273,21
2018-06-01,19,79,12,8,5,22,2,21,67,57,463,216,19
2018-07-01,21,151,16,7,3,29,10,20,81,78,748,266,19
2018-08-01,31,110,24,16,9,40,4,32,103,87,573,242,31
2018-09-01,31,101,15,15,3,37,3,34,87,76,610,213,25
2018-10-01,28,77,16,13,7,40,9,29,83,68,661,210,35
2018-11-01,19,63,8,7,1,32,9,25,69,55,395,237,28
2018-12-01,17,42,11,9,6,23,5,11,60,51,546,197,23
2019-01-01,31,86,22,13,10,40,5,36,90,67,633,228,33
2019-02-01,13,68,7,6,3,23,4,18,60,50,353,213,24
2019-03-01,21,42,15,11,5,30,4,14,86,49,408,242,36
2019-04-01,21,56,17,10,6,24,1,22,61,70,530,250,28
2019-05-01,20,86,12,8,3,30,6,23,80,108,774,200,17
2019-06-01,28,67,20,14,10,34,5,24,78,75,496,178,29
2019-07-01,17,27,11,9,3,18,0,12,42,28,195,186,21
2019-08-01,13,27,9,6,2,38,4,9,73,35,228,191,31
2019-09-01,13,38,7,7,2,24,9,23,56,75,418,140,26
2019-10-01,21,71,13,13,9,30,4,24,72,55,349,165,23
2019-11-01,9,19,3,5,1,21,2,8,47,16,159,166,22
2019-12-01,8,8,3,3,0,15,1,0,33,4,100,139,21
2020-01-01,6,13,2,4,1,7,5,6,38,26,180,140,13
2020-02-01,5,6,1,4,1,11,1,1,34,26,125,154,19
2020-03-01,8,12,5,3,0,25,2,1,63,16,130,126,27
2020-04-01,14,29,9,10,5,26,23,9,61,46,324,195,28
2020-05-01,11,19,7,4,0,21,1,5,47,12,153,164,41
2020-06-01,2,3,0,1,0,5,3,2,25,11,67,152,16
2020-07-01,11,59,6,7,3,19,2,14,38,30,172,131,20
2020-08-01,14,115,8,4,1,15,67,36,70,198,783,141,17
