dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-09-01,8,158,8,3,3,51,0,50,62,51,103,61,7
2015-10-01,3,63,2,3,2,13,0,14,20,17,113,20,4
2015-11-01,0,0,0,0,0,1,0,0,2,0,11,5,0
2015-12-01,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-01,0,0,0,0,0,0,0,0,0,0,0,2,1
2016-02-01,0,0,0,0,0,0,0,0,2,0,3,2,0
2016-03-01,0,0,0,0,0,0,0,0,0,0,0,5,0
2016-04-01,0,0,0,0,0,0,0,0,0,0,0,7,0
2016-05-01,3,145,1,2,1,13,3,8,32,37,322,7,0
2016-06-01,2,98,0,1,0,12,0,13,18,24,158,16,0
2016-07-01,11,83,9,7,6,18,4,13,32,32,220,430,22
2016-08-01,4,11,1,2,0,3,0,4,18,10,178,124,5
2016-09-01,3,129,1,1,0,17,1,13,30,18,184,95,5
2016-10-01,6,59,3,4,2,14,3,13,35,23,261,126,7
2016-11-01,2,23,1,2,1,6,3,4,23,31,235,58,9
2016-12-01,0,0,0,0,0,0,0,0,14,5,136,49,3
2017-01-01,0,0,0,0,0,0,0,0,4,0,47,55,6
2017-02-01,1,5,0,1,0,2,0,2,13,11,108,38,3
2017-03-01,2,4,1,2,1,2,0,1,9,4,62,52,4
2017-04-01,2,10,0,2,0,4,0,3,10,19,140,73,5
2017-05-01,2,2,2,2,2,2,0,1,15,5,72,64,7
2017-06-01,3,20,2,2,1,4,0,3,8,6,48,52,8
2017-07-01,4,18,0,2,0,2,1,4,15,16,143,74,6
2017-08-01,2,41,0,2,0,5,0,3,16,9,135,51,2
2017-09-01,1,2,0,1,0,2,0,0,14,11,84,46,2
2017-10-01,5,75,3,2,0,20,2,21,37,36,237,52,7
2017-11-01,1,1,0,1,0,0,0,1,7,3,53,24,2
2017-12-01,0,0,0,0,0,0,0,0,0,0,0,36,1
2018-01-01,0,0,0,0,0,0,0,0,4,0,6,37,4
2018-02-01,7,243,5,2,1,77,6,66,94,80,598,65,10
2018-03-01,14,348,9,5,2,88,6,83,156,169,1324,123,10
2018-04-01,8,197,4,4,3,62,10,56,108,105,778,121,15
2018-05-01,14,121,8,6,2,42,2,38,114,103,965,347,21
2018-06-01,7,46,2,3,0,16,2,15,75,56,483,114,13
2018-07-01,6,54,2,3,1,18,1,15,74,54,617,91,10
2018-08-01,9,102,4,3,1,30,2,27,63,51,436,133,16
2018-09-01,5,13,3,2,1,6,0,4,25,16,194,52,5
2018-10-01,7,49,3,4,1,17,3,13,35,25,158,77,10
2018-11-01,8,98,4,4,2,37,2,36,57,55,292,95,16
2018-12-01,6,46,1,3,0,19,1,18,38,34,201,74,8
2019-01-01,6,26,2,4,2,11,1,8,37,29,280,202,14
2019-02-01,7,37,3,4,0,12,0,13,36,26,203,120,6
2019-03-01,12,81,6,7,3,29,1,28,60,49,285,150,23
2019-04-01,4,72,2,3,0,28,1,25,51,40,192,163,17
2019-05-01,7,73,3,3,0,29,1,27,81,143,806,188,17
2019-06-01,5,47,2,3,1,12,0,13,41,32,241,73,5
2019-07-01,2,42,1,2,1,16,1,13,48,37,291,77,1
2019-08-01,5,33,1,4,1,10,3,8,49,28,272,95,13
2019-09-01,7,25,4,3,1,10,1,9,31,25,191,79,8
2019-10-01,7,26,4,5,1,12,2,10,50,31,216,82,12
2019-11-01,3,50,2,3,1,16,3,15,59,101,591,118,15
2019-12-01,6,95,2,4,2,38,1,39,69,80,357,212,14
2020-01-01,7,25,5,5,3,11,1,10,49,48,298,208,28
2020-02-01,2,46,0,2,0,21,1,18,57,65,316,124,12
2020-03-01,2,35,1,2,1,14,3,15,56,48,263,119,10
2020-04-01,5,35,3,3,0,16,0,16,70,54,371,122,8
2020-05-01,3,6,2,3,1,6,0,3,57,33,244,110,14
2020-06-01,3,4,1,2,0,3,0,2,42,27,177,452,18
2020-07-01,2,3,1,2,0,6,0,1,48,19,179,209,19
