dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-01-01,2,153,0,2,0,30,0,25,47,30,213,9,1
2016-02-01,3,122,1,3,1,36,0,40,56,57,241,11,0
2016-03-01,3,23,1,2,0,11,3,7,36,27,408,48,3
2016-04-01,2,12,1,2,1,5,1,4,23,23,140,19,1
2016-05-01,3,10,1,2,1,2,0,1,15,12,62,12,1
2016-06-01,0,0,0,0,0,1,0,0,17,13,81,14,1
2016-07-01,1,23,0,1,0,4,0,5,24,17,95,23,3
2016-08-01,0,0,0,0,0,0,0,0,7,5,27,14,3
2016-09-01,1,1,1,1,0,1,0,1,7,7,57,13,1
2016-10-01,0,0,0,0,0,0,0,0,14,8,55,12,1
2016-11-01,2,37,0,2,0,7,0,7,51,55,165,19,0
2016-12-01,0,0,0,0,0,0,1,0,3,4,20,18,1
2017-01-01,0,0,0,0,0,0,0,0,6,6,18,11,0
2017-02-01,1,8,0,1,0,1,0,1,4,1,7,14,1
2017-03-01,0,0,0,0,0,0,0,0,1,1,2,7,0
2017-04-01,0,0,0,0,0,0,0,0,4,2,16,28,2
2017-05-01,2,41,1,2,1,5,0,5,14,13,41,25,5
2017-06-01,1,31,0,1,0,4,0,3,9,8,31,21,4
2017-07-01,0,0,0,0,0,0,1,0,2,4,32,11,2
2017-08-01,0,0,0,0,0,0,0,0,2,2,26,14,1
2017-09-01,1,2,0,1,0,2,0,0,5,0,7,10,1
2017-10-01,0,0,0,0,0,1,1,0,6,1,7,11,3
2017-11-01,0,0,0,0,0,0,0,0,1,0,1,4,0
2017-12-01,0,0,0,0,0,0,0,0,6,1,4,10,1
2018-01-01,1,1,1,1,0,2,1,0,8,2,10,14,3
2018-02-01,1,2,0,1,0,1,0,0,4,0,27,10,2
2018-03-01,0,0,0,0,0,0,0,0,11,2,18,13,2
2018-04-01,4,13,2,4,2,3,0,5,11,26,67,3,2
2018-05-01,2,11,0,2,0,0,0,2,4,6,27,16,0
2018-06-01,3,21,1,3,0,0,0,0,4,3,22,18,0
2018-07-01,4,16,1,3,0,2,0,2,15,16,115,24,7
2018-08-01,2,10,0,2,0,2,1,1,29,21,103,37,2
2018-09-01,3,3,1,3,0,1,0,1,7,5,25,17,2
2018-10-01,1,2,0,1,0,0,0,0,6,3,27,13,5
2018-11-01,1,1,0,1,0,0,0,0,7,2,48,11,4
2018-12-01,0,0,0,0,0,0,0,0,1,1,2,17,2
2019-01-01,0,0,0,0,0,0,0,0,3,0,3,12,3
2019-02-01,1,3,0,1,0,0,0,0,4,5,12,16,3
2019-03-01,1,14,0,1,0,0,0,0,5,6,24,24,2
2019-04-01,1,1,0,1,0,1,1,0,3,4,7,17,1
2019-05-01,1,9,0,1,0,0,0,0,14,12,51,48,8
2019-06-01,3,12,1,3,0,2,0,1,7,8,47,37,4
2019-07-01,1,4,0,1,0,0,1,0,16,12,57,41,4
2019-08-01,0,0,0,0,0,1,1,0,10,2,40,42,5
2019-09-01,1,1,0,1,0,0,0,0,9,1,24,39,4
2019-10-01,4,13,3,3,2,9,0,3,26,21,76,17,2
2019-11-01,1,1,0,1,0,0,1,1,4,5,24,17,1
2019-12-01,3,5,1,2,1,2,0,2,50,40,153,28,4
2020-01-01,3,7,0,2,0,5,3,2,59,66,215,25,6
2020-02-01,2,19,0,2,0,5,1,2,24,25,96,46,4
2020-03-01,4,25,1,3,0,5,2,3,23,21,121,64,3
2020-04-01,4,40,0,4,0,6,0,5,21,20,79,61,6
2020-05-01,2,24,0,2,0,7,5,3,18,17,89,50,7
2020-06-01,1,15,0,1,0,2,0,2,29,25,110,69,7
2020-07-01,2,20,0,2,0,5,0,1,40,23,138,56,8
2020-08-01,4,43,1,4,1,9,4,5,57,65,163,40,7
