dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-07-01,3,64,1,3,1,3,1,2,36,29,92,9,2
2016-08-01,2,66,0,2,0,2,1,1,21,23,29,5,1
2016-09-01,3,69,1,3,1,1,0,1,7,7,81,25,10
2016-10-01,1,58,0,1,0,0,0,0,19,17,183,23,9
2016-11-01,1,22,0,1,0,0,0,0,12,14,43,18,8
2016-12-01,2,67,0,2,0,3,0,2,22,23,215,16,4
2017-01-01,2,62,0,2,0,1,1,1,19,22,68,45,9
2017-02-01,3,38,1,3,1,2,1,1,15,13,100,33,8
2017-03-01,4,84,2,3,1,4,0,4,20,23,161,41,8
2017-04-01,2,74,0,2,0,0,0,0,26,25,210,45,8
2017-05-01,3,52,1,3,1,1,0,1,27,25,156,40,9
2017-06-01,3,72,1,2,0,8,6,2,40,41,257,49,17
2017-07-01,2,63,0,2,0,2,1,1,34,34,263,42,17
2017-08-01,2,30,0,2,0,1,1,0,22,24,222,45,11
2017-09-01,2,13,0,2,0,0,0,0,22,22,68,56,12
2017-10-01,2,24,0,2,0,1,0,0,30,21,99,47,13
2017-11-01,2,38,0,2,0,1,0,2,31,34,96,59,17
2017-12-01,2,34,0,2,0,1,0,0,20,19,76,49,16
2018-01-01,2,51,0,2,0,0,0,1,25,30,164,83,21
2018-02-01,1,14,0,1,0,1,0,0,20,19,64,66,18
2018-03-01,3,8,1,2,0,2,0,2,20,18,98,59,19
2018-04-01,2,5,1,2,0,1,0,1,32,21,98,51,20
2018-05-01,4,46,2,3,1,4,1,2,53,57,192,42,23
2018-06-01,2,85,1,2,1,1,1,0,47,42,156,58,19
2018-07-01,3,27,1,3,0,4,3,1,48,41,163,63,14
2018-08-01,1,24,0,1,0,0,0,0,25,23,89,44,20
2018-09-01,2,25,0,2,0,1,2,1,65,81,324,66,20
2018-10-01,3,28,2,3,1,1,0,1,32,36,158,50,10
2018-11-01,2,8,0,2,0,1,0,0,37,28,114,55,15
2018-12-01,1,9,0,1,0,0,0,0,12,7,39,40,14
2019-01-01,2,3,0,2,0,0,0,0,29,15,129,39,23
2019-02-01,4,27,2,3,1,1,1,0,38,43,143,45,12
2019-03-01,3,79,1,3,1,1,1,1,30,46,218,44,17
2019-04-01,2,32,0,2,0,1,1,0,26,28,159,42,21
2019-05-01,2,12,0,2,0,1,0,0,34,26,154,47,17
2019-06-01,3,29,2,3,0,1,0,2,25,32,187,36,9
2019-07-01,3,13,1,3,0,1,0,1,31,28,135,52,10
2019-08-01,2,30,1,2,1,2,1,0,28,27,181,47,14
2019-09-01,2,12,1,2,0,1,0,1,21,22,111,26,10
2019-10-01,3,18,1,3,0,2,0,2,17,14,76,27,10
2019-11-01,3,28,1,3,0,1,0,1,26,36,191,34,15
2019-12-01,1,1,0,1,0,0,0,0,6,6,12,25,11
2020-01-01,0,0,0,0,0,1,0,0,21,14,69,38,9
2020-02-01,1,3,0,1,0,0,1,0,14,13,73,29,13
2020-03-01,2,31,0,2,0,2,3,0,18,21,91,38,15
2020-04-01,2,47,0,2,0,1,1,0,43,39,160,35,15
2020-05-01,1,27,0,1,0,1,0,0,20,26,118,38,14
2020-06-01,1,1,0,1,0,0,0,0,22,10,77,29,11
2020-07-01,1,2,0,1,0,0,0,0,17,14,54,33,14
2020-08-01,1,2,0,1,0,0,0,0,19,13,40,25,10
