dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-02-01,11,33,11,5,5,15,2,10,33,15,165,103,19
2016-03-01,20,133,14,7,3,73,26,37,115,88,533,73,27
2016-04-01,22,110,11,8,5,83,52,30,148,104,577,43,13
2016-05-01,23,100,10,8,3,103,65,30,246,147,1261,55,14
2016-06-01,25,126,5,6,2,130,93,33,273,204,1965,62,18
2016-07-01,23,92,5,7,3,102,75,29,165,166,1301,95,12
2016-08-01,21,123,6,6,0,99,76,24,194,178,1498,67,7
2016-09-01,21,94,2,6,1,107,78,28,180,151,1080,77,11
2016-10-01,18,56,2,4,0,57,42,20,104,100,699,92,11
2016-11-01,18,62,2,5,1,66,44,19,112,89,611,60,13
2016-12-01,19,72,2,5,0,72,60,16,109,115,791,117,21
2017-01-01,20,48,3,7,1,56,29,21,107,122,818,113,8
2017-02-01,24,73,5,6,1,90,49,36,137,129,1122,107,20
2017-03-01,25,78,8,9,2,109,46,51,171,185,1510,126,28
2017-04-01,20,45,7,9,2,62,26,40,110,95,967,109,22
2017-05-01,19,47,5,7,0,53,5,45,112,85,749,121,23
2017-06-01,24,70,4,9,2,90,16,69,130,135,1079,107,38
2017-07-01,19,52,7,10,3,68,12,51,98,79,794,127,31
2017-08-01,19,67,5,8,0,85,14,66,133,105,801,136,18
2017-09-01,23,72,5,10,2,91,20,72,143,127,820,79,21
2017-10-01,15,46,4,9,3,51,13,46,90,83,693,95,9
2017-11-01,23,53,6,9,1,76,14,52,119,191,1199,91,21
2017-12-01,19,50,3,8,1,77,16,51,103,84,517,98,16
2018-01-01,20,58,5,9,0,68,11,58,100,89,657,112,19
2018-02-01,22,86,5,12,4,102,25,86,134,137,882,465,33
2018-03-01,23,69,5,13,1,88,18,69,139,116,754,177,25
2018-04-01,17,50,3,8,1,54,12,50,83,88,544,95,19
2018-05-01,21,71,2,11,1,87,9,70,123,99,762,89,20
2018-06-01,20,89,1,12,1,81,11,71,111,93,735,94,14
2018-07-01,18,74,4,12,1,81,16,75,101,110,826,77,12
2018-08-01,23,50,3,12,2,51,14,50,67,75,534,79,13
2018-09-01,13,27,2,7,0,33,7,27,48,40,259,68,9
2018-10-01,16,29,3,10,1,34,4,29,45,42,334,67,15
2018-11-01,17,34,4,11,2,43,9,34,56,52,392,64,17
2018-12-01,15,27,3,8,0,32,3,27,47,43,348,62,16
2019-01-01,15,29,2,7,0,30,5,29,48,43,374,72,18
2019-02-01,20,51,5,9,0,49,10,51,71,110,568,64,14
2019-03-01,11,35,3,5,0,74,29,35,102,80,395,79,16
2019-04-01,16,19,6,8,0,30,8,19,50,33,218,67,15
2019-05-01,16,27,6,8,1,21,0,27,34,41,225,62,18
2019-06-01,10,16,3,7,0,18,3,14,30,21,167,59,15
2019-07-01,9,19,1,6,0,28,11,19,41,40,319,82,15
2019-08-01,10,19,3,7,0,18,1,19,28,31,143,69,9
2019-09-01,10,27,2,5,0,34,2,27,52,35,235,52,15
2019-10-01,12,37,3,8,2,42,6,35,54,44,221,64,13
2019-11-01,13,30,5,9,2,38,5,31,51,42,233,95,15
2019-12-01,9,22,0,6,0,19,0,20,25,212,744,75,18
2020-01-01,11,17,2,7,1,18,2,17,27,22,118,59,10
2020-02-01,14,30,2,9,1,27,1,30,34,34,142,50,17
2020-03-01,8,20,2,5,0,19,2,20,24,26,75,63,25
2020-04-01,5,8,1,3,1,13,3,8,25,15,96,52,15
2020-05-01,8,9,2,6,1,13,1,9,19,12,55,54,15
2020-06-01,7,9,0,5,0,11,1,9,14,11,38,49,12
2020-07-01,6,6,0,4,0,5,0,6,8,9,28,57,6
2020-08-01,8,11,3,5,0,14,3,11,20,34,142,48,10
