dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-12-01,2,3,2,1,1,0,0,0,1,0,1,1,0
2017-01-01,3,16,1,2,1,5,1,4,6,7,13,0,0
2017-02-01,3,58,0,2,0,13,2,10,14,13,12,3,2
2017-03-01,2,27,0,1,0,4,1,3,4,4,0,2,0
2017-04-01,2,15,0,1,0,7,1,4,10,5,11,1,1
2017-05-01,1,14,0,1,0,1,0,0,1,0,0,2,2
2017-06-01,2,3,0,1,0,0,0,1,0,1,0,2,3
2017-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-08-01,6,40,4,3,2,3,2,2,24,20,82,12,4
2017-09-01,3,88,0,2,0,0,1,0,30,33,78,8,3
2017-10-01,3,73,0,2,0,0,1,0,27,30,34,1,0
2017-11-01,3,96,0,2,0,0,0,0,37,37,90,3,3
2017-12-01,7,193,3,5,3,12,0,11,74,74,271,3,2
2018-01-01,5,28,1,5,1,5,1,5,13,12,39,3,1
2018-02-01,4,89,1,4,0,10,3,7,43,39,195,3,3
2018-03-01,7,134,3,5,1,7,1,6,49,50,288,34,24
2018-04-01,10,90,4,7,2,4,2,2,37,33,186,120,69
2018-05-01,8,91,3,5,0,9,7,2,61,60,248,8,3
2018-06-01,11,99,3,5,1,4,2,2,54,55,170,7,2
2018-07-01,7,35,0,4,0,3,2,1,21,17,70,18,1
2018-08-01,9,26,3,5,0,3,0,3,15,19,61,9,3
2018-09-01,6,24,0,5,0,2,0,2,10,8,32,5,2
2018-10-01,5,17,0,4,0,0,0,0,6,6,16,6,2
2018-11-01,5,56,0,4,0,2,0,2,24,21,65,13,3
2018-12-01,5,23,0,3,0,2,0,2,22,11,56,8,2
2019-01-01,6,37,2,4,1,4,2,2,20,21,78,6,3
2019-02-01,6,49,2,5,1,2,0,2,15,17,71,7,3
2019-03-01,7,44,1,4,0,1,0,1,19,31,162,14,8
2019-04-01,16,174,8,8,1,1,0,1,66,44,330,20,7
2019-05-01,19,169,6,7,1,3,2,1,99,104,597,4,5
2019-06-01,18,97,6,8,2,10,1,6,130,106,481,11,10
2019-07-01,12,41,3,6,1,24,2,16,42,39,183,9,2
2019-08-01,6,10,2,2,0,8,0,5,22,9,70,7,6
2019-09-01,4,5,1,2,0,5,2,4,17,9,31,7,4
2019-10-01,3,3,1,2,0,7,0,2,21,5,58,35,54
2019-11-01,9,29,2,3,0,5,9,4,54,25,84,7,5
2019-12-01,14,55,4,5,1,2,1,2,61,61,180,5,2
2020-01-01,7,43,2,4,1,6,3,3,66,26,134,1,0
2020-02-01,9,25,0,4,0,2,1,1,24,33,82,243,45
2020-03-01,0,0,0,0,0,1,0,0,8,2,9,4,2
2020-04-01,5,13,1,2,0,5,0,4,6,4,5,3,4
2020-05-01,3,12,0,1,0,3,0,1,12,3,15,4,5
2020-06-01,6,17,1,4,0,10,2,7,35,24,43,33,5
