dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-09-01,3,5,3,3,3,1,0,0,1,0,6,2,0
2016-10-01,2,3,2,1,1,1,0,2,2,3,16,21,3
2016-11-01,0,0,0,0,0,0,0,0,0,0,0,13,1
2016-12-01,3,35,2,2,0,35,1,32,76,64,316,8,1
2017-01-01,6,37,2,4,1,34,3,32,60,48,263,30,6
2017-02-01,8,85,3,4,1,67,4,63,117,110,480,67,2
2017-03-01,6,76,0,3,0,72,3,67,127,125,385,20,7
2017-04-01,12,46,7,3,0,51,1,44,90,81,432,109,6
2017-05-01,10,27,2,6,2,17,0,22,35,46,208,46,7
2017-06-01,6,19,1,3,1,15,1,16,30,36,135,64,6
2017-07-01,6,30,2,3,1,32,2,29,61,50,337,56,7
2017-08-01,5,26,0,3,0,25,2,24,48,52,295,62,7
2017-09-01,4,17,1,4,0,17,1,15,30,26,112,39,2
2017-10-01,4,22,3,2,1,17,2,16,35,39,181,56,6
2017-11-01,3,11,2,2,0,12,1,11,26,29,190,35,6
2017-12-01,7,13,2,2,0,15,2,13,41,28,191,43,10
2018-01-01,5,13,2,3,0,13,0,13,33,39,174,44,10
2018-02-01,5,10,2,3,1,11,0,9,27,15,73,59,9
2018-03-01,8,23,3,3,0,15,0,16,25,23,61,41,10
2018-04-01,7,16,3,6,3,14,0,14,34,30,144,53,9
2018-05-01,6,23,2,5,1,15,0,16,35,58,193,52,11
2018-06-01,9,21,3,7,2,16,2,14,38,28,172,82,7
2018-07-01,8,17,2,5,1,16,1,15,42,31,151,55,18
2018-08-01,2,5,0,2,0,6,0,4,28,20,160,39,9
2018-09-01,1,4,0,1,0,6,0,4,27,15,140,49,10
2018-10-01,8,9,6,4,2,10,1,9,23,35,177,51,11
2018-11-01,9,20,4,6,1,19,1,19,43,36,194,53,9
2018-12-01,6,8,4,2,0,5,0,7,27,36,188,62,8
2019-01-01,3,9,1,2,0,11,1,9,32,23,263,86,17
2019-02-01,3,4,1,2,0,8,0,4,21,7,65,48,9
2019-03-01,8,20,4,4,0,14,2,12,23,18,45,47,7
2019-04-01,7,25,4,4,1,24,2,24,42,36,120,53,12
2019-05-01,11,30,7,4,0,28,3,27,52,55,234,56,16
2019-06-01,9,30,5,3,0,31,1,30,66,63,326,50,11
2019-07-01,6,26,3,2,0,32,3,26,67,65,273,51,14
2019-08-01,10,60,3,7,2,61,1,58,95,110,422,51,18
2019-09-01,11,45,5,5,1,49,2,45,74,69,270,42,11
2019-10-01,6,41,0,6,0,45,8,40,82,85,349,50,9
2019-11-01,10,87,4,7,3,57,1,56,96,89,448,103,15
2019-12-01,10,43,6,5,1,40,2,37,63,65,302,43,13
2020-01-01,10,44,4,7,2,43,3,41,82,75,333,58,11
2020-02-01,6,40,1,5,0,34,1,34,63,57,235,47,8
2020-03-01,8,64,2,5,0,64,7,57,102,96,392,49,8
2020-04-01,9,64,4,4,0,61,5,60,104,123,419,106,15
2020-05-01,10,44,5,5,1,44,2,40,83,75,445,64,13
2020-06-01,10,53,5,6,2,51,3,49,92,92,448,60,10
2020-07-01,11,47,5,7,1,48,6,41,81,81,410,47,10
2020-08-01,6,35,4,5,1,31,0,32,60,56,333,38,13
