dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-08-01,1,4,0,1,0,0,0,0,1,0,6,17,0
2016-09-01,2,24,1,2,1,0,0,0,2,1,18,38,2
2016-10-01,5,58,4,5,4,5,0,3,10,8,89,57,6
2016-11-01,4,22,3,3,1,4,1,3,16,13,171,44,3
2016-12-01,3,4,2,3,1,2,0,2,5,2,86,32,2
2017-01-01,4,30,3,4,2,4,1,3,11,9,110,61,5
2017-02-01,3,26,2,2,0,4,0,3,19,15,208,54,7
2017-03-01,2,14,1,2,0,3,2,2,12,6,93,50,5
2017-04-01,3,9,2,3,1,4,0,2,9,4,90,43,3
2017-05-01,2,27,1,2,0,2,0,0,7,1,20,115,4
2017-06-01,4,29,1,3,0,2,1,4,12,22,163,88,2
2017-07-01,3,5,1,3,1,7,5,2,16,11,157,64,9
2017-08-01,3,3,3,2,0,2,0,2,15,6,81,44,7
2017-09-01,5,29,4,5,2,4,0,3,22,18,192,48,7
2017-10-01,5,24,4,4,1,4,1,3,19,8,113,42,12
2017-11-01,2,2,1,2,0,4,0,1,11,8,89,44,8
2017-12-01,5,5,4,2,0,3,0,4,14,8,84,37,3
2018-01-01,2,2,2,2,1,2,0,1,7,4,32,62,4
2018-02-01,3,5,1,3,1,2,0,2,7,5,45,53,3
2018-03-01,6,24,3,4,0,17,1,14,30,18,148,54,4
2018-04-01,5,15,3,5,2,15,2,12,21,16,87,55,10
2018-05-01,5,11,3,3,1,5,0,4,19,13,100,65,7
2018-06-01,9,23,5,8,3,12,2,11,21,21,120,60,7
2018-07-01,9,15,3,7,0,14,1,12,28,19,149,45,13
2018-08-01,6,9,3,3,0,11,3,5,28,15,172,34,13
2018-09-01,1,3,1,1,1,5,1,0,15,4,103,42,7
2018-10-01,9,15,7,6,3,8,0,7,21,10,167,41,10
2018-11-01,3,5,1,3,1,10,0,4,17,6,96,51,10
2018-12-01,1,1,1,1,1,5,2,0,11,4,44,52,6
2019-01-01,5,6,4,4,1,5,2,5,21,10,161,47,15
2019-02-01,1,1,0,1,0,3,3,1,15,8,92,43,7
2019-03-01,5,14,2,5,1,19,8,9,31,19,180,44,15
2019-04-01,8,20,2,6,0,24,2,16,35,26,164,64,17
2019-05-01,9,16,4,5,1,17,4,12,32,18,126,49,13
2019-06-01,9,57,7,7,3,19,2,18,36,36,165,67,13
2019-07-01,16,201,7,12,5,48,25,48,85,208,1530,77,14
2019-08-01,9,87,4,5,2,31,6,28,62,79,715,92,12
2019-09-01,10,117,5,7,4,30,4,27,53,56,449,70,14
2019-10-01,12,205,6,7,2,43,4,42,77,87,610,56,11
2019-11-01,13,139,6,10,4,36,1,33,58,52,273,50,14
2019-12-01,6,39,0,4,0,15,1,13,28,24,266,52,3
2020-01-01,7,33,3,5,1,15,1,14,24,20,165,46,11
2020-02-01,13,222,5,9,3,38,1,39,67,70,472,54,12
2020-03-01,10,108,5,9,3,34,3,33,60,58,351,63,15
2020-04-01,16,108,12,11,6,41,3,37,64,60,332,48,16
2020-05-01,10,89,5,7,2,21,3,19,61,56,555,69,13
2020-06-01,5,76,1,5,0,8,2,6,42,40,255,58,11
2020-07-01,11,70,8,8,4,0,0,0,58,59,484,62,19
2020-08-01,6,65,0,5,0,0,0,0,36,30,168,36,7
