dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-02-01,8,54,8,4,4,16,1,14,16,15,8,2,0
2015-03-01,13,124,7,5,2,35,0,36,38,37,46,20,2
2015-04-01,5,62,0,3,0,3,0,3,18,17,32,26,6
2015-05-01,4,39,0,3,0,0,0,0,14,12,17,18,2
2015-06-01,11,176,2,5,1,0,0,0,51,48,64,8,5
2015-07-01,16,462,6,7,1,2,1,1,140,136,419,43,7
2015-08-01,12,204,1,5,0,4,2,1,50,36,211,11,3
2015-09-01,13,121,6,8,3,0,1,0,43,33,233,35,7
2015-10-01,13,242,3,4,0,3,2,1,71,78,418,21,6
2015-11-01,14,243,0,6,0,3,3,0,68,61,192,19,9
2015-12-01,13,241,3,4,0,23,0,22,71,68,120,26,3
2016-01-01,8,225,0,4,0,46,5,39,85,76,226,27,6
2016-02-01,16,353,5,5,0,54,4,49,93,78,304,31,9
2016-03-01,21,403,9,5,1,89,9,79,149,129,519,26,11
2016-04-01,16,94,5,4,1,36,2,33,85,61,374,19,10
2016-05-01,22,192,9,5,1,48,5,41,108,96,499,23,13
2016-06-01,16,67,2,3,0,50,4,48,116,150,650,26,5
2016-07-01,17,78,4,4,1,63,10,50,100,78,488,22,6
2016-08-01,16,85,6,4,0,41,2,36,72,60,368,28,12
2016-09-01,18,55,7,4,1,39,9,38,79,60,468,39,15
2016-10-01,14,90,4,3,0,45,12,33,83,71,545,37,12
2016-11-01,10,51,2,3,0,47,8,33,94,110,479,36,9
2016-12-01,5,31,2,3,0,33,3,29,53,54,187,25,3
2017-01-01,13,30,2,3,0,37,4,29,67,47,307,33,6
2017-02-01,18,92,2,3,0,67,12,61,117,92,363,41,16
2017-03-01,14,95,3,3,0,100,15,84,206,165,780,47,7
2017-04-01,12,76,2,4,1,84,10,74,125,127,441,47,9
2017-05-01,13,47,2,3,0,51,5,44,95,93,416,44,9
2017-06-01,14,50,1,3,0,43,8,40,92,100,412,37,6
2017-07-01,7,22,0,3,0,21,7,16,77,205,847,41,12
2017-08-01,6,10,2,3,0,14,6,7,75,68,260,44,10
2017-09-01,4,40,0,3,0,38,7,33,60,74,386,34,9
2017-10-01,9,28,5,3,0,27,3,22,52,51,319,462,21
2017-11-01,5,31,1,3,0,26,2,28,59,58,275,54,6
2017-12-01,2,16,0,2,0,19,2,16,43,36,257,39,9
2018-01-01,4,16,1,3,0,17,1,16,37,35,197,48,9
2018-02-01,5,11,2,3,0,10,2,9,28,23,151,50,4
2018-03-01,5,6,2,4,1,7,2,5,20,16,111,46,17
2018-04-01,2,13,0,2,0,7,2,6,19,15,94,50,5
2018-05-01,2,4,1,2,1,3,0,4,17,10,52,44,8
2018-06-01,2,2,1,2,1,7,2,1,22,9,80,33,5
2018-07-01,1,3,0,1,0,2,1,1,8,9,54,48,7
2018-08-01,1,1,0,1,0,0,0,1,15,4,26,32,6
2018-09-01,7,30,4,6,2,5,2,4,16,11,47,47,4
2018-10-01,2,10,0,2,0,2,1,0,20,3,41,70,11
2018-11-01,4,72,2,4,1,6,2,6,15,13,35,55,6
2018-12-01,2,29,0,2,0,0,0,0,3,2,12,41,9
2019-01-01,5,62,0,3,0,2,0,2,18,3,32,49,4
2019-02-01,9,64,5,5,1,12,3,9,43,53,91,67,14
2019-03-01,5,35,1,3,0,4,0,3,41,43,53,69,8
2019-04-01,8,82,3,3,0,8,0,9,26,23,26,58,11
2019-05-01,4,20,1,3,1,2,0,1,17,5,50,52,9
2019-06-01,4,45,1,3,0,2,0,3,12,13,11,49,3
2019-07-01,5,27,1,4,0,3,1,2,10,6,32,48,7
2019-08-01,3,7,0,1,0,2,0,0,5,0,5,30,10
2019-09-01,4,47,2,2,1,3,0,3,6,6,9,35,21
2019-10-01,1,11,0,1,0,2,1,2,8,8,20,37,8
2019-11-01,1,11,0,1,0,0,0,0,12,168,650,26,5
2019-12-01,5,53,3,2,0,3,1,0,23,16,40,37,5
2020-01-01,1,23,0,1,0,1,0,2,22,13,50,54,5
2020-02-01,2,54,0,1,0,5,1,5,36,56,243,42,5
2020-03-01,6,25,4,6,4,11,1,10,36,20,83,46,9
2020-04-01,3,21,0,1,0,8,0,8,28,14,42,50,12
2020-05-01,1,1,1,1,0,1,0,0,14,0,11,59,6
2020-06-01,2,5,1,1,0,5,0,2,17,4,22,50,9
2020-07-01,5,29,2,2,0,10,0,11,27,14,31,54,9
2020-08-01,3,9,1,3,0,4,0,3,19,8,32,42,4
