dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-10-01,1,1,0,1,0,0,0,0,1,1,16,3,1
2015-11-01,1,62,0,1,0,0,0,0,0,0,0,3,1
2015-12-01,1,21,0,1,0,0,0,0,4,4,28,4,0
2016-01-01,2,52,1,1,0,0,0,0,1,1,0,1,0
2016-02-01,5,29,3,3,2,8,4,2,29,15,254,4,4
2016-03-01,8,108,4,2,0,79,30,47,168,133,731,6,6
2016-04-01,11,55,4,4,1,7,9,0,115,87,791,21,7
2016-05-01,11,57,3,4,1,1,1,0,95,82,594,16,8
2016-06-01,6,65,1,3,0,1,0,1,55,49,311,10,6
2016-07-01,8,44,2,1,0,0,1,0,70,59,437,13,6
2016-08-01,5,45,0,2,0,1,0,1,83,72,588,19,1
2016-09-01,10,54,4,4,1,0,1,0,114,97,841,21,4
2016-10-01,13,65,3,6,1,1,0,1,118,106,773,15,5
2016-11-01,11,56,2,5,0,0,0,0,157,112,1255,19,7
2016-12-01,7,45,1,3,1,0,0,0,66,104,550,18,4
2017-01-01,8,60,2,3,1,0,0,0,88,83,661,19,5
2017-02-01,5,37,0,2,0,0,0,0,83,62,605,21,4
2017-03-01,10,44,1,3,0,0,0,0,109,97,550,13,6
2017-04-01,10,41,1,3,0,0,0,0,107,58,369,12,4
2017-05-01,8,43,1,2,0,3,0,3,95,81,488,23,5
2017-06-01,9,18,1,2,0,0,0,0,91,61,720,7,2
2017-07-01,7,33,1,4,0,0,0,0,85,68,443,13,7
2017-08-01,10,64,4,4,0,5,0,5,117,91,544,11,3
2017-09-01,11,81,3,4,0,1,0,1,132,97,421,8,4
2017-10-01,12,30,3,3,1,0,0,0,98,76,524,18,6
2017-11-01,8,25,1,2,0,0,0,0,96,67,425,4,3
2017-12-01,7,20,0,2,0,0,0,0,95,38,289,11,7
2018-01-01,7,18,0,2,0,0,0,0,98,112,455,15,5
2018-02-01,5,20,0,1,0,0,0,0,101,81,558,24,6
2018-03-01,13,47,2,5,1,1,0,1,141,132,741,25,3
2018-04-01,12,51,4,4,1,1,0,1,152,116,813,14,6
2018-05-01,8,43,2,3,1,0,0,0,155,123,937,28,6
2018-06-01,12,55,1,5,1,0,0,0,168,128,769,19,6
2018-07-01,10,52,1,4,0,1,0,1,129,91,683,164,5
2018-08-01,9,93,1,3,0,1,0,1,152,137,545,233,13
2018-09-01,14,60,2,5,0,1,0,1,169,121,922,32,7
2018-10-01,8,28,0,3,0,1,0,1,146,108,705,19,8
2018-11-01,13,32,2,5,1,4,0,4,113,89,953,26,6
2018-12-01,10,26,3,3,0,1,1,0,72,80,588,67,5
2019-01-01,10,29,2,3,0,2,1,1,118,66,593,22,5
2019-02-01,14,27,2,4,0,0,0,0,109,81,697,14,11
2019-03-01,14,41,2,4,0,1,0,1,95,109,655,30,5
2019-04-01,15,50,2,2,0,3,1,2,118,105,478,25,2
2019-05-01,13,36,3,4,0,1,1,0,145,111,947,29,7
2019-06-01,18,48,3,4,0,2,0,2,102,103,759,20,3
2019-07-01,13,44,3,3,0,3,0,3,117,222,1274,19,1
2019-08-01,14,35,1,3,1,4,0,3,114,78,523,23,6
2019-09-01,18,46,2,5,0,1,2,0,125,74,457,21,6
2019-10-01,21,73,1,4,0,13,1,11,176,157,901,19,4
2019-11-01,15,47,2,5,0,1,0,2,125,105,559,20,2
2019-12-01,11,37,1,3,0,1,0,1,112,79,587,24,6
2020-01-01,16,46,1,4,0,3,1,2,151,141,859,21,5
2020-02-01,13,45,0,4,0,8,4,4,133,97,704,15,3
2020-03-01,8,43,0,4,0,2,0,2,121,107,536,18,8
2020-04-01,8,19,0,3,0,0,0,0,101,81,534,20,7
2020-05-01,12,30,1,3,0,1,1,0,179,130,784,26,5
2020-06-01,15,40,2,3,0,0,0,0,159,143,715,24,8
2020-07-01,11,24,1,3,1,0,0,0,146,178,804,26,7
2020-08-01,8,19,0,3,0,0,0,0,125,100,709,15,7
