dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2017-03-01,111,601,44,41,10,2,0,0,2,0,0,0,0
2017-04-01,84,435,19,32,7,0,2,0,0,2,0,0,0
2017-05-01,84,416,26,28,6,0,0,0,1,1,4,0,0
2017-06-01,65,335,16,26,6,1,1,0,3,3,0,0,0
2017-07-01,48,228,10,20,1,0,0,0,3,3,0,0,0
2017-08-01,56,261,15,24,7,0,0,0,9,8,2,0,0
2017-09-01,53,239,19,23,2,1,1,0,8,6,12,0,0
2017-10-01,60,206,20,24,4,0,0,0,27,22,35,80,1
2017-11-01,58,212,15,22,4,0,0,0,13,10,27,41,2
2017-12-01,41,176,7,15,2,0,0,0,2,2,2,11,0
2018-01-01,34,218,8,17,2,0,0,0,3,1,0,4,0
2018-02-01,38,276,10,16,5,0,0,0,4,0,9,10,1
2018-03-01,42,202,9,19,1,0,0,0,2,2,6,11,1
2018-04-01,37,149,11,18,4,0,0,0,2,0,3,50,3
2018-05-01,34,204,12,15,3,0,0,0,0,1,0,14,1
2018-06-01,40,148,13,21,1,0,0,0,6,2,9,14,1
2018-07-01,36,147,10,14,3,0,0,0,6,2,10,21,3
2018-08-01,38,133,11,15,2,0,0,0,7,3,5,20,2
2018-09-01,40,140,15,18,4,0,0,0,3,2,2,19,1
2018-10-01,33,142,10,17,4,0,0,0,20,16,36,12,1
2018-11-01,28,105,9,17,5,0,0,0,1,1,2,11,4
2018-12-01,32,136,15,16,4,0,0,0,4,1,4,6,0
2019-01-01,27,160,10,16,2,4,1,2,15,19,65,13,6
2019-02-01,23,111,3,11,0,5,0,3,9,4,30,14,3
2019-03-01,29,142,7,16,3,3,2,1,5,4,36,17,0
2019-04-01,32,205,11,16,2,5,0,5,7,9,25,8,1
2019-05-01,23,65,7,10,2,1,0,0,4,5,12,3,4
2019-06-01,14,76,1,7,1,2,0,2,3,2,16,5,2
2019-07-01,21,88,7,9,2,2,0,0,8,6,72,12,2
2019-08-01,28,159,8,15,4,2,0,2,6,10,63,8,0
2019-09-01,17,140,3,8,1,0,0,1,1,3,10,12,0
2019-10-01,10,32,0,6,0,2,0,1,6,2,17,15,3
2019-11-01,8,17,1,4,1,0,0,2,2,4,22,7,2
2019-12-01,4,4,0,4,0,0,0,0,4,0,18,3,0
2020-01-01,8,49,0,6,0,0,0,0,2,0,3,5,1
2020-02-01,6,32,0,4,0,1,0,0,4,1,5,9,5
2020-03-01,1,7,0,1,0,0,0,0,0,0,0,14,1
2020-04-01,3,11,2,3,1,4,1,4,11,9,74,10,3
2020-05-01,4,14,2,3,0,5,2,2,15,13,100,23,5
