dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2018-01-01,1,97,1,1,1,0,0,0,2,2,6,21,0
2018-02-01,3,285,2,2,1,19,0,19,49,34,230,69,6
2018-03-01,2,35,0,2,0,2,0,2,22,30,129,35,3
2018-04-01,3,83,1,2,0,3,0,3,8,5,46,24,1
2018-05-01,3,49,1,2,0,1,0,1,13,9,112,28,7
2018-06-01,3,31,1,3,1,3,0,3,11,10,53,30,3
2018-07-01,4,39,2,2,0,4,0,4,8,6,27,41,5
2018-08-01,3,50,1,3,1,5,1,4,17,16,80,25,1
2018-09-01,2,9,0,2,0,2,0,1,9,7,22,20,1
2018-10-01,3,31,1,2,0,7,0,5,16,9,49,35,6
2018-11-01,2,31,0,2,0,7,3,3,16,14,54,31,8
2018-12-01,5,21,3,4,2,5,0,6,10,8,28,35,5
2019-01-01,3,25,1,2,0,8,2,5,21,12,76,58,3
2019-02-01,4,14,1,3,0,3,0,3,15,7,54,54,5
2019-03-01,4,58,2,3,1,6,0,5,20,16,107,48,4
2019-04-01,2,18,1,1,0,2,0,1,10,8,83,50,9
2019-05-01,1,3,0,1,0,2,0,0,8,4,35,38,9
2019-06-01,3,11,2,1,0,2,0,2,11,7,37,44,7
2019-07-01,2,23,0,2,0,4,0,3,13,8,51,61,4
2019-08-01,1,25,0,1,0,1,1,0,21,16,157,63,6
2019-09-01,1,46,0,1,0,2,1,0,11,6,24,49,8
2019-10-01,4,30,2,3,1,11,4,5,25,18,208,75,11
2019-11-01,4,6,2,2,0,3,3,3,10,11,39,96,10
2019-12-01,2,2,1,2,1,1,0,1,9,5,39,72,10
2020-01-01,3,12,2,2,0,5,1,2,14,8,51,89,14
2020-02-01,5,15,2,3,1,13,1,12,22,19,24,84,16
2020-03-01,5,40,2,2,0,13,2,10,28,22,47,95,8
2020-04-01,6,13,3,3,0,8,1,8,18,13,26,110,12
2020-05-01,7,14,2,2,0,10,0,8,19,12,33,91,14
2020-06-01,4,14,0,2,0,7,1,7,12,13,33,91,11
2020-07-01,7,21,3,3,1,12,3,11,25,20,123,83,10
2020-08-01,5,11,0,2,0,8,0,8,31,22,149,112,13
