dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-10-01,3,9,3,2,2,11,1,6,22,7,97,4,0
2016-11-01,15,131,13,8,6,143,10,127,258,200,1413,4357,104
2016-12-01,12,36,6,4,1,47,10,36,116,84,993,425,45
2017-01-01,18,90,9,9,4,100,14,87,187,176,1447,273,33
2017-02-01,14,82,5,5,1,72,4,72,164,142,1231,210,21
2017-03-01,19,66,8,9,3,64,3,61,180,134,1338,202,17
2017-04-01,11,53,0,7,0,54,4,50,124,107,907,202,17
2017-05-01,14,43,6,7,2,49,5,43,121,98,807,217,23
2017-06-01,12,56,3,6,2,63,5,56,134,88,636,163,10
2017-07-01,8,51,1,4,0,47,6,45,93,99,636,261,16
2017-08-01,13,57,7,6,3,55,4,49,121,109,893,168,25
2017-09-01,12,41,5,5,1,48,7,40,122,94,768,179,27
2017-10-01,22,65,11,7,2,69,5,65,126,126,882,395,17
2017-11-01,11,29,2,4,0,31,3,27,85,78,493,281,16
2017-12-01,17,86,5,4,0,52,6,50,119,110,723,231,25
2018-01-01,15,77,4,6,1,7,2,8,84,94,711,263,21
2018-02-01,14,81,7,7,2,0,0,0,134,151,1087,216,28
2018-03-01,22,82,11,6,0,0,0,0,156,187,1203,366,38
2018-04-01,13,42,7,5,1,0,0,0,92,97,767,329,35
2018-05-01,9,72,2,5,1,0,0,0,122,123,791,326,28
2018-06-01,11,40,5,7,2,0,0,0,76,79,445,259,13
2018-07-01,12,61,4,6,1,0,0,0,108,106,492,344,28
2018-08-01,9,49,5,7,3,0,0,0,115,101,670,733,71
2018-09-01,16,38,10,7,1,0,0,0,90,94,508,345,30
2018-10-01,11,23,5,9,4,0,0,0,106,75,411,1133,153
2018-11-01,17,33,8,9,3,0,0,0,91,90,441,331,37
2018-12-01,11,23,8,6,2,0,0,0,69,61,333,271,26
2019-01-01,18,34,10,9,3,0,1,0,61,66,352,264,37
2019-02-01,13,17,6,5,1,0,0,0,61,38,294,290,36
2019-03-01,13,21,6,4,0,0,0,0,70,40,277,232,37
2019-04-01,8,14,4,8,2,0,0,0,52,32,164,249,40
2019-05-01,6,8,2,5,1,0,0,0,36,24,108,262,37
2019-06-01,15,24,8,7,2,0,0,0,54,56,228,202,35
2019-07-01,8,29,4,4,1,0,0,0,53,62,198,230,49
2019-08-01,6,7,3,1,0,0,0,0,31,20,102,256,38
2019-09-01,8,10,5,6,2,0,0,0,40,20,136,167,39
2019-10-01,2,8,1,1,0,0,0,0,47,15,151,192,30
2019-11-01,14,31,8,7,3,0,0,0,65,57,249,202,46
2019-12-01,8,11,4,5,1,0,0,0,36,12,80,160,34
2020-01-01,12,25,9,8,4,0,0,0,40,45,166,178,31
2020-02-01,8,15,5,3,1,0,0,0,43,36,161,198,48
2020-03-01,5,6,4,2,0,0,0,0,37,31,129,156,33
2020-04-01,13,33,9,6,3,0,0,0,75,67,415,198,45
2020-05-01,10,32,6,4,1,0,0,0,56,38,170,201,53
2020-06-01,9,14,4,3,1,0,0,0,39,30,143,195,39
2020-07-01,11,22,7,3,1,0,0,0,53,55,188,139,34
2020-08-01,6,13,4,2,0,0,0,0,45,30,134,186,43
